country,date,sales,n_items,n_orders,day_of_week
Australia,2010-12-01,358.25,107,1,2
Australia,2010-12-08,258.90000000000003,214,1,2
Australia,2010-12-17,415.7,146,1,4
Australia,2011-01-06,7154.379999999997,4802,2,3
Australia,2011-01-10,81.6,96,1,0
Australia,2011-01-11,462.49999999999994,238,1,1
Australia,2011-01-14,177.00000000000003,60,1,4
Australia,2011-01-17,431.30000000000007,204,1,0
Australia,2011-01-19,238.5,113,1,2
Australia,2011-01-20,87.75,21,1,3
Australia,2011-01-28,384.6799999999999,110,1,4
Australia,2011-02-07,259.95,79,3,0
Australia,2011-02-15,14022.919999999998,8384,1,1
Australia,2011-02-27,412.54999999999995,217,1,6
Australia,2011-03-03,16726.84,10272,1,3
Australia,2011-03-09,210.89999999999998,90,1,2
Australia,2011-03-24,286.25,77,1,3
Australia,2011-04-01,350.0,1,1,4
Australia,2011-04-08,421.6000000000001,224,1,4
Australia,2011-05-12,475.1599999999999,184,1,3
Australia,2011-05-17,11924.800000000003,8268,1,1
Australia,2011-05-20,766.3599999999999,316,1,4
Australia,2011-05-23,472.0899999999999,231,1,0
Australia,2011-06-15,23426.81000000001,15241,2,2
Australia,2011-06-30,1760.9599999999998,740,2,3
Australia,2011-07-13,2796.36,4332,2,2
Australia,2011-07-14,902.0900000000001,429,1,3
Australia,2011-07-19,641.6700000000004,271,2,1
Australia,2011-07-24,505.4599999999999,214,1,6
Australia,2011-07-26,118.8,72,1,1
Australia,2011-08-12,608.76,374,1,4
Australia,2011-08-18,21880.439999999995,12196,1,3
Australia,2011-09-01,2941.7200000000003,2836,2,3
Australia,2011-09-05,147.7,82,1,0
Australia,2011-09-16,519.8899999999999,317,1,4
Australia,2011-09-25,825.9200000000001,478,1,6
Australia,2011-09-28,671.5000000000001,366,3,2
Australia,2011-10-05,16471.770000000004,7135,2,2
Australia,2011-10-06,678.7599999999998,266,2,3
Australia,2011-11-02,624.24,216,1,2
Australia,2011-11-03,375.23999999999995,192,1,3
Australia,2011-11-04,601.44,336,1,4
Australia,2011-11-15,5355.400000000001,3130,2,1
Australia,2011-11-24,286.40000000000003,224,1,3
Belgium,2010-12-03,346.1,528,1,4
Belgium,2010-12-17,625.16,285,2,4
Belgium,2010-12-21,237.93,188,1,1
Belgium,2010-12-22,600.72,754,1,2
Belgium,2011-01-12,651.1599999999999,590,1,2
Belgium,2011-01-20,225.6,94,1,3
Belgium,2011-01-25,323.43999999999994,108,1,1
Belgium,2011-02-03,213.9,21,1,3
Belgium,2011-02-09,84.3,11,1,2
Belgium,2011-02-11,231.51000000000002,262,1,4
Belgium,2011-02-17,1119.2000000000003,508,2,3
Belgium,2011-02-21,192.31,194,1,0
Belgium,2011-02-25,189.89999999999998,91,1,4
Belgium,2011-02-28,149.95,15,1,0
Belgium,2011-03-01,559.1199999999999,171,1,1
Belgium,2011-03-03,410.0,126,1,3
Belgium,2011-03-14,357.06999999999994,91,1,0
Belgium,2011-03-20,226.29999999999998,215,1,6
Belgium,2011-03-21,347.35,139,1,0
Belgium,2011-03-23,614.5500000000001,685,2,2
Belgium,2011-03-24,837.5900000000001,356,2,3
Belgium,2011-04-07,255.36,248,1,3
Belgium,2011-04-10,476.49,190,1,6
Belgium,2011-04-12,350.57,189,1,1
Belgium,2011-04-15,142.16000000000003,77,1,4
Belgium,2011-04-18,269.65999999999997,204,1,0
Belgium,2011-04-28,495.2400000000001,275,1,3
Belgium,2011-05-05,149.97000000000003,72,1,3
Belgium,2011-05-06,381.08,182,1,4
Belgium,2011-05-10,480.9,494,1,1
Belgium,2011-05-12,181.82000000000002,83,1,3
Belgium,2011-05-17,297.38,168,1,1
Belgium,2011-05-23,514.8200000000002,179,3,0
Belgium,2011-05-27,726.4300000000003,651,1,4
Belgium,2011-06-01,84.92,57,1,2
Belgium,2011-06-05,1296.12,524,2,6
Belgium,2011-06-07,607.5500000000001,293,1,1
Belgium,2011-06-08,99.45,20,1,2
Belgium,2011-06-09,130.07999999999998,145,1,3
Belgium,2011-06-17,992.0199999999999,598,2,4
Belgium,2011-06-22,459.8399999999999,211,1,2
Belgium,2011-06-23,440.94,294,1,3
Belgium,2011-06-30,163.9,103,1,3
Belgium,2011-07-06,719.0600000000001,522,1,2
Belgium,2011-07-07,303.76000000000005,144,1,3
Belgium,2011-07-13,45.599999999999994,13,1,2
Belgium,2011-07-27,1214.81,704,1,2
Belgium,2011-07-28,192.34,296,1,3
Belgium,2011-08-02,777.95,267,1,1
Belgium,2011-08-04,355.56,190,1,3
Belgium,2011-08-11,469.2499999999999,340,1,3
Belgium,2011-08-12,209.62000000000003,175,1,4
Belgium,2011-08-19,789.8699999999999,590,2,4
Belgium,2011-08-25,752.79,358,2,3
Belgium,2011-08-31,198.98000000000002,149,1,2
Belgium,2011-09-02,642.28,310,1,4
Belgium,2011-09-09,1087.6999999999998,372,1,4
Belgium,2011-09-19,392.40000000000003,196,1,0
Belgium,2011-09-21,549.8399999999999,353,1,2
Belgium,2011-09-22,705.8100000000002,471,2,3
Belgium,2011-09-28,829.9900000000001,267,1,2
Belgium,2011-10-04,346.67999999999995,118,1,1
Belgium,2011-10-10,332.68000000000006,196,1,0
Belgium,2011-10-11,355.80000000000007,162,1,1
Belgium,2011-10-13,1491.59,1290,1,3
Belgium,2011-10-14,450.86,229,1,4
Belgium,2011-10-17,358.99,199,1,0
Belgium,2011-10-21,300.76,179,1,4
Belgium,2011-10-26,786.95,213,1,2
Belgium,2011-10-28,499.16,168,1,4
Belgium,2011-10-30,299.05999999999995,268,1,6
Belgium,2011-10-31,462.84999999999997,148,1,0
Belgium,2011-11-04,1673.0300000000007,769,2,4
Belgium,2011-11-07,754.5000000000001,365,1,0
Belgium,2011-11-08,506.55,246,2,1
Belgium,2011-11-17,1492.31,534,2,3
Belgium,2011-11-18,1040.3899999999999,315,1,4
Belgium,2011-11-20,265.83,125,1,6
Belgium,2011-11-22,301.25,185,1,1
Belgium,2011-11-29,281.9,21,1,1
Belgium,2011-12-02,310.31999999999994,502,1,4
Belgium,2011-12-06,898.7699999999999,396,2,1
Belgium,2011-12-09,208.64000000000004,203,1,4
EIRE,2010-12-01,555.3799999999999,243,2,2
EIRE,2010-12-02,22.5,6,1,3
EIRE,2010-12-03,2576.8500000000004,2575,3,4
EIRE,2010-12-06,1182.5000000000002,614,3,0
EIRE,2010-12-09,945.5500000000003,287,1,3
EIRE,2010-12-10,1156.05,379,1,4
EIRE,2010-12-16,707.06,358,1,3
EIRE,2010-12-17,1424.12,701,2,4
EIRE,2010-12-19,411.09999999999997,155,1,6
EIRE,2010-12-21,762.3000000000001,344,1,1
EIRE,2010-12-23,289.85,108,1,3
EIRE,2011-01-09,258.0,85,1,6
EIRE,2011-01-14,16774.719999999998,6198,1,4
EIRE,2011-01-18,465.58000000000004,287,1,1
EIRE,2011-01-20,2756.84,1332,1,3
EIRE,2011-01-24,282.44000000000005,47,1,0
EIRE,2011-01-26,802.5599999999997,690,1,2
EIRE,2011-01-27,564.0500000000001,155,1,3
EIRE,2011-02-01,797.77,463,1,1
EIRE,2011-02-02,15.0,4,1,2
EIRE,2011-02-03,788.06,270,1,3
EIRE,2011-02-04,229.59999999999997,75,1,4
EIRE,2011-02-14,3120.7100000000014,1502,2,0
EIRE,2011-02-15,4362.5,2402,2,1
EIRE,2011-02-17,281.12,87,1,3
EIRE,2011-02-18,162.70000000000002,61,1,4
EIRE,2011-02-21,1011.08,472,2,0
EIRE,2011-02-23,1480.1999999999998,668,1,2
EIRE,2011-03-01,2541.1499999999996,669,1,1
EIRE,2011-03-04,1185.49,857,2,4
EIRE,2011-03-10,6162.02,3416,4,3
EIRE,2011-03-11,3374.34,2,2,4
EIRE,2011-03-14,1825.2500000000005,936,3,0
EIRE,2011-03-15,3389.599999999999,1174,3,1
EIRE,2011-03-17,381.78,417,1,3
EIRE,2011-03-18,743.71,265,1,4
EIRE,2011-03-20,197.8,73,1,6
EIRE,2011-03-24,415.45000000000005,114,1,3
EIRE,2011-03-25,750.3699999999998,533,1,4
EIRE,2011-03-28,538.9999999999999,745,1,0
EIRE,2011-03-29,523.1500000000001,334,1,1
EIRE,2011-03-31,168.4,45,1,3
EIRE,2011-04-01,1407.1900000000005,713,1,4
EIRE,2011-04-04,2448.119999999999,1239,2,0
EIRE,2011-04-06,955.9899999999999,655,1,2
EIRE,2011-04-07,583.41,390,2,3
