date,Microchip Technology,Lennar Corp.,Ulta Beauty,Occidental Petroleum,Exxon Mobil Corp.,Apache Corporation,General Motors,People's United Financial,ConocoPhillips,Cboe Global Markets,Skyworks Solutions,QUALCOMM Inc.,Northern Trust Corp.,Ross Stores,Halliburton Co.,Marathon Oil Corp.,Oil Price
2014-01-02,44.17,38.6471,95.91,93.85,99.75,85.48,40.95,15.01,69.78,50.98,27.4,73.32,60.89,37.135,50.01,34.91,107.94
2014-01-03,44.54,38.0882,94.92,93.52,99.51,85.54,39.57,15.06,69.96,51.66,27.72,72.89,61.3,37.165,50.13,34.52,106.57
2014-01-06,44.45,37.4412,92.91,93.8,99.66,86.31,40.4,15.1,70.26,50.93,27.63,72.7,60.92,37.09,50.32,34.43,106.71
2014-01-07,44.7,37.6078,94.46,95.55,101.07,87.9,40.2,15.15,70.37,50.69,27.79,73.24,61.7,36.885,50.2,34.88,107.01
2014-01-08,45.29,37.8529,94.17,94.79,100.74,86.65,40.42,15.42,69.69,50.02,27.92,73.68,62.02,36.85,49.5,34.4,107.42
2014-01-09,45.22,37.6667,92.29,94.84,99.76,86.09,40.49,15.59,69.46,49.76,27.72,73.91,61.49,37.325,49.61,34.5,107.49
2014-01-10,45.07,38.4216,92.33,93.85,100.52,86.2,40.03,15.38,68.87,49.85,27.75,73.87,61.12,37.325,50.52,34.64,106.44
2014-01-13,45.15,37.4314,88.89,91.54,98.55,84.29,39.58,15.41,67.74,48.47,28.44,73.22,60.43,36.645,49.58,34.11,108.02
2014-01-14,46.11,37.4804,88.76,92.31,99.12,85.69,40.02,15.55,68.32,49.74,28.92,73.39,60.6,36.6,50.4,34.56,107.12
2014-01-15,46.34,37.3333,85.89,91.46,98.78,84.44,39.38,15.47,68.08,49.83,29.11,74.51,61.2,36.385,50.64,34.01,108.09
2014-01-16,46.27,37.6765,82.75,91.77,98.94,85.9,39.0,15.37,67.83,49.05,28.62,74.72,61.05,36.04,50.9,34.17,107.46
2014-01-17,46.2,36.7451,83.56,90.57,99.16,84.31,38.6,14.85,67.51,49.88,30.53,74.73,60.71,35.695,50.66,33.96,108.45
2014-01-21,46.25,36.5392,80.93,89.97,98.5,84.49,38.34,15.01,68.26,49.87,31.22,75.46,60.61,35.21,49.78,34.28,109.17
2014-01-22,46.06,37.0686,83.06,90.96,97.88,84.53,38.8,15.11,68.37,50.75,31.59,75.78,62.61,34.63,50.54,34.4,109.69
2014-01-23,44.99,37.451,84.62,89.42,96.97,83.59,38.42,14.75,67.85,50.73,31.43,75.87,62.6,34.245,50.11,33.71,109.69
2014-01-24,44.08,36.3039,83.97,88.0,94.85,82.42,36.83,14.58,66.57,50.03,30.77,74.08,61.13,33.915,48.61,33.0,109.14
2014-01-27,44.06,36.1863,83.11,87.09,94.92,81.18,36.76,14.47,65.86,49.02,30.38,73.2,60.55,34.14,48.49,32.92,108.72
2014-01-28,45.05,37.7647,84.25,88.31,95.65,81.99,36.81,14.6,66.21,50.19,30.05,71.99,60.76,33.885,48.33,33.36,109.1
2014-01-29,44.61,38.2353,82.55,87.82,95.11,81.02,36.35,14.35,65.82,49.72,30.14,71.12,60.7,33.83,48.2,33.04,108.83
2014-01-30,45.36,38.0882,85.97,88.3,93.99,81.28,36.84,14.42,65.75,51.4,30.56,73.26,61.12,33.98,49.44,33.04,109.36
2014-01-31,44.86,39.3725,85.71,87.57,92.16,80.26,36.08,14.21,64.95,52.02,30.25,74.22,60.22,33.955,49.01,32.79,108.16
2014-02-03,43.62,38.451,83.93,87.24,90.05,78.73,35.25,13.84,63.86,49.13,29.57,73.32,58.4,32.965,48.33,32.06,106.55
2014-02-04,43.61,39.0686,83.5,87.14,90.02,78.5,35.82,13.88,63.71,51.0,29.71,72.51,59.78,32.89,49.36,32.34,107.04
2014-02-05,43.7,38.8039,85.82,87.29,89.58,78.02,35.24,13.86,63.46,50.72,29.86,72.37,59.16,33.145,49.27,32.1,106.81
2014-02-06,43.71,40.8922,88.34,88.48,89.8,79.92,35.23,13.9,64.3,51.68,30.26,73.24,59.75,34.655,50.76,31.81,108.15
2014-02-07,44.44,40.951,88.31,90.59,90.58,81.4,36.11,13.96,64.97,53.42,30.47,74.41,60.73,34.68,51.97,32.6,110.12
2014-02-10,44.76,40.0882,87.72,90.69,89.52,80.75,34.9,14.01,64.58,54.37,30.7,74.69,60.85,34.565,51.87,32.27,110.18
2014-02-11,44.85,39.7941,86.45,91.6,90.84,81.38,35.25,14.05,65.57,54.74,31.09,75.62,61.77,34.765,53.84,32.7,109.21
2014-02-12,45.55,39.3431,86.42,92.19,91.08,81.28,35.56,13.98,65.22,56.05,32.12,76.42,61.87,34.58,53.12,33.29,108.62
2014-02-13,45.81,40.1961,86.04,92.27,91.43,80.96,35.2,14.0,64.71,56.66,32.11,76.44,62.04,34.79,53.46,33.27,108.98
2014-02-14,45.76,40.6667,85.71,95.76,94.11,83.39,35.95,14.16,65.53,56.31,32.0,76.28,62.25,34.71,53.57,33.22,108.63
2014-02-18,45.5,40.3333,87.75,96.28,94.07,83.32,36.31,14.17,65.37,56.49,31.8,75.6,62.22,34.16,54.13,33.54,110.14
2014-02-19,44.9,40.1372,87.56,94.94,93.95,84.07,36.03,13.91,65.0,55.35,31.32,75.77,61.43,33.9,54.53,33.34,110.37
2014-02-20,45.2,40.4804,86.15,95.4,95.37,84.36,36.51,13.99,64.92,54.69,33.32,75.95,61.54,33.825,55.38,33.48,109.42
2014-02-21,45.26,41.0294,85.98,95.39,95.03,84.56,36.69,14.06,64.68,54.17,32.72,75.61,61.9,33.725,55.3,33.26,109.03
2014-02-24,45.27,41.0,87.44,96.07,96.44,84.33,36.55,14.2,66.42,54.27,34.4,75.43,62.45,34.635,56.37,33.89,109.76
2014-02-25,45.34,41.4314,88.79,95.82,96.31,83.09,36.1,14.06,66.52,53.86,33.76,74.91,61.86,35.02,55.58,34.03,109.19
2014-02-26,45.53,42.9216,90.22,95.2,95.79,79.82,36.83,14.14,66.13,53.72,35.02,75.05,61.72,35.845,55.16,33.77,109.39
2014-02-27,45.61,43.4608,91.62,95.53,95.84,79.59,36.77,14.22,66.25,53.92,34.95,75.19,62.18,36.155,55.69,33.32,108.54
2014-02-28,45.55,43.0196,89.69,96.52,96.27,79.29,36.2,14.17,66.5,54.03,35.46,75.29,61.85,36.4,57.0,33.5,108.98
2014-03-03,44.95,42.9804,88.42,96.05,95.5,79.86,36.21,14.12,66.31,55.4,36.2,73.63,61.33,36.145,56.38,33.54,111.26
2014-03-04,46.31,42.8627,89.06,97.22,96.52,80.48,36.93,14.33,66.5,56.59,36.75,76.11,62.29,36.225,56.9,33.87,109.17
2014-03-05,46.55,42.3039,88.5,96.85,93.8,79.01,37.52,14.42,66.3,57.25,36.8,76.67,62.13,35.975,56.19,33.61,108.15
2014-03-06,46.65,42.0588,87.3,96.27,93.76,79.52,37.54,14.61,66.39,57.4,37.0,77.0,62.82,35.875,56.92,33.82,107.99
2014-03-07,46.58,41.2353,87.3,97.13,94.99,80.05,37.69,14.57,66.51,57.28,36.65,76.79,64.02,36.025,56.2,34.24,109.14
2014-03-10,46.51,40.2353,89.64,97.22,95.5,80.5,37.09,14.52,66.89,56.46,36.5,77.07,64.12,36.18,56.47,34.3,108.27
2014-03-11,46.2,40.3333,91.5,96.41,94.01,79.55,35.18,14.42,66.53,56.11,36.23,76.71,63.14,36.125,55.72,33.93,108.35
2014-03-12,46.42,40.6471,91.39,96.39,94.21,79.19,34.86,14.51,66.54,56.64,37.32,76.97,62.7,36.19,55.39,33.46,107.88
2014-03-13,46.16,39.5588,89.51,95.81,93.64,78.99,34.09,14.45,66.32,57.18,36.83,75.63,61.795,36.15,55.25,32.87,107.48
2014-03-14,46.07,39.2353,95.26,96.52,93.47,79.23,34.09,14.41,66.6,58.54,36.68,74.74,62.04,36.335,55.19,33.08,108.08
