,loc^ation,rat^e,agency_id,house_id,ho~use_type,rent,contract_id,year
82,"Rome, Italy",3,8,13,apartment,700,119,2019
66,"Rome, Italy",3,17,120,apartment,600,124,2019
234,"Paris, France",4,10,174,apartment,1000,462,2019
137,"Paris, France",2,13,122,apartment,600,140,2019
205,"Madrid, Spain",3,6,279,unknown,500,241,2018
80,"Madrid, Spain",3,6,203,none,900,499,2018
273,"Paris, France",3,24,192,apartment,0,173,2019
301,"Rome, Italy",1,2,207,apartment,900,432,2019
355,"Madrid, Spain",3,6,61,none,700,167,2018
237,"Paris, France",2,13,58,apartment,800,255,2018
261,"Lisbon, Portugal",2,12,104,house,700,410,2018
235,"Rome, Italy",2,11,144,apartment,600,217,2018
231,"Madrid, Spain",1,7,22,apartment,0,83,2019
108,"Paris, France",5,9,1,apartment,700,305,2019
91,"Rome, Italy",3,17,253,apartment,600,495,2018
297,"Madrid, Spain",2,23,20,apartment,600,219,2019
28,"Paris, France",3,4,27,apartment,600,191,2019
319,"Lisbon, Portugal",2,20,89,apartment,600,161,2018
156,"Madrid, Spain",1,7,16,apartment,0,139,2019
184,"Paris, France",4,10,355,house,1000,472,2019
215,"Berlin, Germany",3,16,127,unknown,500,185,2019
123,"Paris, France",3,24,34,apartment,700,283,2019
271,"Lisbon, Portugal",4,22,280,apartment,400,421,2018
290,"Berlin, Germany",3,16,277,apartment,800,359,2019
67,"Paris, France",2,18,236,none,700,106,2019
95,"Berlin, Germany",3,21,177,apartment,800,29,2019
63,"Lisbon, Portugal",4,14,358,apartment,900,12,2019
131,"Madrid, Spain",1,7,81,unknown,700,404,2019
285,"Rome, Italy",2,11,82,unknown,500,433,2019
228,"Paris, France",3,4,173,apartment,700,232,2019
252,"Lisbon, Portugal",5,3,160,apartment,600,340,2019
64,"Berlin, Germany",3,15,145,unknown,400,311,2019
168,"Paris, France",5,19,143,apartment,600,137,2019
179,"Rome, Italy",3,5,60,apartment,700,47,2018
331,"Madrid, Spain",1,7,197,unknown,600,350,2019
98,"Paris, France",3,24,161,apartment,600,147,2018
106,"Madrid, Spain",1,7,23,apartment,700,338,2019
