age,height,gender,birthdate
88.0,163.0,female,1942-02-27
29.0,158.0,female,1946-03-31
42.0,159.0,female,1946-09-13
25.0,179.0,male,1947-08-25
32.0,169.0,male,1954-01-24
32.0,169.0,male,1954-04-27
32.0,169.0,male,1955-01-07
32.0,169.0,male,1957-06-12
,162.0,male,1959-01-22
36.0,166.0,female,1962-04-16
1.0,165.0,female,1967-02-20
18.0,134.0,female,1967-09-09
31.0,149.0,female,1969-02-02
34.0,172.0,female,1974-02-01
22.0,174.0,female,1974-08-10
22.0,,male,1978-03-23
26.0,161.0,male,1981-07-28
45.0,181.0,female,1981-12-09
27.0,170.0,male,1983-02-10
1.0,173.0,female,1983-04-24
21.0,252.0,female,1986-12-03
26.0,65.0,female,1987-06-16
49.0,235.0,female,1989-03-24
,182.0,,1990-07-24
19.0,156.0,male,1994-09-13
32.0,161.0,female,1944-12-07
47.0,178.0,male,1948-12-10
25.0,167.0,female,1949-01-17
25.0,157.0,female,1949-08-20
20.0,150.0,female,1950-09-20
38.0,181.0,male,1954-07-26
21.0,156.0,female,1955-02-05
,181.0,female,1955-12-19
49.0,174.0,male,1962-06-27
18.0,203.0,male,1963-08-12
44.0,142.0,male,1967-10-12
22.0,156.0,female,1972-09-05
18.0,158.0,male,1976-10-03
25.0,168.0,female,1978-09-23
29.0,168.0,female,1982-07-18
19.0,169.0,female,1985-12-24
43.0,191.0,male,1988-04-06
31.0,161.0,female,1991-01-14
18.0,168.0,female,1991-04-30
23.0,174.0,male,1993-05-22
73.0,180.0,male,1994-11-02
18.0,168.0,female,1996-04-30
,185.0,male,1997-09-13
24.0,160.0,female,1997-12-18
23.0,152.0,male,1998-12-29
300000000.0,184.0,female,1947-07-05
63.0,170.0,male,1954-06-10
23.0,177.0,male,1955-03-24
41.0,184.0,male,1959-05-26
50.0,182.0,female,1959-12-23
1.0,152.0,female,1962-02-28
63.0,184.0,male,1964-03-05
1.0,145.0,female,1966-12-07
59.0,182.0,female,1966-12-18
36.0,157.0,male,1968-09-02
27.0,168.0,male,1972-01-17
20.0,184.0,female,1975-01-07
29.0,170.0,male,1975-08-04
26.0,168.0,female,1975-12-19
1.0,174.0,female,1976-10-25
47.0,176.0,female,1979-05-01
22.0,159.0,female,1982-01-15
24.0,143.0,male,1983-02-08
26.0,170.0,female,1983-06-30
31.0,182.0,female,1983-10-10
26.0,182.0,female,1986-08-02
21.0,147.0,male,1991-09-22
21.0,175.0,male,1994-03-12
31.0,180.0,male,1997-04-09
30.0,172.0,female,1999-04-25
30.0,146.0,female,1940-06-28
1.0,158.0,female,1941-04-16
27.0,163.0,male,1946-03-04
18.0,180.0,male,1947-05-01
