,MADRID,rome,Rome,Lisboa,madrid,Roma,Budapest,paris,Lisbon,LISBON,Barcelona,Milan,BERLIN,budapest,"lisbon, Portugal","paris, france"
dec,,,540.0,186.0,1235.0,,994.0,417.0,1420.0,,401.0,1045.0,1085.0,,1340.0,865.0
APRIL,198.0,1133.0,975.0,1192.0,,,,1157.0,261.0,34.0,,,1081.0,510.0,571.0,
jun,96.0,,1277.0,937.0,1324.0,542.0,,,502.0,,1147.0,638.0,1093.0,,,109.0
november,,,62.0,,,,,474.0,1486.0,887.0,607.0,1201.0,470.0,,379.0,1315.0
January,,652.0,,,674.0,,938.0,432.0,371.0,,,,1233.0,,,337.0
April,380.0,1496.0,,254.0,,229.0,97.0,1269.0,740.0,,1384.0,830.0,172.0,,1190.0,
May,1247.0,249.0,,,,,978.0,547.0,353.0,113.0,,558.0,,1097.0,,1253.0
OCTOBER,599.0,,1026.0,,746.0,344.0,1372.0,,35.0,1222.0,,419.0,1317.0,746.0,12.0,289.0
October,,56.0,,836.0,723.0,815.0,,,1173.0,227.0,960.0,,500.0,,640.0,1328.0
MARCH,,203.0,588.0,,,60.0,855.0,222.0,,,581.0,1106.0,,865.0,,726.0
Jul,796.0,,,1087.0,,307.0,447.0,,,,103.0,,512.0,1164.0,829.0,
August,1000.0,,175.0,547.0,1091.0,1096.0,,1003.0,,134.0,1273.0,,,787.0,391.0,
JAN,486.0,49.0,14.0,1010.0,,480.0,,,,939.0,,933.0,1006.0,532.0,231.0,1131.0
Feb.,,685.0,689.0,995.0,398.0,1155.0,284.0,,,,1453.0,923.0,,,,963.0
July,190.0,,636.0,192.0,1096.0,288.0,542.0,1188.0,,512.0,,780.0,,334.0,1132.0,704.0
DECEMBER,,,902.0,,28.0,1088.0,,,36.0,,111.0,,,292.0,1326.0,
March,181.0,338.0,,,347.0,,991.0,440.0,1079.0,37.0,1303.0,,570.0,189.0,,
JANUARY,,1341.0,,607.0,237.0,,,163.0,,1368.0,221.0,1480.0,,178.0,,170.0
February,1444.0,202.0,,,1423.0,1000.0,1417.0,,,1192.0,1457.0,1124.0,1003.0,,492.0,
September,798.0,1083.0,1398.0,1038.0,,1419.0,1028.0,916.0,328.0,815.0,,715.0,345.0,161.0,176.0,1064.0
June,1371.0,634.0,90.0,146.0,1220.0,,349.0,93.0,1177.0,453.0,,,,1307.0,,
