Name,Active,Gender,Membership,Universe,Appearances,TotalDeaths,TotalReturns
"Henry Jonathan ""Hank"" Pym",YES,MALE,Full,Earth-616,1269,1,0
Janet van Dyne,YES,FEMALE,Full,Earth-616,1165,1,1
"Anthony Edward ""Tony"" Stark",YES,MALE,Full,Earth-616,3068,1,1
Robert Bruce Banner,YES,MALE,Full,Earth-616,2089,1,1
Thor Odinson,YES,MALE,Full,Earth-616,2402,2,1
Richard Milhouse Jones,YES,MALE,Honorary,Earth-616,612,0,0
Steven Rogers,YES,MALE,Full,Earth-616,3458,1,1
Clinton Francis Barton,YES,MALE,Full,Earth-616,1456,2,2
Pietro Maximoff,YES,MALE,Full,Earth-616,769,1,1
Wanda Maximoff,YES,FEMALE,Full,Earth-616,1214,1,1
Jacques Duquesne,NO,MALE,Full,Earth-616,115,1,1
Heracles,YES,MALE,Full,Earth-616,741,0,0
T'Challa,NO,MALE,Full,Earth-616,780,0,0
Victor Shade (alias),YES,MALE,Full,Earth-616,1036,1,1
Natalia Alianovna Romanova,YES,FEMALE,Full,Earth-616,1112,1,1
Brandt,NO,FEMALE,Full,Earth-616,160,1,1
Henry P. McCoy,NO,MALE,Full,Earth-616,1886,0,0
Heather Douglas,NO,FEMALE,Full,Earth-616,332,2,2
Patsy Walker,NO,FEMALE,Full,Earth-616,557,1,1
Matthew Liebowitz (birth name),NO,MALE,Full,Earth-616,197,2,1
Robert L. Frank Sr.,NO,MALE,Full,Earth-616,106,1,0
Simon Williams,YES,MALE,Full,Earth-616,692,1,1
Yondu Udonta,NO,MALE,Honorary,Earth-691,109,0,0
Martinex T'Naga,NO,MALE,Honorary,Earth-691,100,0,0
Charlie-27,NO,MALE,Honorary,Earth-691,132,0,0
Nicholette Gold,NO,FEMALE,Honorary,Earth-691,108,0,0
Stakar,NO,MALE,Honorary,Earth-691,100,0,0
Vance Astrovik,NO,MALE,Honorary,Earth-691,156,0,0
Mar-Vell,NO,MALE,Full,Earth-616,254,3,2
Carol Susan Jane Danvers,YES,FEMALE,Full,Earth-616,935,0,0
Samuel Thomas Wilson,YES,MALE,Full,Earth-616,576,0,0
Jocasta,YES,FEMALE,Full,Earth-616,141,5,5
Greer Grant Nelson,YES,FEMALE,Full,Earth-616,355,0,0
Jennifer Walters,YES,FEMALE,Full,Earth-616,933,1,1
Monica Rambeau,YES,FEMALE,Full,Earth-616,348,0,0
Eros,NO,MALE,Full,Earth-616,206,0,0
James R. Rhodes,NO,MALE,Full,Earth-616,533,0,0
Barbara Barton (nee Morse),NO,FEMALE,Full,Earth-616,374,1,1
Moira Brandon,NO,FEMALE,Honorary,Earth-616,2,1,0
Benjamin Jacob Grimm,NO,MALE,Full,Earth-616,2305,1,1
Bonita Juarez,NO,FEMALE,Full,Earth-616,83,0,0
Marc Spector,NO,MALE,Full,Earth-616,402,0,0
John F. Walker,NO,MALE,Full,Earth-616,352,0,0
Miguel Santos,NO,MALE,Full,Earth-616,112,0,0
Julia Carpenter,NO,FEMALE,Full,Earth-616,218,0,0
X-51,NO,MALE,Full,Earth-616,149,1,1
Christopher Powell,NO,MALE,Full,Earth-616,168,0,0
Namor McKenzie,NO,MALE,Full,Earth-616,1561,1,1
Scott Edward Harris Lang,NO,MALE,Full,Earth-616,217,1,1
Anthony Ludgate Druid,NO,MALE,Honorary,Earth-616,158,2,2
Marrina Smallwood,NO,FEMALE,Full,Earth-616,86,2,2
Ravonna Lexus Renslayer,NO,FEMALE,Full,Earth-6311,41,2,1
Rita DeMara,NO,FEMALE,Honorary,Earth-616,68,1,1
Dennis Dunphy,NO,MALE,Full,Earth-616,70,2,1
Reed Richards,YES,MALE,Full,Earth-616,2125,0,0
Susan Richards (nee Storm),NO,MALE,Full,Earth-616,1761,0,0
Wendell Elvis Vaughn,NO,MALE,Full,Earth-616,293,1,1
Ashley Crawford,YES,FEMALE,Full,Earth-616,36,0,0
DeMarr Davis,YES,MALE,Full,Earth-616,31,1,1
Val Ventura,YES,MALE,Full,Earth-616,34,0,0
Craig Hollis,YES,MALE,Full,Earth-616,33,0,0
Gene Lorrene,NO,MALE,Full,Earth-616,4,0,0
Dorreen Green,NO,FEMALE,Full,Earth-616,47,0,0
Doug Taggert,NO,MALE,Full,Earth-616,3,1,0
Wade Wilson,NO,MALE,Full,Earth-616,575,1,0
Greg Willis,NO,MALE,Full,Earth-616,58,0,0
Circe,NO,FEMALE,Full,Earth-616,237,0,0
Peter Benjamin Parker,YES,MALE,Full,Earth-616,4333,2,2
Walter Newell,NO,MALE,Full,Earth-616,126,0,0
Elvin Haliday,NO,MALE,Probationary,Earth-616,158,0,0
William Baker,NO,MALE,Probationary,Earth-616,355,1,1
Crystal Amaquelin Maximoff,NO,FEMALE,Full,Earth-616,517,0,0
Eric Kevin Masterson,NO,MALE,Full,Earth-616,202,2,1
Phillip Javert,NO,MALE,Honorary,Earth-921,31,0,0
Anthony Edward Stark,NO,MALE,Full,Earth-96020,27,1,0
Vance Astrovik,NO,MALE,Full,Earth-616,302,0,0
Angelica Jones,NO,FEMALE,Full,Earth-616,330,0,0
Delroy Garrett Jr.,NO,MALE,Full,Earth-616,101,0,0
Maria de Guadalupe Santiago,NO,FEMALE,Full,Earth-616,43,0,0
Jonathan Hart,NO,MALE,Full,Earth-616,126,2,2
Kelsey Leigh Shorr,NO,FEMALE,Full,Earth-616,24,0,0
Carl Lucas,YES,MALE,Full,Earth-616,886,0,0
Veranke,NO,FEMALE,Full,Earth-616,159,1,0
"James ""Logan"" Howlett",YES,MALE,Full,Earth-616,3130,1,0
Robert Reynolds,NO,MALE,Full,Earth-616,241,1,1
Maya Lopez,NO,FEMALE,Full,Earth-616,67,2,1
Elijah Bradley,NO,MALE,Full,Earth-616,103,0,0
"William ""Billy"" Kaplan",YES,MALE,Full,Earth-616,123,0,0
"Dorrek VIII/Theodore ""Teddy"" Altman",YES,MALE,Full,Earth-616,110,0,0
Cassie Lang,NO,FEMALE,Full,Earth-616,160,1,1
"Katherine ""Kate"" Bishop",YES,FEMALE,Full,Earth-616,132,0,0
"Thomas ""Tommy"" Shepherd",YES,MALE,Full,Earth-616,59,0,0
Daniel Thomas Rand K'ai,NO,MALE,Full,Earth-616,629,0,0
Doctor Stephen Vincent Strange,NO,MALE,Full,Earth-616,1324,0,0
Ares,NO,MALE,Full,Earth-616,236,2,1
James Buchanan Barnes,NO,MALE,Full,Earth-616,663,0,0
Jessica Miriam Drew,YES,FEMALE,Full,Earth-616,525,0,0
