adult,Viscera weight,Coarse-grained Hormones,Diameter,Length,Phosphorylation,Ectopic relationships,Height,Whole weight,Shell weight,Sex,Shucked weight
1.0,0.10099999999999999,0.47,0.365,0.455,0.073,0.989,0.095,0.514,0.15,M,0.2245
0.0,0.0485,0.697,0.265,0.35,0.655,0.119,0.09,0.2255,0.07,M,0.0995
1.0,0.1415,0.646,0.42,0.53,0.175,0.447,0.135,0.677,0.21,F,0.2565
1.0,0.114,0.245,0.365,0.44,0.169,0.373,0.125,0.516,0.155,M,0.2155
0.0,0.0395,0.996,0.255,0.33,0.606,0.002,0.08,0.205,0.055,I,0.0895
1.0,0.0775,0.546,0.3,0.425,0.137,0.583,0.095,0.3515,0.12,I,0.141
1.0,0.1415,0.209,0.415,0.53,0.264,0.508,0.15,0.7775,0.33,F,0.237
1.0,0.1495,0.344,0.425,0.545,0.795,0.37,0.125,0.768,0.26,F,0.294
1.0,0.1125,0.394,0.37,0.475,0.624,0.382,0.125,0.5095,0.165,M,0.2165
1.0,0.151,0.044,0.44,0.55,0.471,0.502,0.15,0.8945,0.32,F,0.3145
1.0,0.1475,0.361,0.38,0.525,0.04,0.619,0.14,0.6065,0.21,F,0.19399999999999998
1.0,0.081,0.63,0.35,0.43,0.486,0.889,0.11,0.406,0.135,M,0.1675
1.0,0.095,0.665,0.38,0.49,0.105,0.678,0.135,0.5415,0.19,M,0.2175
1.0,0.171,0.393,0.405,0.535,0.355,0.286,0.145,0.6845,0.205,F,0.2725
1.0,0.0805,0.951,0.355,0.47,0.03,0.883,0.1,0.4755,0.185,F,0.1675
1.0,0.133,0.683,0.4,0.5,0.449,0.036,0.13,0.6645,0.24,M,0.258
0.0,0.0395,0.701,0.28,0.355,0.084,0.47,0.085,0.2905,0.115,I,0.095
1.0,0.087,0.003,0.34,0.44,0.46,0.694,0.1,0.451,0.13,F,0.188
0.0,0.043,0.159,0.295,0.365,0.256,0.373,0.08,0.2555,0.1,M,0.09699999999999999
1.0,0.075,0.61,0.32,0.45,0.879,0.842,0.1,0.381,0.115,M,0.1705
1.0,0.062,0.598,0.28,0.355,0.292,0.098,0.095,0.2455,0.075,M,0.0955
1.0,0.049,0.556,0.275,0.38,0.44,0.42,0.1,0.2255,0.085,I,0.08
1.0,0.214,0.761,0.44,0.565,0.613,0.997,0.155,0.9395,0.27,F,0.4275
1.0,0.21,0.483,0.415,0.55,0.36,0.985,0.135,0.7635,0.2,F,0.318
1.0,0.301,0.661,0.48,0.615,0.469,0.498,0.165,1.1615,0.305,F,0.513
1.0,0.188,0.071,0.44,0.56,0.78,0.095,0.14,0.9285,0.3,F,0.3825
