tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z
0.28858451,-0.020294171,-0.13290514,-0.0061008489,-0.031364791,0.1077254
0.27841883,-0.016410568,-0.12352019,-0.01611162,-0.08389377699999999,0.10058429
0.27965306,-0.019467156,-0.11346169,-0.031698294,-0.10233542,0.096126876
0.27917394,-0.026200646,-0.12328257,-0.043409983,-0.091386182,0.08553769900000001
0.27662877,-0.016569655,-0.11536185,-0.033960416,-0.074708034,0.077392035
0.27719877,-0.01009785,-0.10513725,-0.028775507999999998,-0.070393108,0.07901214200000001
0.27945388,-0.019640776000000002,-0.11002215,-0.028600251,-0.083046734,0.095464555
0.27743247,-0.030488302999999998,-0.12536043,-0.024200262,-0.07789261,0.094095607
0.27729342,-0.021750698,-0.12075082,-0.024831025,-0.066401639,0.077862982
0.28058569,-0.0099602983,-0.10606516,-0.0234154,-0.070925683,0.078975843
0.27688027,-0.012721805,-0.10343832,-0.024708255,-0.068884585,0.085481775
0.27622817,-0.021441302000000002,-0.10820234,-0.031173158,-0.074666711,0.091577535
0.278457,-0.020414761,-0.11273172,-0.029168611,-0.07594406599999999,0.086183519
0.27717497,-0.014712801999999999,-0.10675647,-0.027087093,-0.07183134299999999,0.083622237
0.29794572,0.027093907999999996,-0.061668123,-0.010548201,0.15705425,-0.17452147
0.27920345,-0.023020143,-0.12208028,-0.015810859,0.027702205,-0.02694145
0.27903836,-0.014800378000000001,-0.11684896,-0.013406816,-0.046264419,0.060933625
0.2801349,-0.013916951,-0.10637048,-0.012725097,-0.077761376,0.09450366800000001
0.27773106,-0.018210718,-0.10918803,-0.02464236,-0.08779086300000001,0.10782187
0.27556818,-0.016979698,-0.11142918,-0.029461913,-0.084376762,0.10074789
0.27756171,-0.014318487,-0.10787724,-0.029814933,-0.078706495,0.093773469
0.27715238,-0.017983328,-0.10660117,-0.02917889,-0.07955402,0.09458527900000001
0.2756763,-0.021264234,-0.11080122,-0.028153699,-0.076118947,0.08899875800000001
0.2792002,-0.017714426999999998,-0.10916135,-0.027220935,-0.069195151,0.07905522799999999
0.28171549,-0.011910678000000001,-0.10287513,-0.024960701000000002,-0.071607144,0.080856127
0.27899267,-0.014531028999999999,-0.10659617,-0.027372739,-0.0753043,0.088552726
0.27573444,-0.01801884,-0.10677578,-0.030529617000000002,-0.07470518599999999,0.089415593
0.14450396,0.18926326,0.062769317,-0.046489666,-0.28289794,0.22948437
0.28725164,-0.037455063999999996,-0.14597431,-0.04840838,-0.23917386,0.24705037
0.2799976,-0.019484036,-0.10572355,-0.039411936,-0.16674787,0.18301929
0.22184689,0.034107675,-0.12361242,-0.037731641,0.021333829,0.076579313
-0.041701306,0.17510248,0.025551777999999997,-0.0038232806,0.019187316,-0.050212092
0.013903671000000001,0.15329608,0.016242945,-0.0045972195,-0.15669611,0.060405191
0.30368927,-0.0042428053,-0.15085028,-0.042681542,-0.15263343,0.20315388
0.29075969,-0.02403476,-0.11673889,-0.041556712999999995,-0.11325798,0.1566043
0.27090823,-0.014412968,-0.10652245,-0.035457677,-0.091001714,0.11779396
0.2795534,-0.017001147,-0.11051668,-0.030919137000000003,-0.074625079,0.094283835
0.27635864,-0.016138088000000002,-0.10803259,-0.028201987,-0.07229608900000001,0.08488932199999999
0.23715407,0.0078251224,-0.12283791,-0.22503946,-0.13315886,-0.59416576
0.2731084,0.0065181116,-0.10947182,-0.14933808,-0.10757556,-0.28657183
0.28150539,-0.018434858999999998,-0.11139287,-0.079366112,-0.094869929,-0.040538466
0.27843225,-0.019654302,-0.10797029,-0.037824733,-0.07652653,0.074576303
0.2733796,-0.0099401064,-0.10839283,-0.0210748,-0.072633665,0.11579647
0.27905615,-0.01626097,-0.11281565,-0.01749462,-0.073362144,0.12893616
0.2785991,-0.019910142,-0.1111806,-0.020494785,-0.069807644,0.1068855
0.27328142,-0.011127208999999999,-0.10634926,-0.024644144,-0.070023979,0.09263191800000001
0.27853812,-0.016173431999999998,-0.10970656,-0.02633867,-0.07452605799999999,0.092148536
0.27746121,-0.017491016,-0.10635945,-0.028021481,-0.07403317,0.081238251
0.27394057,-0.013147583999999999,-0.10543517,-0.028699232,-0.075571862,0.08489365
0.27930326,-0.020521383,-0.11323643,-0.028006084,-0.07630627,0.092467106
0.2790872,-0.019083242,-0.10588882,-0.028211663999999997,-0.072544173,0.080864612
0.40347433,-0.015074404,-0.11816739,0.031551954,-0.13199514,0.54327885
0.27837321,-0.020560963999999998,-0.096824565,0.0092571098,-0.078793121,0.25756479
0.27655526,-0.01786855,-0.10762126,-0.013424388999999998,-0.075370833,0.10054482
0.27957476,-0.017275722,-0.10948053,-0.02495981,-0.07613394400000001,0.043037574
0.27652699,-0.0168191,-0.10798311,-0.029550387,-0.068085138,0.045946749
0.27812334,-0.017146303,-0.10801374,-0.030431147000000002,-0.073488076,0.055590694
0.27800654,-0.01780317,-0.10896485,-0.02979633,-0.071422989,0.075146974
0.2802064,-0.01839626,-0.10748863,-0.02885418,-0.072704386,0.08506198699999999
0.28182774,-0.018626474,-0.10527824,-0.027737135,-0.075772812,0.086471819
0.27672941,-0.017209548,-0.10563797,-0.027415437999999997,-0.07623651099999999,0.088193255
0.27588359,-0.016150308999999998,-0.10882921,-0.027557917,-0.074717452,0.087574809
0.27783021,-0.017684053999999998,-0.1057035,-0.028189687999999997,-0.075922288,0.08524246699999999
0.27937115,-0.017644953,-0.10818111,-0.027948324,-0.07574882299999999,0.086152221
0.019016151000000002,-0.0070373566,-0.028333356,0.20204982,0.040694905,0.73162657
0.3402085,-0.036452984,-0.10625819,0.1186012,-0.018781307,0.51290211
-0.16642569,-0.11935251,0.13303497,-0.059379779,0.08809224,0.13125568
-0.23910256,-0.09690439099999999,0.14803461,-0.035961192,-0.034605486,0.058812712999999996
