surfer;wave_power;location;visit_id
3;37,6;Rocky Point;146097
3;5,7;Chuns;146087
3;5;Noronha(Cacimba);130395
3;5;Rocky Point;130363
3;11,3;Noronha(Conceicao);130362
3;8,9;Noronha(Boldo);130360
3;32,7;Pupukea;126903
3;32,7;Pupukea;126902
3;9,7;Ehukai;126591
3;10,4;Changes;126590
3;8,2;Changes;126341
3;38,6;Laniakea;126340
3;34,1;Laniakea;125540
3;14,4;Glass Doors;122199
3;34,9;Walter’s West;121170
3;20,4;Gas Chambers;120454
3;21,7;Rocky Point;119736
3;21,2;Rocky Point;119735
3;11,5;Chuns;119056
3;10,6;Chuns;119055
3;31,2;Rocky Point;119054
3;35;Army Beach;118613
1;10,4;Haleiwa;149002
1;24,95;Walter’s West;148519
1;5;Velzyland;148052
1;24,95;Walter’s West;146255
1;8,17;Silver Channel;146057
1;12,7;Haleiwa;145873
1;6,7;Rocky Point;145735
1;3,31;Silver Channel;145485
1;1,5;Log Cabins;145293
1;10;Mokuleia;135868
1;16;Walter’s West;135867
1;5;Ala Moana Bowls;135335
1;34;Ala Moana Bowls;134536
1;3;Chuns;133839
1;1,9;Backdoor;133415
1;0,5;Backdoor;133413
1;7,4;Off the Wall;131629
1;1,5;Off the Wall;131567
1;5;Sand Island;131062
1;22,7;Walter’s West;131061
3;16,1;Walter’s East;123427
3;28,7;Walter’s West;123394
3;20,4;Changes;122756
3;32,5;Army Beach;122623
1;6,5;Rocky Point;130094
1;16,1;Walter’s West;129865
1;25;Backdoor;128969
1;23,2;Walter’s West;128932
1;18,4;Gas Chambers;128491
1;6,7;Laniakea;128121
1;;Rocky Point;127707
1;4;Gas Chambers;127453
3;35,7;Gas Chambers;146145
3;8,18;Rocky Point;146089
3;32,7;Gas Chambers;146088
3;4,2;;144164
3;4,2;Rocky Point;142772
3;12,8;Rocky Point;142547
3;7,4;Rocky Point;142546
3;4,2;Chuns;142545
3;7,4;Rocky Point;142544
3;4,2;Rocky Point;142395
3;7,4;Rocky Point;142394
3;6,7;Gas Chambers;142393
3;3,76;Pupukea;138448
3;20,8;Rocky Point;136127
3;20,8;Chuns;136126
3;2,9;Electric Beach;136125
3;4,2;Chuns;136124
3;20,8;Poily’s;135804
3;13,9;Noronha(Abras);130369
3;8;"Oceanside; CA";130359
3;7,5;Chuns;127365
3;7,4;Changes;126968
3;40;Haleiwa;117018
3;15;Yokohama Bay;116936
1;38,4;Rocky Point;151376
1;38,4;Rocky Point;151375
1;11,6;Log Cabins;150536
1;18,4;Backdoor;150441
1;8,19;Gas Chambers;150302
1;1,5;Backdoor;150293
1;13,9;Walter’s West;150292
1;13,9;Walter’s East;149791
1;1;Rocky Point;145294
1;3,31;Backdoor;144104
1;3,31;Rocky Point;143983
1;0,5;Rocky Point;143005
1;1,3;Gas Chambers;142901
1;5;Chuns;142552
1;13,86;Rocky Point;142511
1;1,5;Gas Chambers;142326
1;1,5;Velzyland;142324
1;1,7;Gas Chambers;141344
1;4,6;Ala Moana Bowls;138447
1;3,31;Gas Chambers;138179
1;1,7;Laniakea;137995
1;1,7;Gas Chambers;137906
2;29,6;Army Beach;157353
2;20,1;Silver Channel;157352
2;27,3;Haleiwa;157351
2;20,1;Poily’s;157350
2;15,1;Rocky Point;157348
2;7,43;Poily’s;153466
2;45,1;Haleiwa;153464
2;31,9;Army Beach;153463
