Country	Literacy rate (all)	Male literacy	Female literacy	Gender difference
World	86.3%	90.0%	82.7%	7.3%
Afghanistan	38.2%	52.0%	24.2%	27.8%
Albania	97.6%	98.4%	96.8%	1.6%
Algeria	80.2%	87.2%	73.1%	14.0%
Andorra	not reported by UNESCO 2015			
Angola	71.1%	82.0%	60.7%	21.3%
Antigua and Barbuda	not reported by UNESCO 2015	99.0%(2013)[3][note 1]		
Argentina	98.1%	98.0%	98.1%	-0.1%
Armenia	99.8%	99.8%	99.7%	0.1%
Australia	not reported by UNESCO 2015			
Austria	not reported by UNESCO 2015			
Azerbaijan	99.8%	99.9%	99.7%	0.2%
Bahamas	not reported by UNESCO 2015			
Bahrain	95.7%	96.9%	93.5%	3.5%
Bangladesh	72.8%[note 2]	75.6%	69.9%	5.7%
Barbados	not reported by UNESCO 2015			
Belarus	99.7%	99.8%	99.7%	0.1%
Belgium	not reported by UNESCO 2015			
Belize	82.7%	82.3%	83.0%	-0.7%
Benin	38.4%	49.9%	27.3%	22.6%
Bhutan	64.9%	73.1%	55.0%	18.1%
Bolivia	95.7%	97.8%	93.6%	4.2%
Bosnia and Herzegovina	98.5%	99.5%	97.5%	2.1%
Botswana	88.5%	88.0%	88.9%	-0.9%
Brazil	91.7%	91.4%	92.1%	-0.7%
Brunei	96.4%	97.7%	95.1%	2.6%
Bulgaria	98.4%	98.7%	98.1%	0.7%
Burkina Faso	36%	43.0%	29.3%	13.7%
Burundi	85.6%	88.2%	83.1%	5.1%
Cabo Verde	87.6%	92.1%	83.1%	9.0%
Cambodia	77.2%	84.5%	70.5%	13.9%
Cameroon	75%	81.2%	68.9%	12.3%
Canada	not reported by UNESCO 2015			
Central African Republic	36.8%	50.7%	24.4%	26.4%
Chad	40.2%	48.5%	31.9%	16.6%
Chile	97.3%	97.4%	97.2%	0.2%
China	96.4%	98.2%	94.5%	3.7%
Colombia	94.7%	94.6%	94.8%	-0.2%
Comoros	77.8%	81.8%	73.7%	8.1%
Congo	79.3%	86.4%	72.9%	13.6%
Congo, Democratic Republic of the	77.3%	88.9%	66.0%	22.8%
Costa Rica	97.8%	97.7%	97.8%	-0.1%
Ivory Coast	43.1%	53.1%	32.5%	20.6%
Croatia	99.3%	99.7%	98.9%	0.7%
Cuba	99.7%	99.7%	99.8%	-0.1%
Cyprus	99.1%	99.5%	98.7%	0.8%
Czech Republic	not reported by UNESCO 2015			
Denmark	not reported by UNESCO 2015			
Djibouti	not reported by UNESCO 2015			
Dominica	not reported by UNESCO 2015			
Dominican Republic	91.8%	91.2%	92.3%	-1.1%
Ecuador	94.5%	95.4%	93.5%	1.8%
Egypt	75.2%	83.2%	67.3%	16.0%
El Salvador	88.4%	90.7%	86.4%	4.3%
Equatorial Guinea	95.3%	97.4%	93.0%	4.4%
Eritrea	73.8%	82.4%	65.5%	16.9%
Estonia	99.8%	99.8%	99.8%	0.0%
Ethiopia	49.1%	57.2%	41.1%	16.1%
Fiji	not reported by UNESCO 2015			
Finland	not reported by UNESCO 2015			
France	not reported by UNESCO 2015			
Gabon	83.2%	85.3%	81.0%	4.3%
Gambia	55.5%	63.9%	47.6%	16.3%
Georgia	99.8%	99.8%	99.7%	0.1%
Germany	not reported by UNESCO 2015			
Ghana	76.6%	82.0%	71.4%	10.7%
Greece	97.7%	98.5%	96.9%	1.6%
Grenada	not reported by UNESCO 2015			
Guatemala	79.3%	84.7%	74.4%	10.4%
Guinea	30.4%	38.1%	22.8%	15.3%
Guinea-Bissau	59.9%	71.8%	48.3%	23.5%
Guyana	88.5%	87.2%	89.8%	-2.6%
Haiti	60.7%	64.3%	57.3%	7.0%
Honduras	88.5%	88.4%	88.6%	-0.1%
Hungary	99.1%	99.1%	99.0%	0.2%
Iceland	not reported by UNESCO 2015			
India	72.1%	80.9%	62.8%	18.1%
Indonesia	93.9%	96.3%	91.5%	4.7%
Iran	86.8%	91.2%	82.5%	8.7%
Iraq	79.7%	85.7%	73.7%	11.9%
Ireland	not reported by UNESCO 2015			
