GUID,ProgramID,ConcertID,EventType,Location,Venue,Date,Time
38e072a7-8fc9-4f9a-8eac-3957905c0002,3853,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1842-12-07T05:00:00+00:00,8:00PM
c7b2b95c-5e0b-431c-a340-5b37fc860b34,5178,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1843-02-18T05:00:00+00:00,8:00PM
894e1a52-1ae5-4fa7-aec0-b99997555a37,10785,0,Special,"Manhattan, NY",Apollo Rooms,1843-04-07T05:00:00+00:00,8:00PM
34ec2c2b-3297-4716-9831-b538310462b7,5887,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1843-04-22T05:00:00+00:00,8:00PM
610a4acc-94e4-4cd6-bdc1-8ad020edc7e9,305,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1843-11-18T05:00:00+00:00,
47b6e9e8-3b18-49ea-ae2a-b9b0ca18902c,3368,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1844-01-13T05:00:00+00:00,8:00PM
5e533e4f-d4ac-4aaa-b8d2-e189f6806655,4226,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1844-03-16T05:00:00+00:00,
7550f75e-5c0c-4519-9196-05a6c4e2612c,5087,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1844-05-18T05:00:00+00:00,
91f716fc-090d-4c3b-85da-41122eb3fe96,6310,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1844-11-16T05:00:00+00:00,8:00PM
253d22e1-9d44-410c-ae06-61abe434e5ec,1979,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1845-01-11T05:00:00+00:00,8:00PM
6285c981-8e21-4ef1-afb2-634844dd7edb,2821,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1845-03-01T05:00:00+00:00,8:00PM
bd29d7be-ee14-4362-ae93-4d9c8a535804,3259,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1845-04-19T05:00:00+00:00,8:00PM
4b37d068-0d4b-4ba8-8885-5abefa261e91,4919,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1845-11-22T05:00:00+00:00,8:00PM
119e0eaf-077f-49f2-b396-6f7b179fe2d8,562,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1846-01-17T05:00:00+00:00,8:00PM
676bc63e-0f45-49cd-af5a-f36c31e986a1,1408,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1846-03-07T05:00:00+00:00,8:00PM
fb00e4fb-d935-4b13-aa85-06a4d8d89a16,1851,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1846-04-25T05:00:00+00:00,8:00PM
7f9997cb-c3a4-4fc5-b241-2348944ef999,2321,0,Special,"Manhattan, NY",Castle Garden,1846-05-20T05:00:00+00:00,
a7ac4233-c065-41e7-9a36-9a5e3f5daa7b,3540,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1846-11-21T05:00:00+00:00,8:00PM
f93b6dcc-2657-44f6-a69d-0d1a5f9dd396,6573,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1847-01-09T05:00:00+00:00,8:00PM
b0704cd5-728d-4886-8445-2b0edb1abeb6,47,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1847-03-06T05:00:00+00:00,8:00PM
343cfe16-cb4f-4557-9ed1-9a14e0725d71,450,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1847-04-17T05:00:00+00:00,8:00PM
2634f6cb-16ee-4e4b-bd16-827db923e294,2178,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1847-11-27T05:00:00+00:00,8:00PM
5c46b292-230b-48ba-b4bd-36488059102d,5195,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1848-01-15T05:00:00+00:00,
992ef3ad-b771-4f28-9f10-d917cb614a1d,10581,0,Special,"Manhattan, NY",Castle Garden,1848-02-05T05:00:00+00:00,8:00PM
eb21a5b0-ea39-46f5-ba6b-d9dc2d06a457,6064,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1848-03-04T05:00:00+00:00,
ab75ad47-55de-4119-b0b6-2b1bca15270e,6493,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1848-04-29T05:00:00+00:00,
0228e89c-95a8-468e-90d8-de5ec1e80969,1171,0,Subscription Season,"Manhattan, NY","Assembly Rooms, Chinese Buildings",1848-12-02T05:00:00+00:00,8:00PM
f5995882-6ab3-4476-8589-d7f528aa2835,2607,0,Subscription Season,"Manhattan, NY","Assembly Rooms, Chinese Buildings",1849-01-27T05:00:00+00:00,8:00PM
37c8e3b1-78f7-43ad-ac76-5a6aec6950b7,3931,0,Subscription Season,"Manhattan, NY",Apollo Saloon,1849-03-17T05:00:00+00:00,8:00PM
a7c94524-c8d5-4b06-97df-bdb2d6c20fd3,5300,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1849-05-12T05:00:00+00:00,8:00PM
af79d260-a728-41e3-ad8c-bb6120d613b7,7278,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1849-11-24T05:00:00+00:00,8:00PM
ea6c3d86-3c3b-466f-88f3-a1dd3e7ad516,571,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1850-01-12T05:00:00+00:00,8:00PM
15aadffc-bfa6-4dbc-9120-a47effb75481,1907,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1850-03-02T05:00:00+00:00,8:00PM
00894e03-f660-42df-a3a9-4b8ca60df7f2,6269,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1850-04-20T05:00:00+00:00,8:00PM
9f9f87a1-c71a-42ba-ae76-85b348ce60d4,792,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1850-11-23T05:00:00+00:00,8:00PM
25180640-72fd-4781-b630-285daae1aa73,1443,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1851-01-11T05:00:00+00:00,8:00PM
e6ec1d38-ff03-4274-8b64-e40c7a6539c9,2806,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1851-03-01T05:00:00+00:00,8:00PM
b619ac44-4294-40d8-9ff9-f7a0258e0ecb,7161,0,Subscription Season,"Manhattan, NY",Apollo Rooms,1851-04-26T05:00:00+00:00,8:00PM
0ad70f6e-81e5-42ea-a21e-67e09fc1bd6c,1666,0,Subscription Season,"Manhattan, NY",Niblo's Concert Room,1851-11-22T05:00:00+00:00,8:00PM
c639d3d5-b22f-4b28-9c54-c57557f5a367,2377,0,Subscription Season,"Manhattan, NY",Niblo's Concert Room,1852-01-10T05:00:00+00:00,8:00PM
3168906d-60c9-40ca-b02b-f3b72488b4e7,6717,0,Subscription Season,"Manhattan, NY",Niblo's Concert Room,1852-02-28T05:00:00+00:00,8:00PM
ea2e47d7-a14e-4534-8bf2-2293010a9ea2,682,0,Subscription Season,"Manhattan, NY",Niblo's Concert Room,1852-04-17T05:00:00+00:00,8:00PM
a9b31227-e23a-4946-bdb9-08e079aeb3d5,2574,0,Subscription Season,"Manhattan, NY",Niblo's Concert Saloon,1852-11-13T05:00:00+00:00,8:00PM
062c5158-7614-4e69-93b7-7068f36dcc01,3266,0,Subscription Season,"Manhattan, NY",Niblo's Concert Saloon,1853-01-15T05:00:00+00:00,8:00PM
8a7c6b4f-70e5-4eb8-a263-30977944879f,4607,0,Subscription Season,"Manhattan, NY",Niblo's Concert Saloon,1853-03-05T05:00:00+00:00,8:00PM
448b67aa-7f67-454a-8562-b26fd6a68b6c,1583,0,Subscription Season,"Manhattan, NY",Niblo's Concert Saloon,1853-04-23T05:00:00+00:00,8:00PM
b7e89b3a-b7bf-4848-8911-1ee57808eb2e,513,0,Subscription Season,"Manhattan, NY",Metropolitan Hall,1853-11-26T05:00:00+00:00,8:00PM
362c1cc8-ddb6-4302-9f02-e217603b0a11,1191,0,Subscription Season,"Manhattan, NY",Broadway Tabernacle,1854-01-14T05:00:00+00:00,8:00PM
3c9fb7f8-6b5a-4f97-8d82-fe18d36199bb,2561,0,Subscription Season,"Manhattan, NY",Broadway Tabernacle,1854-03-04T05:00:00+00:00,8:00PM
bdec9303-3367-41e2-abd3-9eb9f9a4e145,6902,0,Subscription Season,"Manhattan, NY",Broadway Tabernacle,1854-04-22T05:00:00+00:00,8:00PM
9b5939a4-eda0-4656-b627-2ec4452402d1,5792,0,Subscription Season,"Manhattan, NY",Niblo's Garden,1854-12-02T05:00:00+00:00,8:00PM
762144db-12d2-423b-96df-56495268d23f,2149,0,Subscription Season,"Manhattan, NY",Niblo's Garden,1855-01-20T05:00:00+00:00,8:00PM
611a40fd-6ce6-41c0-b7d3-f49a6ae9fdb8,3474,0,Subscription Season,"Manhattan, NY",Niblo's Garden,1855-03-10T05:00:00+00:00,8:00PM
ef085f72-0960-4679-bc4b-6ce9bf603d91,421,0,Subscription Season,"Manhattan, NY",Niblo's Garden,1855-04-21T05:00:00+00:00,8:00PM
e36aabf6-55d3-4adb-81d6-72166b198550,6613,0,Special,"Manhattan, NY",Niblo's Garden,1855-05-19T05:00:00+00:00,8:00PM
f26146e1-f082-4fbc-bf9a-7afb893143ac,2339,0,Subscription Season,"Manhattan, NY",Niblo's Garden,1855-11-24T05:00:00+00:00,8:00PM
7b2b4f27-4505-461a-a7f7-578dfed97326,3023,0,Subscription Season,"Manhattan, NY",Niblo's Garden,1856-01-12T05:00:00+00:00,8:00PM
ac170513-4ec5-496d-bac7-13a8dc8d15cd,4355,0,Subscription Season,"Manhattan, NY",Niblo's Garden,1856-03-01T05:00:00+00:00,8:00PM
20a62563-d930-4acb-9cb8-750fe82c15ce,1292,0,Subscription Season,"Manhattan, NY",Niblo's Garden,1856-04-19T05:00:00+00:00,8:00PM
8272717c-edad-4fe4-8b49-c71359d923f7,3225,0,Subscription Season,"Manhattan, NY",Academy of Music,1856-11-22T05:00:00+00:00,8:00PM
bee7a332-1347-4ce5-8986-0dfb7def7cc7,3918,0,Subscription Season,"Manhattan, NY",Academy of Music,1857-01-10T05:00:00+00:00,8:00PM
155929d1-665e-49a4-be19-b3f2b567e792,5264,0,Subscription Season,"Manhattan, NY",Academy of Music,1857-03-07T05:00:00+00:00,8:00PM
5f86806e-b341-435e-8a7e-2154476cce73,2244,0,Subscription Season,"Manhattan, NY",Academy of Music,1857-04-25T05:00:00+00:00,8:00PM
b1f54fbb-ed78-4e43-a9b9-ffe5e298069c,4134,0,Subscription Season,"Manhattan, NY",Academy of Music,1857-11-21T05:00:00+00:00,8:00PM
1ca8928b-00f5-4053-bc77-a5c0ceabf7c3,4814,0,Subscription Season,"Manhattan, NY",Academy of Music,1858-01-09T05:00:00+00:00,8:00PM
8ec580ef-391b-4ee7-b11f-e0f96d25ed4d,6185,0,Subscription Season,"Manhattan, NY",Academy of Music,1858-03-06T05:00:00+00:00,8:00PM
3639f589-ae95-4465-b72b-fe1e9319d714,3150,0,Subscription Season,"Manhattan, NY",Academy of Music,1858-04-24T05:00:00+00:00,8:00PM
9801741e-ed73-4eb9-8727-f386788e35d2,2117,0,Subscription Season,"Manhattan, NY",Niblo's Garden,1858-11-20T05:00:00+00:00,8:00PM
a13b6306-faa4-4ade-bf05-1baca448156a,2785,0,Subscription Season,"Manhattan, NY",Niblo's Garden,1859-01-08T05:00:00+00:00,8:00PM
de7bcc01-4182-41be-85dd-053475e08ce4,7145,0,Subscription Season,"Manhattan, NY",Niblo's Garden,1859-02-12T05:00:00+00:00,8:00PM
