GUID,ProgramID,Orchestra,Season
633e1a54-ed83-4241-9255-4739306ea7c5,11640,New York Philharmonic,2011-12
3be39ea9-dc40-48b8-a056-95cf5315ec47,11878,NYP Presentation,2011-12
d6d23504-d15f-4211-91f5-83588c5b6311,10691,New York Philharmonic,2011-12
907d3abd-448c-4816-beec-10a94c8e3976,10692,New York Philharmonic,2011-12
4051a6de-7db0-4dfc-b1cd-bb5fdf5f47f1,11753,New York Philharmonic,2011-12
04f57dc8-ee11-47bd-8b94-36f01f64ec81,10693,New York Philharmonic,2011-12
ebd6840b-a483-4c77-854b-0e083aaee230,10694,New York Philharmonic,2011-12
ace2c9f2-62a3-48e3-bda7-260f939f90ac,11627,New York Philharmonic,2011-12
18215d85-89d8-4a82-8fed-bd92a957ff8f,11628,New York Philharmonic,2011-12
ba3589ca-e0c0-4b45-bbf5-654447308628,11629,New York Philharmonic,2011-12
6b4ec019-c4fe-4f4f-b63f-0d705daa104d,11633,New York Philharmonic,2011-12
dd7e4275-53db-40b8-8915-7a8f28169ed1,10681,NY Philharmonic Ensembles,2011-12
e9e775fa-aad3-4ac4-b703-f8072b3485a1,11876,Members of NY Philharmonic,2011-12
f4fae494-524e-4a33-9841-089acc177dbe,11871,NYP Presentation,2011-12
34be2605-b178-42b6-8af2-6cb6b57dc91f,11885,Musicians from the New York Philharmonic,2011-12
f1981208-8fe1-46dc-afc4-369530b53145,11634,New York Philharmonic,2011-12
31160cf4-46e3-47d3-b452-89534faebf31,11635,New York Philharmonic,2011-12
413f12a0-64a1-40b6-85e3-34e27fc319d9,11888,Musicians from the New York Philharmonic,2011-12
da892f33-b6de-42d8-a87e-989eae2feb8f,11636,New York Philharmonic,2011-12
e5cfbddf-a9ee-4aad-a79a-dcc3d5f86f8a,11637,New York Philharmonic,2011-12
729c5a70-1e5d-4134-8916-d27994278582,11638,New York Philharmonic,2011-12
cf230066-2cd2-4093-8b78-b91b8dda3cbf,11639,New York Philharmonic,2011-12
b03f922b-ffff-4d85-b032-53ea65c0acfe,11754,New York Philharmonic,2011-12
8eb736f9-e469-4f84-af75-ce25a2345c4c,11755,New York Philharmonic,2011-12
ffa5a33c-576e-41fd-b8cd-b50ab296f8b9,11641,New York Philharmonic,2011-12
3a40be24-5ef5-4c1b-8f0b-a30ba0b6f31b,11642,New York Philharmonic,2011-12
e037810e-7c65-410c-b31d-edd9581c620b,11889,Musicians from the New York Philharmonic,2011-12
19ea6f6a-76df-42e0-9358-7f4a1be16e95,11643,New York Philharmonic,2011-12
73bf8254-ed6b-4241-814a-bf98b8927d8c,11316,NY Philharmonic Ensembles,2011-12
b99168c5-67c2-4569-a1ae-2ae6520bf9dc,11644,New York Philharmonic,2011-12
b69e5366-edc0-4805-b5db-f5649771d210,11645,New York Philharmonic,2011-12
d28d05fe-d44d-45ed-9c75-bb9e618e63d9,11646,New York Philharmonic,2011-12
fa76a3b9-2a28-447b-83ec-5d6535b40fa4,11971,Musicians from the New York Philharmonic,2011-12
c85227ae-1970-4a27-bdb4-aaf29a0c34aa,11757,NY Philharmonic Ensembles,2011-12
de7cbb67-4e0c-4f30-801a-168faaf5c93e,11887,Musicians from the New York Philharmonic,2011-12
78fac947-f2a5-4219-821e-1e28321462e4,11647,New York Philharmonic,2011-12
198da059-ec36-4780-ab1f-c76dafbb9d25,12017,Musicians from the New York Philharmonic,2011-12
91a0e8a5-2ccd-431b-8c23-3fd2b33f594e,11648,New York Philharmonic,2011-12
b4208205-c99b-4429-a99d-4a1cd370d22f,11649,New York Philharmonic,2011-12
b9182e89-fb90-4df6-bd64-3befd8d128ba,11968,New York Philharmonic,2011-12
e0763ab5-87f2-4b24-80ed-8897b50735ca,11967,New York Philharmonic,2011-12
1df47b79-855c-47c6-951a-bb400175f916,11664,New York Philharmonic,2011-12
f9019193-122e-4a41-9fba-678b250f50e2,11665,New York Philharmonic,2011-12
b0481652-63f2-4491-8d93-00dfddc35fc4,11684,New York Philharmonic,2011-12
9ed1c57e-d67f-4576-9516-cd2099db2a8e,11685,New York Philharmonic,2011-12
ec13e79c-cb0c-436e-a3aa-a4f8283f6ff5,13576,New York Philharmonic,2011-12
8704c71f-fe82-4665-a24e-e90955e9cd9a,11687,New York Philharmonic,2011-12
efd1c12b-3811-4480-9823-3ecdf76ed266,11758,NY Philharmonic Ensembles,2011-12
479edd4a-e175-4d09-b824-01b6f6698686,11688,New York Philharmonic,2011-12
8e6189e4-7824-44cf-a24d-8f48834e10a3,11972,New York Philharmonic,2011-12
97540b51-bc92-443a-b6ef-b2ba510b7d55,11689,NYP Presentation,2011-12
3b21b5e9-21c2-4b94-9a2c-a86986098e1f,11989,Musicians from the New York Philharmonic,2011-12
f93d2d24-4a11-478f-b4ed-0daaebd51fea,11691,New York Philharmonic,2011-12
55d27917-27cc-44d0-adc3-84e7c83f987f,11690,New York Philharmonic,2011-12
f95a7801-aea2-48be-8bb0-74473b5e30cd,11692,New York Philharmonic,2011-12
b30441fa-f76f-4ec4-b6ad-20a39afcc36c,11693,New York Philharmonic,2011-12
6a050867-7e02-45f1-a337-a59179b3196d,11977,New York Philharmonic,2011-12
53b8910b-8057-4a76-ab4c-7e3e1a20f993,11976,New York Philharmonic,2011-12
be512a70-6b0b-48db-abe5-c53454ebbcec,11694,New York Philharmonic,2011-12
95c35f94-0d26-4c19-8adc-09d9a0c031c1,13331,New York Philharmonic,2011-12
2e48a9c3-f475-4a65-954e-32e7cdd5b038,11978,New York Philharmonic,2011-12
16ecf34b-aa05-433c-b3de-c49375db6c8e,11697,New York Philharmonic,2011-12
f35a774e-00ca-4a24-94dd-e9cbb94236de,13329,New York Philharmonic,2011-12
9f1fa79b-8472-43d6-a1bd-06f75ad9128a,13330,New York Philharmonic,2011-12
45fd5e94-c387-43c2-bf1f-5382e7162246,12014,Musicians from the New York Philharmonic,2011-12
4df53dcb-ac24-418a-a5eb-aa9a04987643,11695,New York Philharmonic,2011-12
6a9de4cd-71d6-4068-86cd-8a4a5330659d,11696,New York Philharmonic,2011-12
28cca61e-f670-4ff1-bac7-bb27edff6844,11698,New York Philharmonic,2011-12
fe65fa5c-f261-413b-b9ae-439acd4fbe13,11979,New York Philharmonic,2011-12
6e0157b2-76be-4ee6-9d95-67e9efdfd13d,11699,New York Philharmonic,2011-12
cd12003e-77c7-427b-a0fd-0ad22d0bfc84,13577,New York Philharmonic,2011-12
aa651042-f87c-49a4-8f66-e3febfb905b3,12503,Musicians from the New York Philharmonic,2011-12
74cbca4c-ba34-42b5-a018-94f77488d73f,11701,New York Philharmonic,2011-12
847ca9fa-18ba-44d5-a16b-4c59372f32d9,11702,New York Philharmonic,2011-12
be26c8a7-b7eb-4625-b35e-429b8605fb55,13578,New York Philharmonic,2011-12
6ae1184d-6a78-4bb3-878e-c9a32b435ccc,11700,New York Philharmonic,2011-12
6c156c77-84e5-4148-8de4-578b5686ef7f,11703,New York Philharmonic,2011-12
f11baecd-59e8-4c27-bb1d-44af8d0c14cb,11704,New York Philharmonic,2011-12
e546de35-a6a8-40a6-a952-4535353cfb40,12010,Musicians from the New York Philharmonic,2011-12
ada3a045-22d3-4e01-be76-8cce2839b43f,11890,New York Philharmonic,2011-12
6f8729e0-d716-40b8-83e0-369057c1c01f,13741,NYP Presentation,2011-12
a4c7355e-07ca-490a-8bd1-dd13552a1122,11706,New York Philharmonic,2011-12
69ba1d45-788b-4ddc-8e2e-99b7090f0fbf,11705,New York Philharmonic,2011-12
13530ff8-60f3-4d60-8a08-c95eaee2ec65,12006,Musicians from the New York Philharmonic,2011-12
8589f9fe-9ac9-4984-bd61-b437d9adebb0,11707,New York Philharmonic,2011-12
39419fb3-9a07-4662-9bd7-c7390c95f05d,11994,New York Philharmonic,2011-12
b171a400-a9ca-458c-9481-31f89f5d834c,11708,New York Philharmonic,2011-12
32c6a8f2-2157-4b19-a2e4-951f3a560a42,11998,New York Philharmonic,2011-12
ff4d6c86-eb61-4fad-b6b5-a8553212f752,11759,NY Philharmonic Ensembles,2011-12
ce466b5d-6fa5-4205-883c-0c11548b7170,11999,New York Philharmonic,2011-12
aa643a97-9b6e-4ea6-8bed-fa9ac1279715,11886,Musicians from the New York Philharmonic,2011-12
8e3400c6-1f34-4eb5-ae40-68c7501fe892,12013,Members of NY Philharmonic,2011-12
8ff107a3-ca9f-47ec-b6ad-5894d4de2eaf,11709,New York Philharmonic,2011-12
9c3fe532-fd99-4ca3-9e99-4d9e07ac3859,11884,Musicians from the New York Philharmonic,2011-12
f760ecaa-97fc-4214-b6bf-97041ed57430,11711,New York Philharmonic,2011-12
892c6e33-9505-49e9-b313-f6664f9fe15e,11710,New York Philharmonic,2011-12
c20c50a1-5e4f-4870-a011-0268368111b7,12007,Musicians from the New York Philharmonic,2011-12
c0c42c43-9353-4bb0-9806-805cdaa195a4,11712,New York Philharmonic,2011-12
fd3a6e3b-8237-48c4-b0ff-2fae749fd6e7,11713,New York Philharmonic,2011-12
9a7650d1-e5e3-4c7b-8fd2-34894ecb0507,11714,New York Philharmonic,2011-12
ea43ddf4-cb2a-41cf-8525-e447d49bf15e,11715,New York Philharmonic,2011-12
af75f2d7-bfd8-4b99-aba8-c5d16f1fad80,11716,New York Philharmonic,2011-12
857faf42-391f-4633-b15f-2efe36926f3c,12001,New York Philharmonic,2011-12
17da06e4-cf22-4b9a-8e31-50ff23446f95,12000,New York Philharmonic,2011-12
ef4be981-c91a-4108-a0d6-dbdb72d8c02d,11718,New York Philharmonic,2011-12
7f05f90e-e293-4c0b-a7c7-6b009dea6222,11719,New York Philharmonic,2011-12
7c070ebc-dd5e-4add-8a77-1fb22063b533,11720,New York Philharmonic,2011-12
899eabad-bb1d-4678-9e3c-e66003e8442e,11721,New York Philharmonic,2011-12
15784b08-03f4-4832-9805-b2bb2d8c4813,11722,New York Philharmonic,2011-12
bf21e7d7-87d2-451f-9056-1508138f6cdf,12012,NYP Presentation,2011-12
4949712f-d4fa-4595-a0cd-6de34737cb37,11996,New York Philharmonic,2011-12
de78d225-098a-419b-923f-e5f7318c8e9d,11723,New York Philharmonic,2011-12
ed0ed8c5-1154-4fc2-9144-aac79ae6b974,11997,New York Philharmonic,2011-12
2edcdcde-b3e3-4b74-b8ae-aa21c27be9a3,11995,New York Philharmonic,2011-12
c97cd692-58d6-4475-b117-6faeb4d4bf76,11724,New York Philharmonic,2011-12
80eb1cc6-e1e7-4f97-a5a3-c16ff6767b30,11725,New York Philharmonic,2011-12
0be09d57-36eb-4f4c-b2b6-f00990ebe465,12002,NYP Presentation,2011-12
cc0353d3-0d16-448d-8d3b-652398222fe4,11726,New York Philharmonic,2011-12
