id,movie_id,imdb_id,actor_id,name,character_name
1073,718,tt0116405 ,82957,Dan Aykroyd,
1218,17579,tt0120240 ,105261,Bonnie Hunt,
1219,17579,tt0120240 ,79974,N'Bushe Wright,
1220,17579,tt0120240 ,55658,Michael Rapaport,
1221,17579,tt0120240 ,57737,Denis Leary,
1223,17579,tt0120240 ,39425,Christine Lahti,
1225,17579,tt0120240 ,104569,Kevin Corrigan,
1226,17579,tt0120240 ,78686,Sarita Choudhury,
1570,11285,tt0086377 ,73558,David Alan Grier,
1571,11285,tt0086377 ,68289,Matthew Modine,
1586,14805,tt0093240 ,73558,David Alan Grier,
1593,14805,tt0093240 ,46845,Rocco Sisto,
1595,14805,tt0093240 ,50689,Kara Glover,
2065,29130,tt3576072 ,83023,Patricia Clarkson,
3520,9984,tt0053957 ,84205,Marco Tulli,
3525,9984,tt0053957 ,112862,Carlo Rizzo,
3695,33516,tt0067437 ,64459,Nerina Montagnani,
3732,40236,tt0139610 ,46179,Sophia Loren,
3733,40236,tt0139610 ,84016,Joseph E. Levine,
4063,20563,tt0248803 ,124006,Doug Savant,
4064,20563,tt0248803 ,48456,Brandy Ledford,
4150,37980,tt1080585 ,91377,Harrison Ford,
4220,2287,tt0089961 ,70595,Carrie Kei Heim,
4694,817,tt0116571 ,13282,Christopher McDonald,
4700,817,tt0116571 ,58499,Ray Walston,
4807,4009,tt0093539 ,44120,Rudy De Luca,
5049,38330,tt4181052 ,9117,Mimi Kuzyk,
5376,18918,tt1640484 ,10381,Angela Bassett,
5381,18918,tt1640484 ,23656,Mike Epps,
5415,24195,tt2238050 ,117250,Jacob Artist,
5607,24702,tt1198156 ,105821,Frances Fisher,
5608,24702,tt1198156 ,29124,Marcia Gay Harden,
5636,28079,tt0213668 ,3722,David Strathairn,
5825,6671,tt0102749 ,43217,Willard E. Pugh,
5826,6671,tt0102749 ,48596,Screamin' Jay Hawkins,
5828,6671,tt0102749 ,39157,Anthonia Kitchen,
6082,25934,tt0340398 ,20085,Clive Owen,
6123,39299,tt1379210 ,105378,Dennis Haysbert,
6124,39299,tt1379210 ,97429,Richard Gere,
6125,39299,tt1379210 ,32858,The Dalai Lama,
6128,39299,tt1379210 ,102742,Tenzin Choeying,
6129,39299,tt1379210 ,21988,Thupten Dhargyal,
6130,39299,tt1379210 ,104247,Tenzin Dorjee,
6131,39299,tt1379210 ,100491,Kalsang Phuntsok Gordukpa,
6132,39299,tt1379210 ,13308,Lodi G. Gyari,
6216,5487,tt0285487 ,14006,Eriq La Salle,
6846,12436,tt0457090 ,77444,Peter Youngblood Hills,
6847,12436,tt0457090 ,1733,Ryan McCluskey,
6850,12436,tt0457090 ,121680,Warren Derosa,
6851,12436,tt0457090 ,69390,Christiaan Haig,
7280,19118,tt1349452 ,44085,Steve Martin,
8682,22846,tt2442466 ,10849,Lindsay Burdge,
8683,22846,tt2442466 ,42474,Allison Baar,
8684,22846,tt2442466 ,2248,Simon Barrett,
8685,22846,tt2442466 ,28941,David Siskind,
9114,21673,tt1293751 ,86917,Al Pacino,
9115,21673,tt1293751 ,44684,Robert De Niro,
9118,21673,tt1293751 ,107775,Woody Allen,
9120,21673,tt1293751 ,48746,Glenn Close,
9121,21673,tt1293751 ,89751,Clint Eastwood,
9123,21673,tt1293751 ,2850,Danny Glover,
9904,32192,tt2277106 ,44684,Robert De Niro,
9905,32192,tt2277106 ,77624,Kevin Costner,
9906,32192,tt2277106 ,47881,Matt Damon,
9939,35804,tt5227516 ,44684,Robert De Niro,
10344,15160,tt1470023 ,31070,Dalip Singh Rana,
10518,37352,tt2006791 ,72288,Rachel Korine,
10522,37352,tt2006791 ,28621,Tomasz Tyndyk,
10523,37352,tt2006791 ,123900,Justyna Wasilewska,
10822,9264,tt0250798 ,32080,Eric Lively,
11280,25712,tt2364649 ,55348,Manel Dueso,
11575,32755,tt0867270 ,8364,Joe Mantegna,
11577,32755,tt0867270 ,115537,Barbara Hershey,
11752,2126,tt0124879 ,43106,Jim Carrey,
13177,17741,tt1742650 ,117922,Kelsey Grammer,
13199,19471,tt1512240 ,69572,Scott Crouch,
13265,39663,tt4919484 ,24089,Andy Karl,
14495,5604,tt0082370 ,101873,Philippe Morier-Genoud,
14500,5604,tt0082370 ,10446,Véronique Silver,
14611,17701,tt1262420 ,122044,Chen Shiang-Chyi,
15037,23575,tt1153693 ,11071,Davin Ransom,
15071,42064,tt5950094 ,24447,Crystal Balint,
15072,42064,tt5950094 ,28564,Aidan Kahn,
15133,4424,tt0096241 ,87716,Amy Wright,
15987,27492,tt0083821 ,55617,Jason Ross-Azikiwe,
18074,41073,tt2191715 ,123401,Judi Dench,
18075,41073,tt2191715 ,71658,Gaye Brown,
18079,41073,tt2191715 ,97514,Billy Boyle,
18080,41073,tt2191715 ,68650,Marilyn Cutts,
18081,41073,tt2191715 ,27887,Helen Dalimore,
18082,41073,tt2191715 ,29300,Mark Goldthorp,
18238,33257,tt0148403 ,8656,Gottfried John,
18241,33257,tt0148403 ,53494,Günter Lamprecht,
