Year,Season,blueTeamTag,bResult,redTeamTag,gamelength,game_id
2016,Summer,TT,1,HWA,50,b96f782c-da04-4641-9306-68968036bfd9
2016,Summer,CRW,0,HWA,31,2a7e2cb1-5ac2-4ea2-bd18-0b261e43345a
2016,Summer,SUP,1,AUR,50,e04ed84d-929b-4f0e-a769-e7bffc2b5162
2016,Spring,JAG,1,SSB,40,8829614a-313e-413c-9520-d95d7b95af31
2016,Spring,SIN,0,CHF,36,db2cf98d-a55e-4e28-9702-d7363fad2ebb
2016,Summer,SSG,0,AFs,42,3d7003be-4b9e-4a78-9b74-ef11e8648163
2016,Summer,FW,0,ahq,40,22758935-9da6-4ca3-a6ee-1dc586cc638b
2016,Spring,CHF,0,AV,32,d9ea0823-8a06-4b5c-b1ba-1ade8ec68969
2016,Spring,H2K,1,EL,35,a1008397-ede5-4655-b6fe-46c16f2fff92
2015,Spring,WFX,1,C9,37,8c5de84b-e678-4625-9911-ff3d276c4a0c
2016,Spring,EMP,1,VS,30,e6728b90-0534-41fe-94b7-0106437c1f42
2015,Summer,ANC,0,Longzhu,33,f9ea241c-141b-4fee-a0d7-b2c37a5e3252
2016,Spring,IMT,1,TIP,19,d7aeea0e-6206-418a-ad84-743a6fe94db1
2015,Spring,NR1,1,TT,42,96ae285e-f460-4513-bd85-1714842aee29
2016,Spring,CGE,0,TPA,30,0bd9a31b-23e4-494a-ac67-570efaccaee1
2015,Spring,NJE,0,SSG,40,76153505-abc9-4340-8c3d-b6d65b856456
2015,Summer,CW,1,SK,33,c2802a95-a3a4-405e-8a08-ef264c8da885
2016,Summer,ESC,1,CJE,32,4bde8865-c00e-48e9-8907-3f090355553a
2016,Spring,GIA,1,EL,38,e6c7c1ee-3213-4ba3-ad1f-6f21cbb64184
2016,Summer,S04,1,OG,36,e768a289-0876-4527-8afc-8b87393e7163
2015,Spring,TSM,1,TIP,30,54fbed5e-33f8-4f16-92d7-7f00e8dda7ba
2015,Spring,CF,0,MC,33,176e6ac0-9632-42de-8891-2269b7831698
2016,Summer,VIT,0,GIA,35,02093aa4-f749-414c-9cc6-04b81ceea512
2016,Summer,MSE,0,HKE,37,035369f4-4c29-452d-9fa8-88f5e7947a7a
2016,Summer,NV,1,TL,51,63ef9adf-e023-4599-a2fd-eb85a036ec7f
2016,Summer,VEG,1,ROX,37,ce6c7737-81ac-40fb-bf04-89a16ab75391
2014,Summer,SSW,0,TSM,28,ada5b8be-0e13-4bfb-956a-5ca6bef7961c
2015,Summer,ESC,0,QG,27,046084d2-1959-4459-8b47-61a87324a4a5
2016,Spring,REN,0,TIP,42,eb9da2fd-10b6-4980-a9c1-03480392147b
2016,Summer,ahq,1,MSE,36,f5f4a4ed-54bb-430b-91c0-4e2cba34c61a
2016,Summer,SIN,0,CHF,29,603b16f3-de5c-4a01-9014-da74fda19426
2016,Summer,H2K,1,OG,25,0b45e19b-50a2-41ab-95f3-6e73d031ba4c
2015,Summer,TIP,1,TL,38,616b0c14-e051-4d10-8fd0-30420199a4bc
2016,Spring,CJ,1,AFs,43,d792cdb7-79c0-45d2-b2f1-601246b03a9e
2016,Spring,RED,0,VFK,52,1b88dcdb-4123-448e-a558-81f214f1792b
2015,Spring,NME,0,FSN,32,f643f098-0eb6-469d-beb4-992785a4efbc
2015,Summer,ahq,1,HKE,37,1fcd7bf3-e853-4fad-95d6-3fdd1935fdbb
2016,Spring,CLG,0,C9,33,9b178d7f-03ca-485e-8edd-a62c6d5e8d6d
2015,Summer,SSG,1,LZ,30,d004378e-74ee-416e-9bac-3dab724d2b0e
2016,Spring,HKE,0,ahq,34,9cd08aa5-880e-4a31-b338-7e0b981ee6fb
2016,Summer,TT,0,AUR,54,e038da89-6c77-4502-bc79-6276d02d0b8a
2015,Spring,TPA,1,DoR,22,5e7e9657-007f-49e3-adbc-c90fa52cb5eb
2015,Summer,HWA,0,DP,42,53bc3e40-3fe0-4151-93ff-a18005fb5682
2016,Summer,GIA,1,ROC,37,fcc7cb6d-3317-47e8-a637-23e23f8e40df
2015,Spring,ahq,1,TPA,40,e4110e70-70af-43e7-9f00-406b2d2f4245
2016,Summer,kt,1,ESC,30,d74665f5-1238-4fd0-b411-501c79931a4b
2016,Summer,CJE,0,ROX,42,077a83ca-69ec-44da-9f2c-7fd3cb6df7ed
2016,Summer,C9,1,NV,39,afb85ed6-746c-4b56-843c-0287375f4b18
2016,Summer,GIA,0,HMA,34,53aee1a1-97cf-41a8-88d2-479f18bc1375
2016,Spring,RNG,0,SKT,28,bc9de32f-849a-444b-8d96-41d63d34e99d
2015,Summer,GV,0,TDK,33,12f7dd6a-65d6-4446-9b7a-5b22b6295a54
2015,Summer,ANC,1,SKT,40,3d8c3bfb-5f3f-4735-954c-aa3bb8ddc22e
2016,Spring,CHF,1,LGC,33,f5a90acf-574d-4cfd-ab83-74f0752f6d1d
2015,Spring,CLG,1,WFX,29,9a0fe477-3783-41c7-a9fe-7092da786f98
2016,Summer,VFK,1,ITZ,30,e421f3fe-0614-4c70-8e14-915efd04bd9d
2015,Summer,ROC,1,SK,54,c3babf07-5479-406a-83f7-67bdee6b1261
2015,Summer,HWA,1,NR1,27,e49fcd0a-ac3e-444c-815e-5fe1c6f50a7d
2015,Spring,RG,0,GIA,57,5b8d7ed8-c1eb-4a2b-9330-269458b70f6b
2014,Summer,KBM,1,ALL,39,97b066d3-1248-4d43-b245-a5a8b7100029
2016,Spring,VS,0,DF,48,d1264446-5de8-4fd5-a2af-d726c6a79731
2016,Summer,S04,1,ROC,37,8808cafd-3089-4b2b-9237-89d376e730b4
2015,Spring,kt,1,SKT,41,1edcba57-5186-4d8f-9062-3707d414fba9
2016,Spring,FOX,1,DIG,68,c6496a21-1c92-444d-bbe1-9df61b324b0f
2016,Summer,AFs,0,kt,34,00afe259-b6ea-4d83-9265-2f0452903a42
2015,Summer,SSB,0,NJF,41,182fef33-6418-4782-b2ef-4607832b16ab
2016,Summer,SKT,1,CJE,27,076cdf53-22c3-4f22-b07d-d8b72aef5029
2015,Spring,H2K,0,SK,40,6c8c20cc-7e14-4923-b469-22e1ff02dfb5
2015,Spring,H2K,1,GIA,34,7b7b5174-8645-4d2e-9fa9-c96a75927916
2015,Summer,T8,0,TIP,34,0a8762e8-7bd3-42e1-8b45-9bcb1bc7d4c2
2015,Summer,ROC,1,GMB,41,5802d014-a7ea-40ab-9d30-8e7b6c01912e
2016,Summer,NV,1,CLG,35,267bca03-d07e-4367-8360-92eb80c69e84
2016,Summer,CRW,0,SUP,35,76a41b81-d49c-4898-9be8-e72b9322e4d7
2016,Spring,DIG,0,TL,35,1e720d01-ba29-4475-bf15-aaa87c2b532b
2016,Spring,C9,1,TL,30,1902b208-fc76-44e8-91ee-9a30f2e21b22
2016,Summer,FNC,0,GIA,28,4066d8e1-8aee-4072-abb4-81cfba15cd56
2016,Spring,CHF,1,INF,29,caa51d8d-3b39-434e-821a-e2c9769051de
2016,Summer,AV,0,CHF,55,39e2da61-4ac9-4621-99a5-70013eb07ea1
2015,Summer,LZ,0,SKT,42,0d817656-3d04-4306-8a05-63b0f1b8dda5
2015,Summer,TDK,0,TL,44,40114982-61bc-4301-bbe0-0583288d18e6
2015,Summer,ahq,1,FW,43,29fb295a-7ffa-4a21-8a87-02990e590c2a
2016,Spring,DP,1,AUR,30,e6e0d876-5f0f-428f-b4bc-e9b7034ac5bb
2016,Spring,g3x,0,OPK,55,b3809d5c-8725-4874-9d7d-fede501bf879
2016,Summer,FNC,0,UOL,31,c3c24831-89d1-49e8-b28a-18a32293878b
2016,Spring,ROX,1,SSB,25,79fe16a9-467d-4308-9f12-1fc527c42fb7
2015,Summer,JAG,0,SKT,36,6600be45-8d56-4e05-b882-64f10b8b3124
2016,Summer,P1,0,IMT,27,4ef71ff7-7d16-4d06-a3a8-334f191d83ae
2015,Summer,OG,1,H2K,28,9514a262-1203-4147-90d3-571efe8b5d12
2016,Summer,VS,0,JST,44,e5684558-3f3c-428b-b34f-65da00b3c2bb
2016,Spring,HR,1,EMP,33,55e05cc7-6e39-4d5a-977d-34d763d1a098
2015,Spring,TL,1,TIP,42,d5b0c1f1-cbca-4b79-a692-088785f75120
2015,Summer,JAG,0,kt,38,f16f3cd2-19c4-4195-8b76-78a4ebb44d31
2015,Spring,CJE,0,SKT,31,db91e8cf-5efc-44f8-a445-984ce6e12310
2016,Summer,GIA,0,FNC,30,498ae058-da43-4aac-988a-40a88796fdf7
2015,Summer,SKT,0,SSG,43,5dfb669c-b08a-40e1-b033-c5e70e5836db
2016,Summer,SKT,1,ROX,44,a37bd12b-9bc9-4a67-b5e1-414e7b438afd
2015,Summer,OHM,1,NR1,29,c3fa519f-b1a8-4669-b18c-2fc47debb53f
2016,Summer,PNG,0,BGG,43,a03d085b-bfd6-4ab2-9ee9-0e6f43e383ea
2015,Spring,TIP,0,TSM,42,e810cd12-da89-41b1-b271-f8c2827ec034
2016,Summer,FW,1,HKE,31,340def5d-724f-471b-9b43-3eacf65185f3
2015,Summer,UOL,0,OG,40,681c8105-9249-4d80-a7e3-a58b53b8c042
2015,Spring,DP,1,A,25,e81a22ef-f5dd-4f6d-8ad2-555f3e4fd54c
2015,Summer,TSM,1,TL,38,de459552-480c-4b34-8b24-54146d86cd86
2015,Summer,OHM,1,A,44,6be69058-49d8-494e-9065-39b5cda95420
2015,Spring,NR1,0,A,42,be786580-eca1-4d5f-8054-18020db67479
2015,Spring,TIP,1,T8,40,a5733590-d25f-4dca-91ac-2f1bf4dec372
2015,Spring,GIA,1,RG,32,9d10d929-a56b-48e6-a289-da5d6b76cadb
2016,Spring,SKT,1,CLG,32,1191c84c-fe3b-4a54-b762-3ad555a8f4be
2016,Summer,C9,1,TL,45,8b6d9f43-ccef-4f65-838f-6b50c2b207db
2016,Spring,CRJ,0,USG,36,1b8ce5d6-5095-4f28-a086-ce239e7ce61d
2016,Summer,SKT,1,JAG,39,76810d2f-7478-40b8-b513-17e16ad2a1f7
2015,Spring,DP,1,NR1,28,cb5dd8de-d447-4b73-821b-28e7ac9746cb
2015,Spring,MSE,0,HKES,41,cb6033d3-4cab-4d10-b159-f5f43f1868d3
2016,Spring,KDM,0,SKT,23,07798e5b-ff73-459f-bf5b-b76b8e0253d4
2016,Spring,FW,1,CGE,27,907ae11d-754f-4b6d-af40-4ae9ffb95b59
2016,Summer,CLG,1,APX,52,5faad801-6015-4c4d-a7cb-29b21ea819c7
2016,Spring,RNG,0,SKT,37,2150f587-4cd2-4e5e-8153-79489536e768
2016,Spring,kt,1,SKT,46,8f52a9bc-506e-46a5-8941-e30dd3d5b26b
2016,Summer,FW,1,ahq,36,1a1d444e-a4f8-4d4b-8e2a-5c07a0868aa0
2016,Summer,FOX,1,C9,30,77077365-bf34-4633-a4a9-5390255a7d64
2016,Spring,LZ,0,SSB,52,e62585bb-fd42-4394-9cd3-7e6db04d1752
2015,Summer,SKT,1,JAG,34,f5729546-ef8b-4f4a-bf0b-d4e2306a8e83
2015,Spring,FSN,0,CST,39,da866667-3163-4cee-99b8-9aa2e75cab25
2016,Summer,H2K,1,VIT,37,bef6a53d-5ff9-4f05-b933-7e0cfd9d93ed
2015,Spring,CW,1,MYM,49,cbe91da5-9e24-443a-85bf-a0d88554d419
2015,Spring,H2K,1,CW,24,bdacb969-f199-44eb-8f76-e92e16a80e22
2016,Summer,NV,0,C9,39,80de2f68-dc30-49dd-8ed6-e77b04543dfd
2016,Spring,JAG,1,kt,35,466128d8-226e-4f48-96b7-7115e7b26cc0
2016,Summer,XG,0,ahq,38,a0e56239-2568-4376-8dc7-a94fe5362604
2016,Spring,G2,1,FNC,27,ef50f127-3c14-43d7-a036-66b4c696dd41
2016,Summer,ESC,1,AFs,37,7cc89f7f-657e-4a7c-9aa4-ea0b1e744f3f
2016,Spring,SPY,0,EL,32,f9db2b63-dad7-429a-9ebc-81a7797d3aa8
2016,Spring,VFK,1,KBM,39,7d2ef6dc-03ab-4a80-b7d9-6e93dd7696fe
2016,Summer,HWA,1,BJK,32,9424752e-d46b-4073-9a29-e3e658962b97
2016,Spring,CLG,1,TSM,47,3e2c5fc7-7050-4d0b-9669-5530ae1f483f
2015,Summer,SSB,1,ANC,41,b2340ee0-5ef3-4c23-93d4-f3b082af29e2
2016,Spring,M17,1,CGE,29,b829df5b-8a7c-41ba-8f2d-7e7e33450a1f
2015,Spring,ZONE,1,NR1,48,02d00ff5-32a4-4591-9877-a3df98e489af
2015,Summer,NJF,0,KOO,36,a6d3befd-5587-4835-a73e-6707a45b84a4
2015,Spring,CJE,0,GET,46,cb1c43b2-8886-48fe-9519-b842a7f5eb4b
2016,Spring,TL,1,TIP,31,0d3a819a-1e0d-474a-9c23-17263d5e81a6
2016,Spring,ITZ,1,OPK,42,a16aba19-7282-4dc9-8b00-7b784fcf760d
2016,Summer,NRG,1,P1,44,b9429a09-b320-4882-aec4-fb25ab3c0ed8
2016,Summer,GIA,1,HMA,26,0839b8d7-3070-4b6e-b186-417ad69ab6eb
2016,Summer,BJK,0,CRW,33,98a8164d-fddc-4df8-86a6-7f735949e35a
2015,Summer,FNC,1,UOL,28,bceb0519-126e-417f-be5f-fef44b64e8f8
2015,Spring,MYM,0,GMB,43,17e6f65e-45cc-425e-8f4e-422d851ff9f0
2016,Spring,REN,0,C9,57,a0fe2b05-cd68-4f4d-b141-72114be805df
2016,Spring,MOU,0,GMB,34,f59a2bd7-359e-4737-81d0-7f0ae0de6529
2016,Spring,RPG,1,BE,32,0ee9710b-0402-4da9-9504-45a0428a4636
2016,Spring,HWA,0,BJK,48,2a2e949a-1e95-40be-b46e-06485f02fb7f
2014,Summer,TPA,0,SHR,57,b0a55038-5efe-426d-8a3d-934b74a5bbc9
2015,Spring,BJK,1,DP,41,365115c6-e9d3-4414-99c8-5eed847d1959
2016,Summer,MVP,0,KDM,40,cc7f93a3-bab3-4b9f-8228-a7585e00de61
2015,Spring,SK,1,EL,33,6c94e648-60e0-4db8-9dc2-fc1108a70ae3
2016,Spring,VFK,1,PNG,52,e81ee43e-afad-4403-b99e-c1a355dfc7f0
2016,Spring,RPG,0,7h,32,f99bf505-a4b5-4a11-a71b-15aa27858ae2
2016,Summer,ROX,1,EDG,36,2807581c-b3db-4922-a4ad-e0c9c8853565
2015,Spring,SKT,1,EDG,39,df47eb89-edee-4f7c-95ea-ed4ba0137912
2015,Summer,TIP,0,TL,37,7a838deb-313e-4341-a351-dc074d8a35f2
2016,Summer,KDM,1,DP,25,afba2c53-963c-4efb-ba49-0de44a215ae4
2016,Spring,NV,0,HR,33,563aa9cc-9805-4626-b44f-8eda73c1a09f
2015,Spring,ZONE,0,A,42,f773e0d4-fa06-4f37-b46a-c8f0cf716c71
2016,Summer,AFs,1,SKT,36,569e8b64-9a03-44f7-80f2-33038cb117a9
2016,Summer,LZ,1,kt,40,63606271-15d9-4efd-a585-fd17fc7e47e6
2016,Summer,,1,,23,8257fb0e-2790-4922-94bd-b5e8768dacb7
2016,Spring,DP,1,TT,42,90111a71-b779-40bf-b5c9-2991edea20bc
2015,Spring,TRC,1,FAC,56,fc48d8e5-3d8a-4d7a-baef-8d1d71a904d4
2016,Summer,NV,1,TL,27,f007cfc2-75cc-4fc6-b99e-5a90db09a988
2016,Spring,AUR,1,BJK,28,2f7b8398-3bf6-4b13-b5bb-eac27c8cec64
2016,Spring,HWA,0,BJK,31,bcf7f933-bbd0-4126-96cd-e241bb237ccf
2015,Spring,ROC,1,GMB,46,58287926-f430-422d-9c56-6c11f719d27a
2015,Spring,ROC,0,SK,43,c5ce4edb-03ce-4d54-bc90-8d66bfcc1c1a
2016,Spring,CRJ,0,7h,41,dcc2d04b-6780-462f-8896-8000dfce00b7
2016,Spring,TSM,1,IMT,30,116f2404-08e1-4ca1-80c2-d84cde7348f4
2015,Summer,FNC,1,GIA,29,a5777564-8456-4fb3-bc4f-c4f83f1025db
2016,Summer,CLK,0,AUR,52,92bc9db8-2ac6-40c7-8b90-2f887ba83c35
2015,Spring,FSN,0,CST,39,2d863abb-42b9-49ab-a38e-ff8a0822f739
2016,Summer,SPY,1,GIA,52,54017db5-23fd-43b4-a5b2-4c2840b38051
2016,Spring,MOU,0,GMB,26,23ca4d0d-3217-41c6-a043-c975a845a4fb
2016,Spring,AV,0,LGC,35,c6787b95-4f51-4ef8-9197-84e11292dc9c
2016,Spring,AFs,0,SSG,44,cd454fa7-54db-4fbb-a6e2-adcfdbf93c56
2016,Spring,AUR,1,HWA,41,cf969ed6-22cb-490e-8e73-bb5fa3fa6b10
2015,Summer,KT,1,KOO,35,cea6cf7b-0248-462a-b692-0a8566a6e0ed
2015,Summer,TT,1,BJK,41,25ea4eb8-8e17-4e6b-b644-a2517e85952d
2015,Summer,FNC,1,H2K,36,8aa96033-2b5a-4fac-a9cb-886578b08947
2016,Summer,ITZ,0,AHQ,29,8da120b7-c357-41ba-8b15-5b5c84f4f835
2016,Summer,CHF,0,AV,35,214a1ce7-e025-456b-8ef9-0af6f7f379fa
2015,Spring,UOL,1,FNC,39,624f6ccb-225a-485f-b482-baa206aeae70
2015,Spring,UOL,1,SK,30,3edd6f9b-2240-48e0-b262-7ead0af93b8d
2016,Spring,UOL,1,SPY,35,4240a17c-1285-4074-ae4f-dad223ce1de6
2016,Spring,CRJ,0,DFM,32,04ffddda-87eb-4fe9-8d4f-acad687de2e9
2016,Spring,CLG,1,REN,42,d10d70eb-6c6b-4717-a38c-e2453bb38bdd
2016,Summer,AUR,1,BJK,37,290592aa-1512-49e2-a6e1-5d53373a1f7a
2016,Spring,AFs,0,KDM,39,978eec1b-622a-4226-ac84-e9f55588a690
2015,Summer,DIG,0,TIP,38,e4714e72-26cb-4855-979a-26709536ccb9
2015,Summer,TSM,1,LGD,52,f5636592-dc0c-4744-bcad-3ee14cb88ac7
2015,Summer,FW,1,CLG,38,602967f6-4d63-4bb4-ba0e-e2ed123541f7
2015,Spring,C9,1,TL,39,bd14da8a-a70a-46a4-8bef-0224f366532c
2015,Summer,BKT,0,EDG,37,c80d85f2-a446-4407-b016-d1db4e969aca
2016,Summer,CLG,0,C9,30,8a5dadbe-1345-4ed4-8ba4-7403671cdd0e
2016,Summer,H2K,0,AHQ,48,f48c288b-8aed-45b2-80f3-899de9a51807
2016,Spring,FW,0,TPA,37,3de9227b-5d7f-45ce-be44-78cc4dd68df4
2015,Summer,ROC,0,GIA,40,792ce0c9-7004-4f80-8d22-c781b19c9763
2016,Spring,kt,1,AFs,39,be8953dc-6306-4055-8254-92728316a4a9
2015,Spring,EL,0,GIA,43,8b92944e-7881-4993-a2ec-ede4098f0fc2
2016,Summer,GIA,1,VIT,32,51348ca0-dcbf-4457-b3ee-d3498107f869
2016,Summer,SPY,0,SSG,24,287ce041-8067-4033-b6d7-8886d6e80504
2016,Summer,,1,,36,7d482b3a-07a8-4169-b43c-832f0c504d3c
2015,Spring,BJK,1,DP,35,db60d8b8-a4e2-4a81-ad57-0b2bf29a9844
2016,Spring,LZ,1,SSG,32,f5a556da-6b48-4b86-9b56-ff8af0362047
2016,Summer,H2K,1,FNC,37,6eac226b-f221-40aa-b580-ab673c58992b
2015,Summer,NJF,1,LZ,45,527df421-ec1a-4638-8ff3-852f32ada1e5
2015,Spring,FNC,0,UOL,29,8ef63cbf-9f86-454f-90a9-f75127bf0c16
2016,Summer,PNG,0,RED,41,6e5f989c-9370-41f7-833f-6a4cf785fe22
2016,Spring,FNC,1,QG,33,8b2c5e99-4f33-4669-ac8d-0529d00d2b05
2016,Summer,DP,1,SUP,41,e94dd94e-9f4c-4787-b830-206bc374d637
2016,Summer,P1,1,FOX,36,90ed9d39-345c-4b59-a92f-22482ec2c51d
2015,Spring,H2K,1,SK,28,8fb092d9-5048-4da6-b28f-33f9a4a7cca8
2016,Summer,OPK,1,RED,31,cad2459f-3d65-4806-b1c0-60e3b5894a7d
2016,Spring,FW,1,SKT,41,eb7cc970-8237-45dc-8430-38c410ca7357
2016,Summer,ESC,1,AFs,31,6d19374b-98cd-4ebf-ad35-ff592a55d9c6
2015,Summer,NME,0,TIP,36,8b8223ae-c83b-49c6-82a8-adea2572d72d
2015,Summer,SKT,1,ANC,36,ab9acf7c-e724-4b66-953d-09ca34581558
2015,Spring,SK,1,GMB,38,5e3330dd-e5fd-4b3c-9a90-65301944f1fd
2016,Summer,G2,1,FNC,28,e57ff47e-825c-4db7-8681-216c67dd7028
2016,Summer,ROX,0,SKT,44,5838e3c8-94c2-4a88-9dda-d9c317807df3
2015,Summer,DP,1,BJK,38,d4f0797a-ee82-4b43-b005-59e164d4c12e
2016,Spring,TT,1,AUR,34,64d5b6ff-ed03-42c6-82c0-8c257a2dbfb8
2016,Summer,SUP,1,CLK,29,584df7d4-368d-454b-8e02-18c8cdaace8c
2016,Summer,NV,0,IMT,31,56e57fdd-c4e3-4938-ba2b-a3f552d349bb
2016,Summer,DP,0,CLK,31,78eb23b3-eb90-4e1b-8c1e-8c81f281564b
2015,Spring,FNC,1,EL,33,855649cb-11eb-4070-8729-543f521b4b68
2016,Summer,HWA,0,CRW,44,a11088f8-bfab-4fe6-a765-454e8318f874
2015,Summer,KOO,1,SSG,55,b6649815-afc9-4033-9709-f73ada4fce34
2016,Spring,UOL,0,G2,33,66d5f32a-f2aa-44b5-9b58-92b5684d6b06
