date,store_nbr,customers
01/01/2013,25,770
01/02/2013,1,2111
01/02/2013,2,2358
01/02/2013,3,3487
01/02/2013,4,1922
01/02/2013,5,1903
01/02/2013,6,2143
01/02/2013,7,1874
01/02/2013,8,3250
01/02/2013,9,2940
01/02/2013,10,1293
01/02/2013,11,3547
01/02/2013,12,1362
01/02/2013,13,1102
01/02/2013,14,2002
01/02/2013,15,1622
01/02/2013,16,1167
01/02/2013,17,1580
01/02/2013,18,1635
01/02/2013,19,1369
01/02/2013,23,1381
01/02/2013,24,2605
01/02/2013,25,1038
01/02/2013,26,1008
01/02/2013,27,1386
01/02/2013,28,950
01/02/2013,30,708
01/02/2013,31,1401
01/02/2013,32,776
01/02/2013,33,1163
01/02/2013,34,2724
01/02/2013,35,786
01/02/2013,37,1691
01/02/2013,38,1987
01/02/2013,39,1587
01/02/2013,40,1178
01/02/2013,41,915
01/02/2013,43,1385
01/02/2013,44,4821
01/02/2013,45,4208
01/02/2013,46,4886
01/02/2013,47,4161
01/02/2013,48,3397
01/02/2013,49,2346
01/02/2013,50,3077
01/02/2013,51,1985
01/02/2013,54,998
01/03/2013,1,1833
01/03/2013,2,2033
01/03/2013,3,3026
01/03/2013,4,1551
01/03/2013,5,1740
01/03/2013,6,1795
01/03/2013,7,1568
01/03/2013,8,2904
01/03/2013,9,2396
01/03/2013,10,1157
01/03/2013,11,2675
01/03/2013,12,1248
01/03/2013,13,916
01/03/2013,14,1823
01/03/2013,15,1512
01/03/2013,16,1101
01/03/2013,17,1339
01/03/2013,18,1484
01/03/2013,19,1098
01/03/2013,23,1181
01/03/2013,24,2462
01/03/2013,25,887
01/03/2013,26,813
01/03/2013,27,928
01/03/2013,28,749
01/03/2013,30,689
01/03/2013,31,1126
01/03/2013,32,727
01/03/2013,33,1168
01/03/2013,34,2348
01/03/2013,35,725
01/03/2013,37,1526
01/03/2013,38,1746
01/03/2013,39,1426
01/03/2013,40,1171
01/03/2013,41,809
01/03/2013,43,1334
01/03/2013,44,3618
01/03/2013,45,3314
01/03/2013,46,3438
01/03/2013,47,3660
01/03/2013,48,2887
01/03/2013,49,1702
01/03/2013,50,2307
01/03/2013,51,1644
01/03/2013,54,920
01/04/2013,1,1863
01/04/2013,2,2066
01/04/2013,3,3188
01/04/2013,4,1596
01/04/2013,5,1642
01/04/2013,6,1679
01/04/2013,7,1513
01/04/2013,8,2962
01/04/2013,9,1975
01/04/2013,10,970
01/04/2013,11,2515
01/04/2013,12,1064
01/04/2013,13,879
01/04/2013,14,1641
01/04/2013,15,1318
01/04/2013,16,977
01/04/2013,17,1139
01/04/2013,18,1238
01/04/2013,19,1003
01/04/2013,23,1257
01/04/2013,24,2607
01/04/2013,25,1054
01/04/2013,26,813
01/04/2013,27,1034
01/04/2013,28,651
01/04/2013,30,689
01/04/2013,31,1246
01/04/2013,32,680
01/04/2013,33,948
01/04/2013,34,2369
01/04/2013,35,630
01/04/2013,37,1701
01/04/2013,38,1723
01/04/2013,39,1285
01/04/2013,40,1044
01/04/2013,41,835
01/04/2013,43,1358
01/04/2013,44,4169
01/04/2013,45,3630
01/04/2013,46,3434
01/04/2013,47,3915
01/04/2013,48,2900
01/04/2013,49,2016
01/04/2013,50,2698
01/04/2013,51,1786
01/04/2013,54,794
01/05/2013,1,1509
01/05/2013,2,2062
01/05/2013,3,3623
01/05/2013,4,1825
01/05/2013,5,1643
01/05/2013,6,2154
01/05/2013,7,1599
01/05/2013,8,3060
01/05/2013,9,2604
01/05/2013,10,1269
01/05/2013,11,3052
01/05/2013,12,1293
01/05/2013,13,1336
01/05/2013,14,2052
01/05/2013,15,1543
01/05/2013,16,1109
01/05/2013,17,1433
01/05/2013,18,1323
01/05/2013,19,1713
01/05/2013,23,1250
01/05/2013,24,2578
01/05/2013,25,1355
01/05/2013,26,1081
01/05/2013,27,1327
01/05/2013,28,1033
01/05/2013,30,749
01/05/2013,31,1317
01/05/2013,32,890
01/05/2013,33,1217
01/05/2013,34,2599
01/05/2013,35,723
01/05/2013,37,1770
01/05/2013,38,2214
01/05/2013,39,1851
01/05/2013,40,1118
01/05/2013,41,1021
01/05/2013,43,1205
01/05/2013,44,4921
01/05/2013,45,4331
01/05/2013,46,4935
01/05/2013,47,4764
01/05/2013,48,4084
01/05/2013,49,2562
01/05/2013,50,3459
01/05/2013,51,2068
01/05/2013,54,949
01/06/2013,1,520
01/06/2013,2,1992
01/06/2013,3,3590
01/06/2013,4,1891
01/06/2013,5,1754
01/06/2013,6,2313
01/06/2013,7,1431
01/06/2013,8,2748
01/06/2013,9,2635
01/06/2013,10,1173
01/06/2013,11,3188
01/06/2013,12,1271
01/06/2013,13,1008
01/06/2013,14,1313
01/06/2013,15,1149
01/06/2013,16,1323
01/06/2013,17,1383
01/06/2013,18,1405
01/06/2013,19,1157
01/06/2013,23,1100
01/06/2013,24,2061
01/06/2013,25,716
01/06/2013,26,1075
01/06/2013,27,1614
01/06/2013,28,1207
01/06/2013,30,667
01/06/2013,31,1468
01/06/2013,32,772
01/06/2013,33,1302
01/06/2013,34,2377
01/06/2013,35,651
01/06/2013,37,1282
01/06/2013,38,2522
01/06/2013,39,1571
01/06/2013,40,1023
01/06/2013,41,1142
01/06/2013,43,1194
01/06/2013,44,4925
01/06/2013,45,4418
01/06/2013,46,5401
01/06/2013,47,4935
01/06/2013,48,4591
01/06/2013,49,2795
01/06/2013,50,3297
01/06/2013,51,1934
01/06/2013,54,1180
01/07/2013,1,1807
01/07/2013,2,1911
01/07/2013,3,2996
01/07/2013,4,1514
01/07/2013,5,1577
01/07/2013,6,1713
01/07/2013,7,1705
01/07/2013,8,2768
01/07/2013,9,2162
01/07/2013,10,1148
01/07/2013,11,2361
01/07/2013,12,1113
01/07/2013,13,921
01/07/2013,14,1671
01/07/2013,15,1413
01/07/2013,16,1066
01/07/2013,17,1292
01/07/2013,18,1369
01/07/2013,19,1137
01/07/2013,23,1185
01/07/2013,24,2320
01/07/2013,25,703
01/07/2013,26,792
01/07/2013,27,1093
01/07/2013,28,775
01/07/2013,30,663
01/07/2013,31,1170
01/07/2013,32,699
01/07/2013,33,1078
01/07/2013,34,2224
01/07/2013,35,568
01/07/2013,37,1450
01/07/2013,38,1549
01/07/2013,39,1356
01/07/2013,40,1148
01/07/2013,41,744
01/07/2013,43,1137
01/07/2013,44,3871
01/07/2013,45,3339
01/07/2013,46,3205
01/07/2013,47,3570
01/07/2013,48,2697
01/07/2013,49,1719
01/07/2013,50,2371
01/07/2013,51,1637
01/07/2013,54,890
01/08/2013,1,1869
01/08/2013,2,1856
01/08/2013,3,2826
01/08/2013,4,1397
01/08/2013,5,1504
01/08/2013,6,1555
01/08/2013,7,1524
01/08/2013,8,2639
01/08/2013,9,2206
01/08/2013,10,1100
01/08/2013,11,2388
01/08/2013,12,1130
01/08/2013,13,879
01/08/2013,14,1673
01/08/2013,15,1330
01/08/2013,16,1009
01/08/2013,17,1197
01/08/2013,18,1388
01/08/2013,19,1013
01/08/2013,23,1143
01/08/2013,24,2349
01/08/2013,25,626
01/08/2013,26,729
01/08/2013,27,999
01/08/2013,28,877
01/08/2013,30,701
01/08/2013,31,1200
01/08/2013,32,641
01/08/2013,33,1164
01/08/2013,34,2272
01/08/2013,35,555
01/08/2013,37,1366
01/08/2013,38,1331
01/08/2013,39,1417
01/08/2013,40,1090
01/08/2013,41,764
01/08/2013,43,1155
01/08/2013,44,3593
01/08/2013,45,3102
01/08/2013,46,3061
01/08/2013,47,3185
01/08/2013,48,2320
01/08/2013,49,1609
01/08/2013,50,2251
01/08/2013,51,1613
01/08/2013,54,729
01/09/2013,1,1910
01/09/2013,2,1975
01/09/2013,3,2932
01/09/2013,4,1533
01/09/2013,5,1513
01/09/2013,6,1702
01/09/2013,7,1525
01/09/2013,8,2802
01/09/2013,9,1976
01/09/2013,10,930
01/09/2013,11,2230
01/09/2013,12,1108
01/09/2013,13,831
01/09/2013,14,1591
01/09/2013,15,1276
01/09/2013,16,923
01/09/2013,17,1110
01/09/2013,18,1206
01/09/2013,19,960
01/09/2013,23,1127
01/09/2013,24,2354
01/09/2013,25,755
01/09/2013,26,738
01/09/2013,27,1033
01/09/2013,28,645
01/09/2013,30,627
01/09/2013,31,1007
01/09/2013,32,591
01/09/2013,33,976
01/09/2013,34,2101
01/09/2013,35,539
01/09/2013,37,1544
01/09/2013,38,1525
01/09/2013,39,1219
01/09/2013,40,939
01/09/2013,41,749
01/09/2013,43,1000
01/09/2013,44,4006
01/09/2013,45,3268
01/09/2013,46,2989
01/09/2013,47,3370
01/09/2013,48,2316
01/09/2013,49,1776
01/09/2013,50,2228
01/09/2013,51,1786
01/09/2013,54,730
01/10/2013,1,1679
01/10/2013,2,1761
01/10/2013,3,2649
01/10/2013,4,1326
01/10/2013,5,1449
01/10/2013,6,1422
01/10/2013,7,1487
01/10/2013,8,2545
01/10/2013,9,1942
01/10/2013,10,925
01/10/2013,11,2274
01/10/2013,12,1121
01/10/2013,13,877
01/10/2013,14,1423
01/10/2013,15,1317
01/10/2013,16,889
01/10/2013,17,1141
01/10/2013,18,1219
01/10/2013,19,960
01/10/2013,23,1024
01/10/2013,24,2226
01/10/2013,25,632
01/10/2013,26,710
01/10/2013,27,900
01/10/2013,28,700
01/10/2013,30,693
01/10/2013,31,1001
01/10/2013,32,603
01/10/2013,33,868
01/10/2013,34,2079
01/10/2013,35,553
01/10/2013,37,1323
01/10/2013,38,1323
01/10/2013,39,1209
01/10/2013,40,944
01/10/2013,41,649
01/10/2013,43,967
01/10/2013,44,3323
01/10/2013,45,2697
01/10/2013,46,2627
01/10/2013,47,2982
01/10/2013,48,2212
01/10/2013,49,1481
01/10/2013,50,2052
01/10/2013,51,1515
01/10/2013,54,684
01/11/2013,1,1813
01/11/2013,2,1786
01/11/2013,3,2954
01/11/2013,4,1398
01/11/2013,5,1446
01/11/2013,6,1563
01/11/2013,7,1497
01/11/2013,8,2858
01/11/2013,9,1750
01/11/2013,10,877
01/11/2013,11,2053
01/11/2013,12,1072
01/11/2013,13,825
01/11/2013,14,1412
01/11/2013,15,1168
01/11/2013,16,912
01/11/2013,17,986
01/11/2013,18,1221
01/11/2013,19,999
01/11/2013,23,1046
01/11/2013,24,2350
01/11/2013,25,979
01/11/2013,26,725
01/11/2013,27,856
01/11/2013,28,618
01/11/2013,30,623
01/11/2013,31,1011
01/11/2013,32,641
01/11/2013,33,893
01/11/2013,34,2407
01/11/2013,35,538
01/11/2013,37,1447
01/11/2013,38,1557
01/11/2013,39,1163
01/11/2013,40,970
01/11/2013,41,686
01/11/2013,43,1264
01/11/2013,44,3873
01/11/2013,45,3083
01/11/2013,46,2892
01/11/2013,47,3312
01/11/2013,48,2396
01/11/2013,49,1768
01/11/2013,50,2226
01/11/2013,51,1658
01/11/2013,54,766
01/12/2013,1,1473
01/12/2013,2,1998
01/12/2013,3,3407
01/12/2013,4,1543
01/12/2013,5,1553
01/12/2013,6,2020
01/12/2013,7,1416
