"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLPRPUS","194913","480570","1","Coal Production","Thousand Short Tons"
"CLPRPUS","195013","560388","1","Coal Production","Thousand Short Tons"
"CLPRPUS","195113","576335","1","Coal Production","Thousand Short Tons"
"CLPRPUS","195213","507424","1","Coal Production","Thousand Short Tons"
"CLPRPUS","195313","488239","1","Coal Production","Thousand Short Tons"
"CLPRPUS","195413","420789","1","Coal Production","Thousand Short Tons"
"CLPRPUS","195513","490838","1","Coal Production","Thousand Short Tons"
"CLPRPUS","195613","529774","1","Coal Production","Thousand Short Tons"
"CLPRPUS","195713","518042","1","Coal Production","Thousand Short Tons"
"CLPRPUS","195813","431617","1","Coal Production","Thousand Short Tons"
"CLPRPUS","195913","432677","1","Coal Production","Thousand Short Tons"
"CLPRPUS","196013","434329","1","Coal Production","Thousand Short Tons"
"CLPRPUS","196113","420423","1","Coal Production","Thousand Short Tons"
"CLPRPUS","196213","439043","1","Coal Production","Thousand Short Tons"
"CLPRPUS","196313","477195","1","Coal Production","Thousand Short Tons"
"CLPRPUS","196413","504182","1","Coal Production","Thousand Short Tons"
"CLPRPUS","196513","526954","1","Coal Production","Thousand Short Tons"
"CLPRPUS","196613","546822","1","Coal Production","Thousand Short Tons"
"CLPRPUS","196713","564882","1","Coal Production","Thousand Short Tons"
"CLPRPUS","196813","556706","1","Coal Production","Thousand Short Tons"
"CLPRPUS","196913","570978","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197013","612661","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197113","560919","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197213","602492","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197301","49901","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197302","46461","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197303","51188","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197304","47580","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197305","52061","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197306","47222","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197307","44235","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197308","56461","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197309","48870","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197310","54996","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197311","50408","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197312","49185","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197313","598568","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197401","54228","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197402","50511","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197403","51809","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197404","54965","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197405","58251","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197406","48570","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197407","49835","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197408","52428","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197409","53202","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197410","61136","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197411","34312","1","Coal Production","Thousand Short Tons"
"CLPRPUS","197412","40776","1","Coal Production","Thousand Short Tons"
