Year,GDP Growth,Consumption Growth,Investment Growth,Government Purchases Growth,Exports Growth,Imports Growth,Capital Growth,Labor Growth
1948-01-01,2.8,2.4,21.1,-3.6,-14.8,18.4,3.5,1.9
1948-04-01,4.5,2.7,32.0,1.0,-30.6,14.1,3.8,1.8
1948-07-01,5.2,2.0,34.9,5.9,-29.0,25.1,4.2,2.3
1948-10-01,3.8,2.2,13.4,11.9,-22.5,15.8,4.7,0.4
1949-01-01,0.9,1.2,-11.6,14.4,-7.3,-2.5,4.9,-2.0
1949-04-01,-1.0,1.8,-33.5,15.4,2.0,-6.8,4.6,-3.6
1949-07-01,-0.5,2.1,-26.7,13.9,-7.1,-14.8,4.0,-5.4
1949-10-01,-1.5,3.3,-29.4,8.8,-16.8,-8.4,3.5,-4.8
1950-01-01,3.8,5.1,9.7,2.5,-30.3,0.6,3.0,-2.4
1950-04-01,7.1,4.9,37.1,-1.1,-26.8,8.5,3.1,1.8
1950-07-01,9.8,9.7,37.1,-3.6,-16.0,35.5,3.6,5.9
1950-10-01,12.6,5.2,56.0,3.2,6.8,36.8,4.2,7.2
1951-01-01,10.0,5.5,24.6,15.7,17.0,37.1,5.0,8.1
1951-04-01,8.8,1.1,17.2,25.7,28.1,31.7,5.4,6.5
1951-07-01,7.0,-2.6,-0.5,38.8,32.5,3.4,5.6,2.4
1951-10-01,5.4,1.3,-23.4,38.5,24.5,-3.2,5.5,1.5
1952-01-01,5.0,-0.1,-12.4,29.6,20.2,-1.1,5.0,0.5
1952-04-01,3.5,4.4,-25.3,23.0,-4.3,-5.3,4.6,-0.7
1952-07-01,2.2,3.2,-10.4,12.9,-19.8,4.4,4.1,1.0
1952-10-01,5.2,5.9,4.6,9.9,-18.8,13.7,3.9,3.6
1953-01-01,6.0,6.7,4.5,10.3,-22.9,3.6,3.9,4.0
1953-04-01,6.6,5.5,14.2,8.0,-10.4,10.0,3.9,4.6
1953-07-01,5.3,5.3,6.2,5.1,2.9,5.4,4.1,2.8
1953-10-01,0.5,1.5,-8.2,2.6,-1.5,-5.9,4.1,-1.4
1954-01-01,-1.8,0.6,-11.4,-2.1,-5.9,-7.7,3.9,-3.8
1954-04-01,-2.5,1.1,-12.4,-6.7,6.6,-2.3,3.7,-4.7
1954-07-01,-0.8,2.1,-4.7,-6.6,-0.1,-7.1,3.5,-4.1
1954-10-01,2.7,4.2,8.8,-6.5,8.0,-0.8,3.3,-1.3
1955-01-01,6.0,5.8,20.0,-4.1,17.4,8.1,3.4,1.7
1955-04-01,7.5,6.2,25.9,-1.3,1.7,4.1,3.7,3.7
1955-07-01,7.7,6.3,21.7,1.4,11.1,11.0,4.0,5.2
1955-10-01,6.4,5.1,21.4,-0.4,7.2,12.9,4.3,5.1
1956-01-01,3.2,2.6,10.0,0.1,8.4,12.3,4.6,4.1
1956-04-01,2.4,1.5,2.5,2.8,18.0,7.3,4.7,3.1
1956-07-01,1.0,0.5,0.9,0.5,14.8,6.5,4.6,1.6
1956-10-01,2.0,1.5,-5.6,5.0,20.0,-1.1,4.6,1.0
