Year,State,Producer Type,Energy Source,"CO2
(Metric Tons)","SO2
(Metric Tons)","NOx
(Metric Tons)"
1990,AK,Commercial Cogen,All Sources,824 004,13 198,3 011
1990,AK,Commercial Cogen,Coal,821 929,13 191,3 009
1990,AK,Commercial Cogen,Petroleum,2 075,6,2
1990,AK,Commercial Non-Cogen,All Sources,0,149,42
1990,AK,Commercial Non-Cogen,Petroleum,0,149,42
1990,AK,Electric Utility,All Sources,2 814 130,2 403,7 837
1990,AK,Electric Utility,Coal,646 430,832,2 881
1990,AK,Electric Utility,Natural Gas,1 886 585,9,4 364
1990,AK,Electric Utility,Petroleum,281 115,1 562,592
1990,AK,Industrial Cogen,All Sources,176 547,2 968,791
1990,AK,Industrial Cogen,Natural Gas,127 455,1,308
1990,AK,Industrial Cogen,Other,0,983,220
1990,AK,Industrial Cogen,Petroleum,49 092,1 984,263
1990,AK,Industrial Non-Cogen,All Sources,394 128,23,881
1990,AK,Industrial Non-Cogen,Natural Gas,388 618,1,866
1990,AK,Industrial Non-Cogen,Other,0,1,9
1990,AK,Industrial Non-Cogen,Petroleum,5 510,21,5
1990,AK,Total Electric Power Industry,All Sources,4 208 809,18 741,12 562
1990,AK,Total Electric Power Industry,Coal,1 468 359,14 023,5 890
1990,AK,Total Electric Power Industry,Natural Gas,2 402 658,11,5 538
1990,AK,Total Electric Power Industry,Other,0,984,229
1990,AK,Total Electric Power Industry,Petroleum,337 792,3 723,904
1990,AL,Electric Utility,All Sources,50 160 812,467 522,204 197
1990,AL,Electric Utility,Coal,49 880 908,467 393,203 687
1990,AL,Electric Utility,Natural Gas,223 787,1,448
1990,AL,Electric Utility,Petroleum,56 117,129,63
1990,AL,Industrial Cogen,All Sources,2 517 869,32 103,11 625
1990,AL,Industrial Cogen,Coal,1 527 201,16 568,5 979
1990,AL,Industrial Cogen,Natural Gas,802 719,4,1 566
1990,AL,Industrial Cogen,Other,15 962,14 191,3 882
1990,AL,Industrial Cogen,Petroleum,171 987,1 340,198
1990,AL,Industrial Non-Cogen,All Sources,9 177,0,16
1990,AL,Industrial Non-Cogen,Natural Gas,9 177,0,16
1990,AL,IPP NAICS-22 Cogen,All Sources,248 205,5 904,2 581
1990,AL,IPP NAICS-22 Cogen,Coal,171 365,1 267,734
1990,AL,IPP NAICS-22 Cogen,Natural Gas,76 840,0,179
1990,AL,IPP NAICS-22 Cogen,Other,0,4 637,1 669
1990,AL,IPP NAICS-22 Non-Cogen,Other,0,0,0
1990,AL,Total Electric Power Industry,All Sources,52 936 063,505 530,218 419
1990,AL,Total Electric Power Industry,Coal,51 579 474,485 229,210 395
1990,AL,Total Electric Power Industry,Natural Gas,1 112 523,5,2 209
1990,AL,Total Electric Power Industry,Other,15 962,18 828,5 555
1990,AL,Total Electric Power Industry,Petroleum,228 104,1 469,260
1990,AR,Commercial Cogen,All Sources,23 987,2,138
1990,AR,Commercial Cogen,Natural Gas,21 142,0,92
1990,AR,Commercial Cogen,Other,0,0,43
