date,Value
1973-01-01,72.076
1973-02-01,64.442
1973-03-01,64.084
1973-04-01,60.842
1973-05-01,61.798
1973-06-01,66.538
1973-07-01,72.626
1973-08-01,75.181
1973-09-01,68.397
1973-10-01,67.668
1973-11-01,67.021
1973-12-01,71.118
1974-01-01,70.55
1974-02-01,62.929
1974-03-01,64.519
1974-04-01,60.544
1974-05-01,64.687
1974-06-01,64.736
1974-07-01,73.698
1974-08-01,72.559
1974-09-01,63.221
1974-10-01,65.418
1974-11-01,65.593
1974-12-01,71.677
1975-01-01,72.708
1975-02-01,65.117
1975-03-01,66.532
1975-04-01,61.975
1975-05-01,62.031
1975-06-01,67.875
1975-07-01,74.184
1975-08-01,77.029
1975-09-01,66.156
1975-10-01,66.651
1975-11-01,67.625
1975-12-01,75.857
1976-01-01,81.264
1976-02-01,71.058
1976-03-01,73.361
1976-04-01,68.703
1976-05-01,68.985
1976-06-01,73.936
1976-07-01,80.968
1976-08-01,81.962
1976-09-01,72.95
1976-10-01,74.746
1976-11-01,78.924
1976-12-01,84.49
1977-01-01,87.215
1977-02-01,75.943
1977-03-01,75.092
1977-04-01,68.641
1977-05-01,74.916
1977-06-01,80.942
1977-07-01,90.667
1977-08-01,89.046
1977-09-01,80.975
1977-10-01,77.369
1977-11-01,78.058
1977-12-01,83.279
1978-01-01,85.191
1978-02-01,71.476
1978-03-01,67.829
1978-04-01,69.051
1978-05-01,74.201
1978-06-01,81.372
1978-07-01,88.003
1978-08-01,91.836
1978-09-01,85.066
1978-10-01,79.494
1978-11-01,79.291
1978-12-01,87.107
1979-01-01,93.946
1979-02-01,83.91
1979-03-01,83.689
1979-04-01,78.077
1979-05-01,83.19
1979-06-01,88.15
1979-07-01,96.579
1979-08-01,97.246
1979-09-01,84.463
1979-10-01,86.071
1979-11-01,86.09
1979-12-01,94.293
1980-01-01,100.568
1980-02-01,94.862
1980-03-01,93.21
1980-04-01,81.245
1980-05-01,82.785
1980-06-01,91.484
1980-07-01,107.126
1980-08-01,106.245
1980-09-01,95.662
1980-10-01,90.03
1980-11-01,91.239
1980-12-01,102.138
1981-01-01,108.164
1981-02-01,94.766
1981-03-01,95.724
1981-04-01,86.386
1981-05-01,89.002
1981-06-01,99.05
1981-07-01,111.044
1981-08-01,107.758
1981-09-01,95.891
1981-10-01,94.541
1981-11-01,92.986
1981-12-01,105.056
1982-01-01,113.136
1982-02-01,97.313
1982-03-01,95.335
1982-04-01,86.587
1982-05-01,90.83
1982-06-01,94.419
1982-07-01,109.995
1982-08-01,109.179
1982-09-01,96.39
1982-10-01,92.24
1982-11-01,95.165
1982-12-01,101.367
1983-01-01,105.965
1983-02-01,90.912
1983-03-01,93.568
1983-04-01,86.575
1983-05-01,90.75
1983-06-01,99.98
1983-07-01,119.945
1983-08-01,126.652
1983-09-01,107.675
1983-10-01,100.677
1983-11-01,101.663
1983-12-01,117.417
1984-01-01,119.436
1984-02-01,103.635
1984-03-01,108.149
1984-04-01,94.329
1984-05-01,98.181
1984-06-01,112.983
1984-07-01,119.701
1984-08-01,125.724
1984-09-01,107.179
1984-10-01,108.583
1984-11-01,107.546
1984-12-01,112.167
1985-01-01,125.429
1985-02-01,109.359
1985-03-01,107.966
1985-04-01,100.317
1985-05-01,107.595
1985-06-01,113.584
1985-07-01,126.626
1985-08-01,124.309
1985-09-01,111.9
1985-10-01,108.331
1985-11-01,107.034
1985-12-01,124.95
1986-01-01,126.887
1986-02-01,109.086
1986-03-01,106.803
1986-04-01,95.341
1986-05-01,101.892
1986-06-01,116.698
1986-07-01,134.789
1986-08-01,122.28
1986-09-01,112.03
1986-10-01,107.235
1986-11-01,107.317
1986-12-01,117.127
1987-01-01,124.043
1987-02-01,106.754
1987-03-01,108.607
1987-04-01,102.222
1987-05-01,112.257
1987-06-01,126.2
1987-07-01,140.582
1987-08-01,139.268
1987-09-01,117.773
1987-10-01,113.515
1987-11-01,111.217
1987-12-01,124.314
1988-01-01,133.468
1988-02-01,120.783
1988-03-01,115.584
1988-04-01,106.49
1988-05-01,111.2
1988-06-01,128.537
1988-07-01,141.139
1988-08-01,148.031
1988-09-01,121.057
1988-10-01,117.165
1988-11-01,116.659
1988-12-01,131.695
1989-01-01,132.233
1989-02-01,124.345
1989-03-01,122.803
1989-04-01,111.194
1989-05-01,115.915
1989-06-01,126.031
1989-07-01,138.083
1989-08-01,139.614
1989-09-01,124.594
1989-10-01,119.943
1989-11-01,120.824
1989-12-01,143.264
1990-01-01,132.923
1990-02-01,116.26
1990-03-01,121.806
1990-04-01,115.909
1990-05-01,118.556
1990-06-01,130.719
1990-07-01,143.146
1990-08-01,146.257
1990-09-01,134.042
1990-10-01,128.8
1990-11-01,122.119
1990-12-01,137.027
1991-01-01,143.148
1991-02-01,117.505
1991-03-01,118.823
1991-04-01,111.147
1991-05-01,122.745
1991-06-01,131.945
1991-07-01,144.042
1991-08-01,144.107
1991-09-01,129.099
1991-10-01,124.058
1991-11-01,127.928
1991-12-01,133.633
1992-01-01,137.39
1992-02-01,121.125
1992-03-01,126.201
1992-04-01,118.33
1992-05-01,121.946
1992-06-01,129.054
1992-07-01,148.563
1992-08-01,142.166
1992-09-01,132.766
1992-10-01,126.405
1992-11-01,126.014
1992-12-01,139.605
1993-01-01,139.269
1993-02-01,128.056
1993-03-01,134.599
1993-04-01,119.596
1993-05-01,120.469
1993-06-01,136.697
1993-07-01,157.967
1993-08-01,156.392
1993-09-01,133.435
