,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
North America,16.45179,16.98772,16.47546,17.12407,18.4267,18.81819,18.52559,19.43781,20.40363,20.62571,20.5602,20.4251,20.64672,21.28219,21.39631,21.64225,22.57572,23.20491,23.5002,23.4747,24.55583,23.62705,23.69876,24.17788,24.36024,24.6876,24.32174,24.54746,24.11993,21.14803
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,0.96156,0.99047,1.05584,1.11653,1.23682,1.20679,1.12583,1.25072,1.35809,1.35196,1.21338,1.26457,1.32379,1.22875,1.24492,1.28479,1.30032,1.44933,1.50985,1.505,1.61651,1.35444,1.36876,1.38766,1.43684,1.44948,1.42135,1.38369,1.37388,1.14314
Greenland,0.00005,0.00005,0.00003,0.00003,0.00003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,0.10239,0.10562,0.11967,0.12869,0.13071,0.14646,0.15609,0.17001,0.15967,0.17359,0.1694,0.15916,0.16584,0.19118,0.1836,0.20768,0.25067,0.26373,0.26753,0.28947,0.29444,0.32908,0.36525,0.41878,0.31944,0.39739,0.39244,0.38911,0.32008,0.3365
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,15.38779,15.89158,15.29993,15.87882,17.05914,17.46494,17.24367,18.01708,18.88587,19.10017,19.17742,19.00137,19.15709,19.86225,19.96779,20.14978,21.02473,21.49186,21.72283,21.68023,22.64488,21.94353,21.96475,22.37144,22.60396,22.84073,22.50795,22.77466,22.42597,19.66839
Central & South America,0.42011,0.41355,0.4154,0.46672,0.52421,0.59161,0.59652,0.61574,0.66937,0.6737,0.57386,0.67426,0.64595,0.66307,0.66227,0.6533,0.7177,0.80408,0.82202,0.77054,0.75904,0.69699,0.71689,0.77548,0.8271,0.83557,0.87547,0.91489,1.0013,0.91702
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0.03476,0.03022,0.02814,0.02476,0.02005,0.02302,0.02746,0.03673,0.03698,0.03631,0.02387,0.02974,0.03238,0.02859,0.04565,0.03947,0.03841,0.03965,0.03952,0.02826,0.02942,0.02347,0.02862,0.02143,0.02596,0.02307,0.03128,0.04495,0.05223,0.05299
Aruba,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bahamas, The",0,0.00069,0.00038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0.00003,0.00003,0.00003,0.00003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,0.21533,0.21184,0.22929,0.2531,0.31179,0.36635,0.37213,0.39388,0.39594,0.39061,0.34926,0.40548,0.36777,0.37418,0.36686,0.38087,0.40211,0.41518,0.40896,0.41887,0.44083,0.43551,0.42568,0.43507,0.46275,0.43982,0.4374,0.46508,0.47438,0.37804
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,0.04761,0.04555,0.03079,0.04468,0.0518,0.05278,0.04773,0.04978,0.07004,0.09256,0.10071,0.07971,0.06918,0.07097,0.0837,0.09092,0.12407,0.1766,0.15616,0.17402,0.13077,0.1019,0.10326,0.10218,0.14801,0.146,0.17141,0.16052,0.22079,0.19285
Colombia,0.10287,0.10676,0.11013,0.12175,0.11983,0.11935,0.12172,0.10095,0.13017,0.12108,0.07108,0.12884,0.14529,0.14932,0.12965,0.108,0.11263,0.13734,0.14029,0.10854,0.10104,0.08969,0.08978,0.10167,0.08063,0.11243,0.1028,0.09961,0.11731,0.12985
Costa Rica,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00006,0.00006,0,0,0,0,0.00001,0.00034,0.00001,0.00001,0.00001,0.00001,0.00002,0.00077,0.00209,0.00165,0.00081,0.00165,0.00335,0.00329,0.00285
Cuba,0.00448,0.0045,0.00436,0.00447,0.00472,0.00388,0.00486,0.00521,0.0051,0.00654,0.00617,0.00328,0.00191,0.00241,0.00307,0.00267,0.00108,0.00081,0.00091,0.00096,0.001,0.00068,0.00111,0.00063,0.00077,0.00107,0.00097,0.00106,0.00093,0.00072
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0.00019,0.00036,0.00606,0.00076,0.00628,0.00281,0.00029,0.00049,0.00561,0.00532,0.00625,0.00178,0.00222,0.0028,0.00271,0.00383,0.00599,0.00237,0.00519,0.00598,0.02709,0.01991,0.01218,0.02091,0.02152,0.02241,0.022
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0.00002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,0.00003,0.00003,0.00003,0,0,0,0,0,0,0,0,0.00002,0,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00002,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0,0,0
Falkland Islands (Islas Malvinas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0.00061,0.00059,0.00011,0.00008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042,0.00552,0.00512,0.00999,0.00946,0.01182,0.01506,0.01653,0.01689,0.01722,0.03544
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,0,0,0.00107,0.00165,0.00175,0.00177,0.00052,0.00052,0.0009,0.00035,0.00035,0.00072,0.00075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0.00003,0,0,0,0,0.00003,0.00003,0.00003,0.00003,0.00003,0.00001,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00003,0.00143,0.00345,0.00315,0.0036,0.00432,0.00445,0.00469,0.00347,0.0034,0.0046,0.00451
Jamaica,0.00003,0.00003,0,0,0,0,0,0,0,0.0011,0.0015,0.00041,0.00185,0.00182,0.00153,0.00156,0.00231,0.00154,0.00149,0.00184,0.00136,0.00136,0.00225,0.00218,0.00238,0.00155,0.00082,0.00092,0.00122,0.00132
Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0.001,0.0019,0.00173,0.00266,0.00178,0.00164,0.00184
Panama,0.00005,0.00008,0.00008,0.00008,0.00024,0.00093,0.00021,0.00093,0.00069,0.00029,0.00085,0.00119,0.0013,0.0014,0.00143,0.00142,0.00269,0.00146,0.00146,0.00154,0.00154,0.00161,0.00115,0,0.00005,0.00005,0.0062,0.00605,0.00085,0.0017
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00001,0.00001,0.00001,0.00001,0.00001
