Date,Store,Sales,Customers,Open
2015-01-24,70,4699,507,1
2015-01-18,41,0,0,0
2015-04-05,45,0,0,0
2015-07-09,27,8294,988,1
2015-02-08,3,0,0,0
2015-05-15,48,3732,434,1
2015-07-22,97,5390,535,1
2015-07-20,82,8033,787,1
2015-07-22,37,4802,538,1
2015-04-27,28,7216,730,1
2015-06-12,36,9156,980,1
2015-01-21,55,4306,531,1
2015-02-01,88,0,0,0
2015-01-10,31,5316,527,1
2015-01-12,9,9529,759,1
2015-01-27,80,8945,596,1
2015-02-18,25,14726,1875,1
2015-02-15,52,0,0,0
2015-05-24,9,0,0,0
2015-04-02,58,7104,600,1
2015-07-08,4,8620,1134,1
2015-04-14,35,12920,836,1
2015-03-19,25,11650,1636,1
2015-03-12,36,7987,963,1
2015-03-20,94,8340,700,1
2015-01-16,78,4768,550,1
2015-03-13,76,8638,882,1
2015-02-18,40,4052,497,1
2015-07-14,37,7779,796,1
2015-02-15,14,0,0,0
2015-06-14,7,0,0,0
2015-04-27,33,10809,965,1
2015-01-26,46,7274,794,1
2015-01-16,86,4924,634,1
2015-07-16,60,9229,732,1
2015-02-10,98,3841,382,1
2015-02-21,52,6308,447,1
2015-06-15,94,11167,876,1
2015-04-17,42,11879,1172,1
2015-07-05,67,0,0,0
2015-02-16,30,0,0,0
2015-02-08,100,0,0,0
2015-06-21,52,0,0,0
2015-04-05,92,0,0,0
2015-03-19,5,4720,554,1
2015-07-03,97,7117,710,1
2015-02-18,70,6657,671,1
2015-04-30,90,13759,1437,1
2015-01-24,86,2394,312,1
2015-06-19,70,7877,749,1
2015-05-25,58,0,0,0
2015-06-02,51,7557,497,1
2015-05-05,4,9583,1311,1
2015-06-27,48,2666,275,1
2015-06-07,24,0,0,0
2015-07-06,6,4508,562,1
2015-07-09,9,6285,550,1
2015-03-18,26,6600,515,1
2015-06-10,51,5598,410,1
2015-06-10,44,4594,572,1
2015-05-22,83,4738,405,1
2015-06-01,49,10729,657,1
2015-01-27,20,7684,803,1
2015-01-27,62,7485,796,1
2015-02-01,77,0,0,0
2015-03-13,97,5811,635,1
2015-03-18,11,8833,1243,1
2015-06-12,28,3921,450,1
2015-01-26,86,5128,569,1
2015-05-31,93,0,0,0
2015-06-14,10,0,0,0
2015-02-07,93,3006,294,1
2015-02-03,85,7101,936,1
2015-04-03,88,0,0,0
2015-02-02,96,8626,838,1
2015-04-01,61,6390,687,1
2015-07-21,88,5104,588,1
2015-03-30,30,6654,791,1
2015-02-05,15,7164,697,1
2015-05-08,31,6134,569,1
2015-03-28,76,8391,880,1
2015-05-31,51,0,0,0
2015-05-21,57,10283,945,1
2015-03-22,61,0,0,0
2015-04-07,78,3827,544,1
2015-04-16,71,10163,789,1
2015-06-26,74,4821,714,1
2015-01-19,29,5617,588,1
2015-02-23,42,7629,955,1
2015-06-25,21,3441,357,1
2015-07-10,25,9300,1300,1
2015-06-01,33,11887,1066,1
2015-05-09,16,5751,616,1
2015-04-07,95,7333,944,1
2015-01-11,63,0,0,0
2015-03-16,73,6841,661,1
2015-04-22,20,7762,906,1
2015-04-10,21,6392,506,1
2015-03-06,87,5187,666,1
2015-01-24,18,4562,511,1
2015-04-24,36,7688,929,1
2015-06-24,90,7311,979,1
2015-06-04,7,9696,1005,1
2015-05-05,1,4564,514,1
2015-05-03,40,0,0,0
2015-06-01,26,11167,785,1
2015-07-09,42,8626,955,1
2015-06-24,66,4588,415,1
2015-02-18,60,9844,876,1
2015-05-08,2,5734,753,1
2015-06-16,56,9595,616,1
2015-05-02,12,7748,971,1
2015-03-27,86,3774,496,1
2015-04-26,14,0,0,0
2015-07-25,46,5257,651,1
2015-04-24,64,8085,707,1
2015-03-26,51,5985,434,1
2015-04-17,78,4296,548,1
2015-04-14,11,8499,1104,1
2015-02-28,85,6146,869,1
2015-07-22,95,5564,617,1
2015-04-24,58,5197,449,1
2015-03-14,85,5538,727,1
2015-05-21,30,5019,728,1
2015-02-19,30,6573,840,1
2015-05-28,54,5998,584,1
2015-04-16,43,7365,657,1
2015-02-09,44,4374,580,1
2015-03-25,61,5020,529,1
2015-06-22,46,3792,528,1
2015-01-02,90,9260,1162,1
2015-07-24,90,6243,841,1
2015-04-12,14,0,0,0
2015-03-27,10,5114,507,1
2015-03-09,93,5063,572,1
2015-01-21,45,3513,303,1
2015-03-22,53,0,0,0
2015-06-11,46,4191,541,1
2015-01-21,93,4248,475,1
2015-01-16,98,6422,546,1
2015-03-19,58,6844,550,1
2015-04-27,77,11598,783,1
2015-02-25,13,3251,282,1
2015-05-09,89,5155,484,1
2015-04-02,29,12047,986,1
2015-06-16,58,7804,564,1
2015-04-18,7,5534,595,1
2015-03-30,49,13000,765,1
2015-06-05,81,9089,686,1
2015-04-09,3,6185,753,1
2015-02-04,69,9200,1147,1
2015-05-04,35,18505,1142,1
2015-07-21,55,4158,501,1
2015-02-12,91,3861,445,1
2015-05-13,58,7168,580,1
2015-03-03,1,5451,576,1
2015-04-17,93,7340,753,1
2015-02-03,14,7069,761,1
2015-03-11,53,4207,494,1
2015-01-10,37,7521,887,1
2015-07-01,8,8523,895,1
2015-01-19,98,4135,410,1
2015-07-19,56,0,0,0
2015-03-26,16,7498,909,1
2015-04-17,73,4733,485,1
2015-04-04,79,5780,581,1
2015-05-22,99,7042,567,1
2015-06-17,46,6353,673,1
2015-02-28,42,9462,1054,1
2015-07-01,32,5614,579,1
2015-03-17,31,6123,534,1
2015-05-20,41,5707,406,1
2015-04-07,41,5988,456,1
2015-05-14,65,0,0,0
2015-03-21,74,4534,622,1
2015-05-23,61,5019,584,1
2015-06-27,55,2586,326,1
2015-07-02,81,7321,574,1
2015-01-14,16,7860,880,1
2015-03-02,88,10347,891,1
2015-05-05,86,5105,629,1
2015-02-03,71,11786,892,1
2015-04-25,82,4814,506,1
2015-01-17,41,6558,489,1
2015-03-15,27,0,0,0
2015-02-04,27,12162,1211,1
2015-06-21,5,0,0,0
2015-07-09,41,5512,378,1
2015-01-08,67,8213,860,1
2015-01-21,90,6575,866,1
2015-03-01,92,0,0,0
2015-04-16,39,8158,945,1
2015-07-07,26,4909,447,1
2015-01-03,77,6586,588,1
2015-07-23,35,7779,609,1
2015-03-02,48,4976,452,1
2015-04-14,30,4830,687,1
2015-06-08,29,7315,663,1
2015-04-05,30,0,0,0
2015-02-24,94,5025,512,1
2015-05-18,65,7707,595,1
2015-01-27,78,4149,519,1
2015-04-21,38,3907,398,1
2015-06-19,85,6796,920,1
2015-05-24,99,0,0,0
2015-01-29,17,6448,738,1
2015-03-13,100,7134,642,1
2015-04-07,81,7424,598,1
2015-05-08,36,9651,1066,1
2015-01-04,19,0,0,0
2015-03-08,44,0,0,0
2015-07-20,77,7166,623,1
2015-02-28,55,3414,398,1
2015-07-14,93,7467,633,1
2015-05-09,75,6783,773,1
2015-07-16,28,5579,602,1
2015-02-18,26,6521,515,1
2015-07-26,37,0,0,0
2015-05-22,6,6133,658,1
2015-06-08,38,5155,462,1
2015-07-17,89,6575,656,1
2015-03-06,80,8652,630,1
2015-07-20,85,6502,935,1
2015-03-30,97,11988,979,1
2015-06-12,42,8307,941,1
2015-01-26,4,10174,1381,1
2015-06-17,25,12022,1492,1
2015-07-15,96,6980,643,1
2015-06-01,66,7078,552,1
2015-05-18,88,9475,842,1
2015-04-25,50,4213,392,1
2015-05-24,36,0,0,0
2015-04-30,80,11118,802,1
2015-04-28,16,9166,1016,1
2015-02-14,66,7287,592,1
2015-01-10,16,5339,557,1
2015-03-20,95,7465,871,1
2015-04-06,3,0,0,0
2015-06-05,15,7552,707,1
2015-02-08,22,0,0,0
2015-04-13,1,5377,574,1
2015-03-29,53,0,0,0
2015-01-15,95,7378,803,1
2015-02-02,31,7462,688,1
2015-03-03,83,4572,371,1
2015-05-22,69,9311,1186,1
2015-03-12,74,4685,696,1
2015-01-25,55,0,0,0
2015-05-01,44,0,0,0
2015-04-03,52,0,0,0
2015-06-13,11,5856,827,1
2015-02-16,20,10303,977,1
2015-04-02,17,8703,981,1
2015-03-07,39,3445,458,1
2015-01-16,79,5963,620,1
2015-04-16,87,6316,796,1
2015-05-08,70,7168,689,1
2015-07-08,100,7285,645,1
2015-02-18,82,9879,865,1
2015-02-07,28,2239,281,1
2015-01-20,68,5025,868,1
2015-06-21,78,0,0,0
2015-07-19,12,0,0,0
2015-01-03,80,7848,602,1
2015-03-03,94,8706,682,1
2015-03-30,82,15523,1216,1
2015-01-02,28,4290,515,1
2015-05-10,28,0,0,0
2015-04-26,42,0,0,0
2015-07-02,99,6205,512,1
2015-02-18,85,6553,924,1
2015-02-11,11,6984,1094,1
2015-03-14,13,4820,378,1
2015-07-23,75,6630,684,1
2015-05-01,59,0,0,0
2015-01-26,44,7321,778,1
2015-02-04,21,5376,521,1
2015-03-11,74,5026,775,1
2015-07-11,32,2589,303,1
2015-04-01,27,12058,1221,1
2015-03-05,39,5862,722,1
2015-05-18,56,9208,582,1
2015-03-13,11,6908,1011,1
2015-06-01,89,7907,721,1
2015-01-14,73,4867,516,1
2015-02-15,37,0,0,0
2015-01-09,78,4275,545,1
2015-02-10,70,4964,554,1
2015-01-17,68,8420,1230,1
2015-07-07,50,3700,299,1
2015-04-30,29,12236,988,1
2015-03-29,96,0,0,0
2015-04-24,2,3678,482,1
2015-01-30,64,14865,957,1
2015-06-09,60,8445,741,1
2015-04-09,64,9563,718,1
2015-03-07,4,10213,1412,1
2015-05-06,2,6558,780,1
2015-05-06,89,5914,598,1
2015-07-26,11,0,0,0
2015-04-25,13,5578,424,1
2015-01-02,93,5644,650,1
2015-07-17,42,9212,962,1
2015-05-28,24,8401,698,1
2015-03-11,71,7104,635,1
2015-02-20,53,5377,544,1
2015-06-15,1,5518,586,1
2015-01-23,9,6601,605,1
2015-06-19,18,8270,846,1
2015-05-09,99,6658,616,1
2015-07-01,20,8977,933,1
2015-05-23,96,1577,183,1
2015-07-14,66,7145,528,1
2015-02-08,25,0,0,0
2015-04-14,78,4577,549,1
2015-01-20,90,6460,902,1
2015-02-01,40,0,0,0
2015-05-13,8,6012,769,1
2015-04-12,97,0,0,0
2015-02-09,16,7698,885,1
2015-03-17,85,7002,939,1
2015-05-31,31,0,0,0
2015-02-10,54,4903,504,1
2015-03-17,40,4872,629,1
2015-02-14,88,2009,206,1
2015-05-26,29,8493,764,1
2015-02-09,78,3161,461,1
2015-03-01,81,0,0,0
2015-04-26,18,0,0,0
2015-01-16,11,8487,1154,1
2015-03-25,38,3884,410,1
2015-04-29,63,9869,755,1
2015-04-26,38,0,0,0
2015-06-28,98,0,0,0
2015-06-14,77,0,0,0
2015-07-22,33,6561,657,1
2015-07-18,94,5694,539,1
2015-03-03,15,8688,764,1
2015-01-27,19,7725,735,1
2015-06-30,55,6614,731,1
2015-07-18,55,2903,347,1
2015-04-19,76,0,0,0
2015-03-25,65,3900,388,1
2015-04-29,90,10296,1196,1
2015-02-04,54,7411,651,1
