MSN,YYYYMM,Value,Column_Order,Description,Unit
CLEIEUS,197301,72.076,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197302,64.442,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197303,64.084,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197304,60.842,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197305,61.798,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197306,66.538,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197307,72.626,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197308,75.181,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197309,68.397,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197310,67.668,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197311,67.021,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197312,71.118,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197313,811.791,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197401,70.55,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197402,62.929,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197403,64.519,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197404,60.544,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197405,64.687,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197406,64.736,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197407,73.698,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197408,72.559,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197409,63.221,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197410,65.418,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197411,65.593,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197412,71.677,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197413,800.131,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197501,72.708,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197502,65.117,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197503,66.532,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197504,61.975,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197505,62.031,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197506,67.875,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197507,74.184,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197508,77.029,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197509,66.156,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197510,66.651,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
CLEIEUS,197511,67.625,"1","Coal Electric Power Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
