date,customers
2013-01-02,1903
2013-01-03,1740
2013-01-04,1642
2013-01-05,1643
2013-01-06,1754
2013-01-07,1577
2013-01-08,1504
2013-01-09,1513
2013-01-10,1449
2013-01-11,1446
2013-01-12,1553
2013-01-13,1510
2013-01-14,1457
2013-01-15,1450
2013-01-16,1461
2013-01-17,1458
2013-01-18,1378
2013-01-19,1517
2013-01-20,1596
2013-01-21,1506
2013-01-22,1459
2013-01-23,1461
2013-01-24,1319
2013-01-25,1447
2013-01-26,1540
2013-01-27,1412
2013-01-28,1451
2013-01-29,1340
2013-01-30,1422
2013-01-31,1447
2013-02-01,1564
2013-02-02,1782
2013-02-03,1477
2013-02-04,1615
2013-02-05,1524
2013-02-06,1592
2013-02-07,1409
2013-02-08,1593
2013-02-09,1670
2013-02-10,1219
2013-02-11,1029
2013-02-12,968
2013-02-13,1680
2013-02-14,2075
2013-02-15,1522
2013-02-16,1780
2013-02-17,1310
2013-02-18,1706
2013-02-19,1410
2013-02-20,1461
2013-02-21,1377
2013-02-22,1510
2013-02-23,1624
2013-02-24,1454
2013-02-25,1485
2013-02-26,1425
2013-02-27,1487
2013-02-28,1416
2013-03-01,1558
2013-03-02,1715
2013-03-03,1513
2013-03-04,1724
2013-03-05,1459
2013-03-06,1546
2013-03-07,1418
2013-03-08,1545
2013-03-09,1575
2013-03-10,1341
2013-03-11,1515
2013-03-12,1373
2013-03-13,1495
2013-03-14,1335
2013-03-15,1502
2013-03-16,1612
2013-03-17,1282
2013-03-18,1709
2013-03-19,1423
2013-03-20,1530
2013-03-21,1380
2013-03-22,1427
2013-03-23,1400
2013-03-24,1334
2013-03-25,1603
2013-03-26,1453
2013-03-27,1563
2013-03-28,1708
2013-03-29,1337
2013-03-30,1567
2013-03-31,1416
2013-04-01,1725
2013-04-02,1598
2013-04-03,1673
2013-04-04,1427
2013-04-05,1550
2013-04-06,1611
2013-04-07,1431
2013-04-08,1491
2013-04-09,1388
2013-04-10,1569
2013-04-11,1402
2013-04-12,1521
2013-04-13,1572
2013-04-14,1352
2013-04-15,1589
2013-04-16,1565
2013-04-17,1459
2013-04-18,1460
2013-04-19,1542
2013-04-20,1604
2013-04-21,1400
2013-04-22,1525
2013-04-23,1320
2013-04-24,1440
2013-04-25,1257
2013-04-26,1473
2013-04-27,1600
2013-04-28,1430
2013-04-29,1566
2013-04-30,1464
2013-05-01,1534
2013-05-02,1660
2013-05-03,1493
2013-05-04,1709
2013-05-05,1905
2013-05-06,1541
2013-05-07,1436
2013-05-08,1447
2013-05-09,1318
2013-05-10,1538
2013-05-11,2158
2013-05-12,1809
2013-05-13,1469
2013-05-14,1406
2013-05-15,1447
2013-05-16,1321
2013-05-17,1442
2013-05-18,1591
2013-05-19,1537
2013-05-20,1485
2013-05-21,1298
2013-05-22,1374
2013-05-23,1352
2013-05-24,1343
2013-05-25,1505
2013-05-26,1489
2013-05-27,1531
2013-05-28,1349
2013-05-29,1447
2013-05-30,1462
2013-05-31,1420
2013-06-01,1831
2013-06-02,1852
2013-06-03,1630
2013-06-04,1488
2013-06-05,1523
2013-06-06,1339
2013-06-07,1493
2013-06-08,1545
2013-06-09,1598
2013-06-10,1565
2013-06-11,1334
2013-06-12,1383
2013-06-13,1260
2013-06-14,1326
2013-06-15,1761
2013-06-16,1553
2013-06-17,1503
2013-06-18,1389
2013-06-19,1313
2013-06-20,1261
2013-06-21,1282
2013-06-22,1561
2013-06-23,1472
2013-06-24,1448
2013-06-25,1424
2013-06-26,1363
2013-06-27,1204
2013-06-28,1302
2013-06-29,1514
2013-06-30,1375
2013-07-01,1516
2013-07-02,1315
2013-07-03,1060
2013-07-04,1531
2013-07-05,1518
2013-07-06,1641
2013-07-07,1595
2013-07-08,1499
2013-07-09,1389
2013-07-10,1398
2013-07-11,1283
2013-07-12,1377
2013-07-13,1536
2013-07-14,1455
2013-07-15,1544
2013-07-16,1431
2013-07-17,1501
2013-07-18,1381
2013-07-19,1477
2013-07-20,1513
2013-07-21,1450
2013-07-22,1543
2013-07-23,1403
2013-07-24,1480
2013-07-25,1304
2013-07-26,1386
2013-07-27,1551
2013-07-28,1429
2013-07-29,1463
2013-07-30,1419
2013-07-31,1466
2013-08-01,1484
2013-08-02,1509
2013-08-03,1732
2013-08-04,1594
2013-08-05,1660
2013-08-06,1556
2013-08-07,1502
2013-08-08,1582
2013-08-09,1508
2013-08-10,1504
2013-08-11,1497
2013-08-12,1518
2013-08-13,1485
2013-08-14,1569
2013-08-15,1489
2013-08-16,1563
2013-08-17,1610
2013-08-18,1440
2013-08-19,1595
2013-08-20,1431
2013-08-21,1457
2013-08-22,1387
2013-08-23,1414
2013-08-24,1633
2013-08-25,1382
2013-08-26,1527
2013-08-27,1464
2013-08-28,1513
2013-08-29,1363
2013-08-30,1460
2013-08-31,1624
2013-09-01,1583
2013-09-02,1620
2013-09-03,1458
2013-09-04,1550
2013-09-05,1342
2013-09-06,1455
2013-09-07,1668
2013-09-08,1571
2013-09-09,1495
2013-09-10,1372
2013-09-11,1396
2013-09-12,1309
2013-09-13,1414
2013-09-14,1497
2013-09-15,1487
2013-09-16,1541
2013-09-17,1264
2013-09-18,1372
2013-09-19,1289
2013-09-20,1485
2013-09-21,1590
2013-09-22,1404
2013-09-23,1488
2013-09-24,1277
2013-09-25,1454
2013-09-26,1242
2013-09-27,1328
2013-09-28,1495
2013-09-29,1316
2013-09-30,1407
2013-10-01,1411
2013-10-02,1431
2013-10-03,1299
2013-10-04,1318
2013-10-05,1533
2013-10-06,1179
2013-10-07,1343
2013-10-08,1395
2013-10-09,1321
2013-10-10,1398
2013-10-11,1289
2013-10-12,1386
