date,wp,ws
2009070101,0.085,2.47
2009070102,0.02,2.4
2009070103,0.06,2.51
2009070104,0.045,2.73
2009070105,0.035,2.93
2009070106,0.005,2.96
2009070107,0.0,2.81
2009070108,0.0,2.73
2009070109,0.01,2.87
2009070110,0.025,3.23
2009070111,0.03,3.66
2009070112,0.01,3.94
2009070113,0.0,3.86
2009070114,0.01,3.56
2009070115,0.0,3.26
2009070116,0.0,3.15
2009070117,0.0,3.21
2009070118,0.005,3.28
2009070119,0.0,3.27
2009070120,0.0,3.18
2009070121,0.0,2.98
2009070122,0.005,2.66
2009070123,0.015,2.32
2009070200,0.0,2.04
2009070201,0.0,1.76
2009070202,0.01,1.5
2009070203,0.01,1.33
2009070204,0.0,1.3
2009070205,0.0,1.32
2009070206,0.0,1.28
2009070207,0.0,1.19
2009070208,0.0,1.18
2009070209,0.015,1.21
2009070210,0.03,1.24
2009070211,0.01,1.47
2009070212,0.0,1.75
2009070213,0.0,1.76
2009070214,0.0,1.52
2009070215,0.0,1.25
2009070216,0.01,1.32
2009070217,0.01,1.83
2009070218,0.01,2.51
2009070219,0.01,3.19
2009070220,0.01,3.74
2009070221,0.08,3.96
2009070222,0.025,3.69
2009070223,0.08,3.17
2009070300,0.201,2.69
2009070301,0.12,2.83
2009070302,0.035,2.54
2009070303,0.05,2.44
2009070304,0.08,2.49
2009070305,0.065,2.64
2009070306,0.14,2.83
2009070307,0.08,3.05
2009070308,0.055,3.33
2009070309,0.025,3.74
2009070310,0.04,4.3
2009070311,0.1,4.88
2009070312,0.175,5.28
2009070313,0.13,5.42
2009070314,0.095,5.49
2009070315,0.095,5.66
2009070316,0.19,5.95
2009070317,0.221,6.33
2009070318,0.226,6.71
2009070319,0.301,7.0
2009070320,0.42100000000000004,7.14
2009070321,0.486,7.16
2009070322,0.47600000000000003,7.05
2009070323,0.47600000000000003,6.77
2009070400,0.521,6.27
2009070401,0.47600000000000003,5.45
2009070402,0.501,4.54
2009070403,0.662,3.84
2009070404,0.747,3.5
2009070405,0.622,3.38
2009070406,0.406,3.21
2009070407,0.19,2.87
2009070408,0.11,2.62
2009070409,0.075,2.84
2009070410,0.135,3.8
2009070411,0.11,5.13
2009070412,0.201,6.26
2009070413,0.386,6.75
2009070414,0.461,6.73
2009070415,0.451,6.52
2009070416,0.376,6.35
2009070417,0.266,6.29
2009070418,0.24100000000000002,6.36
2009070419,0.23600000000000002,6.54
2009070420,0.226,6.55
2009070421,0.271,6.1
2009070422,0.271,5.0
2009070423,0.29600000000000004,3.65
2009070500,0.19,2.65
2009070501,0.12,2.22
2009070502,0.195,2.74
2009070503,0.281,3.35
2009070504,0.221,3.62
2009070505,0.14,3.63
2009070506,0.21600000000000003,3.53
2009070507,0.281,3.39
2009070508,0.20600000000000002,3.29
2009070509,0.185,3.33
2009070510,0.24600000000000002,3.55
2009070511,0.266,3.87
2009070512,0.165,4.18
2009070513,0.025,4.45
2009070514,0.01,4.7
2009070515,0.0,4.97
2009070516,0.01,5.24
2009070517,0.035,5.5
2009070518,0.03,5.77
2009070519,0.02,6.01
2009070520,0.045,5.99
2009070521,0.07,5.39
2009070522,0.085,4.07
2009070523,0.065,2.54
2009070600,0.015,1.5
2009070601,0.01,2.59
2009070602,0.035,2.79
2009070603,0.09,3.04
2009070604,0.115,3.09
2009070605,0.06,2.99
2009070606,0.05,2.86
2009070607,0.03,2.8
2009070608,0.0,2.76
2009070609,0.0,2.64
2009070610,0.04,2.58
2009070611,0.04,2.89
2009070612,0.09,3.23
2009070613,0.125,3.18
2009070614,0.085,3.05
2009070615,0.055,3.4
2009070616,0.085,4.36
2009070617,0.21100000000000002,5.52
2009070618,0.266,6.45
2009070619,0.185,6.88
2009070620,0.16,6.86
2009070621,0.075,6.58
2009070622,0.175,6.17
2009070623,0.12,5.67
2009070700,0.02,5.01
2009070701,0.05,3.62
2009070702,0.07,2.69
2009070703,0.005,2.28
2009070704,0.0,2.38
2009070705,0.03,2.58
2009070706,0.02,2.72
2009070707,0.075,2.79
2009070708,0.105,2.99
2009070709,0.16,3.56
2009070710,0.18,4.66
2009070711,0.231,5.91
2009070712,0.306,6.74
2009070713,0.28600000000000003,6.75
2009070714,0.24600000000000002,6.25
2009070715,0.306,5.67
2009070716,0.306,5.38
2009070717,0.306,5.42
2009070718,0.316,5.73
2009070719,0.381,6.25
2009070720,0.41100000000000003,6.77
2009070721,0.426,7.04
2009070722,0.391,6.9
2009070723,0.34600000000000003,6.41
2009070800,0.316,5.68
2009070801,0.271,4.39
2009070802,0.276,3.71
2009070803,0.226,3.22
2009070804,0.276,3.0
2009070805,0.21600000000000003,2.93
2009070806,0.145,2.87
2009070807,0.1,2.7
2009070808,0.07,2.57
2009070809,0.06,2.65
2009070810,0.06,3.08
2009070811,0.045,3.65
2009070812,0.045,4.05
2009070813,0.085,4.13
2009070814,0.085,4.12
2009070815,0.08,4.09
2009070816,0.095,3.96
2009070817,0.05,3.82
2009070818,0.035,3.8
2009070819,0.055,3.92
2009070820,0.04,4.0
2009070821,0.035,3.88
2009070822,0.02,3.42
2009070823,0.025,2.88
2009070900,0.06,2.5
2009070901,0.03,2.43
2009070902,0.045,2.65
2009070903,0.065,2.84
2009070904,0.075,2.76
2009070905,0.135,2.49
2009070906,0.185,2.22
2009070907,0.075,2.09
2009070908,0.005,2.01
2009070909,0.0,1.91
2009070910,0.0,1.74
2009070911,0.03,1.66
2009070912,0.03,1.71
2009070913,0.0,1.82
2009070914,0.0,1.93
2009070915,0.0,2.07
2009070916,0.0,2.27
2009070917,0.0,2.5
2009070918,0.015,2.75
2009070919,0.005,3.0
2009070920,0.025,3.24
2009070921,0.095,3.33
2009070922,0.085,3.19
2009070923,0.13,2.92
2009071000,0.12,2.72
2009071001,0.095,2.69
2009071002,0.095,2.8
2009071003,0.1,2.96
2009071004,0.16,3.11
2009071005,0.19,3.22
2009071006,0.165,3.25
2009071007,0.105,3.2
2009071008,0.09,3.12
2009071009,0.1,3.11
2009071010,0.095,3.25
2009071011,0.11,3.44
2009071012,0.11,3.6
2009071013,0.005,3.64
2009071014,0.0,3.62
2009071015,0.04,3.64
2009071016,0.165,3.85
2009071017,0.266,4.29
2009071018,0.326,4.91
2009071019,0.35100000000000003,5.55
2009071020,0.361,5.94
2009071021,0.311,5.78
2009071022,0.306,4.9
2009071023,0.29100000000000004,3.71
2009071100,0.281,2.77
2009071101,0.23600000000000002,2.69
2009071102,0.366,2.98
2009071103,0.381,3.3
2009071104,0.42100000000000004,3.43
2009071105,0.48100000000000004,3.47
2009071106,0.451,3.6
2009071107,0.466,3.9
2009071108,0.47600000000000003,4.21
2009071109,0.501,4.34
2009071110,0.42100000000000004,4.23
2009071111,0.251,4.17
2009071112,0.19,4.42
2009071113,0.226,5.13
2009071114,0.18,6.11
2009071115,0.065,7.0
2009071116,0.115,7.45
2009071117,0.306,7.56
2009071118,0.47100000000000003,7.56
2009071119,0.596,7.66
2009071120,0.657,7.86
2009071121,0.586,7.9
2009071122,0.5760000000000001,7.48
2009071123,0.627,6.7
2009071200,0.546,5.87
2009071201,0.521,5.01
2009071202,0.35100000000000003,4.68
2009071203,0.536,4.38
2009071204,0.617,4.05
2009071205,0.5660000000000001,3.67
2009071206,0.41100000000000003,3.3
2009071207,0.29100000000000004,2.98
2009071208,0.29100000000000004,2.83
2009071209,0.391,2.95
2009071210,0.446,3.35
2009071211,0.496,3.81
2009071212,0.276,4.08
2009071213,0.075,3.98
2009071214,0.18,3.82
2009071215,0.21100000000000002,3.99
2009071216,0.29600000000000004,4.68
2009071217,0.29100000000000004,5.67
2009071218,0.29600000000000004,6.59
2009071219,0.376,7.16
2009071220,0.401,7.18
2009071221,0.371,6.5
2009071222,0.28600000000000003,5.11
2009071223,0.175,3.63
2009071300,0.105,2.77
2009071301,0.07,2.54
2009071302,0.135,2.79
2009071303,0.165,3.2
2009071304,0.23600000000000002,3.44
2009071305,0.306,3.49
2009071306,0.336,3.4
2009071307,0.29600000000000004,3.25
2009071308,0.23600000000000002,3.2
2009071309,0.201,3.34
2009071310,0.29100000000000004,3.8
2009071311,0.321,4.52
2009071312,0.29100000000000004,5.36
2009071313,0.326,6.2
2009071314,0.486,6.98
2009071315,0.451,7.58
2009071316,0.5760000000000001,7.87
2009071317,0.667,7.98
2009071318,0.7120000000000001,8.16
2009071319,0.787,8.52
2009071320,0.8270000000000001,8.7
2009071321,0.847,8.2
2009071322,0.672,6.74
2009071323,0.511,4.87
2009071400,0.331,3.35
2009071401,0.18,3.34
2009071402,0.221,3.15
2009071403,0.281,3.16
2009071404,0.371,3.12
2009071405,0.47600000000000003,3.01
2009071406,0.41600000000000004,2.84
2009071407,0.401,2.66
2009071408,0.28600000000000003,2.59
2009071409,0.221,2.74
2009071410,0.19,3.16
2009071411,0.316,3.71
2009071412,0.21100000000000002,4.24
2009071413,0.17,4.63
2009071414,0.185,4.98
2009071415,0.18,5.34
2009071416,0.175,5.64
2009071417,0.21100000000000002,5.84
2009071418,0.276,5.89
2009071419,0.24600000000000002,5.71
2009071420,0.231,5.28
2009071421,0.23600000000000002,4.57
2009071422,0.231,3.59
2009071423,0.21100000000000002,2.55
2009071500,0.145,1.72
2009071501,0.075,1.79
2009071502,0.065,2.04
2009071503,0.04,2.51
2009071504,0.05,2.96
2009071505,0.065,3.36
2009071506,0.08,3.65
2009071507,0.04,3.76
2009071508,0.06,3.76
2009071509,0.135,3.79
2009071510,0.115,3.96
2009071511,0.12,4.23
2009071512,0.1,4.47
2009071513,0.09,4.54
2009071514,0.04,4.46
2009071515,0.135,4.29
2009071516,0.21600000000000003,4.13
2009071517,0.226,4.14
2009071518,0.21100000000000002,4.36
2009071519,0.201,4.77
2009071520,0.306,5.24
2009071521,0.271,5.65
2009071522,0.316,5.89
2009071523,0.371,5.87
2009071600,0.331,5.57
2009071601,0.366,4.53
2009071602,0.366,4.43
2009071603,0.366,4.47
2009071604,0.406,4.17
2009071605,0.35600000000000004,3.54
2009071606,0.281,2.85
2009071607,0.326,2.42
2009071608,0.47100000000000003,2.35
2009071609,0.431,2.57
2009071610,0.165,3.08
2009071611,0.256,3.82
2009071612,0.261,4.41
2009071613,0.17,4.52
2009071614,0.115,4.34
2009071615,0.145,4.14
2009071616,0.145,4.1
2009071617,0.165,4.3
2009071618,0.201,4.76
2009071619,0.261,5.34
2009071620,0.20600000000000002,5.67
2009071621,0.251,5.43
2009071622,0.256,4.45
2009071623,0.391,3.16
2009071700,0.24100000000000002,2.22
2009071701,0.15,1.67
2009071702,0.135,1.75
2009071703,0.145,2.11
2009071704,0.20600000000000002,2.3
2009071705,0.135,2.24
2009071706,0.02,1.91
2009071707,0.0,1.18
2009071708,0.0,0.24
2009071709,0.0,0.92
2009071710,0.0,1.84
2009071711,0.03,2.53
2009071712,0.02,2.98
2009071713,0.035,3.53
2009071714,0.065,4.52
2009071715,0.045,5.59
2009071716,0.06,6.19
2009071717,0.08,6.22
2009071718,0.15,5.83
2009071719,0.13,5.37
2009071720,0.04,5.16
2009071721,0.025,5.05
2009071722,0.015,4.62
2009071723,0.01,3.9
2009071800,0.005,3.11
2009071801,0.03,3.15
2009071802,0.095,2.72
2009071803,0.08,2.3
2009071804,0.175,2.13
2009071805,0.18,2.15
2009071806,0.1,2.26
2009071807,0.07,2.42
2009071808,0.075,2.72
2009071809,0.1,3.29
2009071810,0.055,4.19
2009071811,0.1,5.17
2009071812,0.075,5.84
2009071813,0.09,5.98
2009071814,0.11,5.81
2009071815,0.175,5.69
2009071816,0.185,5.86
2009071817,0.256,6.26
2009071818,0.23600000000000002,6.75
2009071819,0.29600000000000004,7.15
2009071820,0.331,7.34
2009071821,0.451,7.15
2009071822,0.381,6.52
2009071823,0.386,5.6
2009071900,0.331,4.64
2009071901,0.261,3.83
2009071902,0.17,3.34
2009071903,0.195,3.14
2009071904,0.20600000000000002,3.18
2009071905,0.20600000000000002,3.3
2009071906,0.24600000000000002,3.33
2009071907,0.29100000000000004,3.18
2009071908,0.311,3.09
2009071909,0.256,3.38
2009071910,0.276,4.25
2009071911,0.316,5.27
2009071912,0.316,5.86
2009071913,0.226,5.6
2009071914,0.21100000000000002,4.83
2009071915,0.271,4.01
2009071916,0.226,3.52
2009071917,0.125,3.36
2009071918,0.095,3.44
2009071919,0.05,3.56
2009071920,0.105,3.55
2009071921,0.095,3.23
2009071922,0.055,2.53
2009071923,0.01,1.75
2009072000,0.005,1.3
2009072001,0.03,2.3
2009072002,0.055,2.63
2009072003,0.05,2.75
2009072004,0.005,2.37
2009072005,0.0,1.77
2009072006,0.0,1.32
2009072007,0.0,1.08
2009072008,0.015,0.91
2009072009,0.005,0.77
2009072010,0.0,0.65
2009072011,0.0,0.6
2009072012,0.0,0.64
2009072013,0.0,0.66
2009072014,0.0,0.63
2009072015,0.0,0.6
2009072016,0.0,0.6
2009072017,0.0,0.62
2009072018,0.0,0.66
2009072019,0.015,0.74
2009072020,0.01,0.87
2009072021,0.015,0.97
2009072022,0.0,0.97
2009072023,0.0,1.01
2009072100,0.04,1.2
2009072101,0.035,1.7
2009072102,0.02,2.18
2009072103,0.03,2.48
2009072104,0.03,2.5
2009072105,0.01,2.39
2009072106,0.03,2.27
2009072107,0.055,2.26
2009072108,0.03,2.49
2009072109,0.05,2.85
2009072110,0.08,3.06
2009072111,0.18,3.12
2009072112,0.115,3.19
2009072113,0.06,3.36
2009072114,0.045,3.61
2009072115,0.12,3.85
2009072116,0.085,4.04
2009072117,0.06,4.27
2009072118,0.025,4.6
2009072119,0.01,4.97
2009072120,0.065,5.17
2009072121,0.14,4.95
2009072122,0.1,4.17
2009072123,0.05,3.19
2009072200,0.02,2.5
2009072201,0.045,2.71
2009072202,0.075,2.51
2009072203,0.155,2.45
2009072204,0.135,2.47
2009072205,0.13,2.49
2009072206,0.115,2.44
2009072207,0.115,2.31
2009072208,0.085,2.22
2009072209,0.11,2.28
2009072210,0.02,2.58
2009072211,0.04,2.99
2009072212,0.13,3.37
2009072213,0.201,3.62
2009072214,0.085,3.79
2009072215,0.05,3.9
2009072216,0.1,3.97
2009072217,0.13,3.93
2009072218,0.13,3.76
2009072219,0.16,3.52
2009072220,0.17,3.35
2009072221,0.145,3.22
2009072222,0.155,3.02
2009072223,0.095,2.8
2009072300,0.09,2.58
2009072301,0.08,1.33
2009072302,0.095,1.47
2009072303,0.145,1.7
2009072304,0.261,1.83
2009072305,0.19,1.9
2009072306,0.201,1.95
2009072307,0.14,1.98
2009072308,0.11,2.02
2009072309,0.04,2.09
2009072310,0.055,2.21
2009072311,0.095,2.46
2009072312,0.201,2.89
2009072313,0.17,3.42
2009072314,0.21100000000000002,3.96
2009072315,0.17,4.38
2009072316,0.09,4.6
2009072317,0.05,4.62
2009072318,0.005,4.46
2009072319,0.0,4.09
2009072320,0.0,3.49
2009072321,0.005,2.62
2009072322,0.045,1.56
2009072323,0.075,0.84
2009072400,0.04,1.24
2009072401,0.01,2.82
2009072402,0.005,2.14
2009072403,0.0,1.84
2009072404,0.0,2.1
2009072405,0.005,2.61
2009072406,0.02,2.94
2009072407,0.025,2.72
2009072408,0.015,2.17
2009072409,0.0,1.71
2009072410,0.0,1.61
2009072411,0.0,1.74
2009072412,0.015,1.9
2009072413,0.03,1.96
2009072414,0.045,1.92
2009072415,0.045,1.82
2009072416,0.06,1.73
2009072417,0.09,1.67
2009072418,0.07,1.67
2009072419,0.125,1.74
2009072420,0.125,1.8
2009072421,0.135,1.75
2009072422,0.18,1.55
2009072423,0.105,1.32
2009072500,0.12,1.29
2009072501,0.05,1.65
2009072502,0.03,2.18
2009072503,0.0,2.55
2009072504,0.0,2.57
2009072505,0.025,2.4
2009072506,0.035,2.26
2009072507,0.0,2.32
