VideoGameID,VideoGameName
0,007 Legends
1,0RBITALIS
2,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby)
3,10 Second Ninja
4,"10,000,000"
5,100% Orange Juice
6,1000 Amps
7,12 Labours of Hercules
8,12 Labours of Hercules II The Cretan Bull
9,12 Labours of Hercules III Girl Power
10,140
11,15 Days
12,16 Bit Arena
13,16bit Trader
14,1701 A.D. Gold Edition
15,1701 A.D. Sunken Dragon
16,18 Wheels of Steel American Long Haul
17,1953 - KGB Unleashed
18,1953 NATO vs Warsaw Pact
19,1954 Alcatraz
20,1Heart
21,1Quest
22,3 Stars of Destiny
23,3089 -- Futuristic Action RPG
24,3D Mini Golf
25,3DMark
26,3DMark 11
27,3DMark API Overhead feature test
28,3DMark Cloud Gate benchmark
29,3DMark Fire Strike benchmark
30,3DMark Ice Storm benchmark
31,3DMark Sky Diver benchmark
32,3DMark Vantage
33,3SwitcheD
34,4 Elements
35,404Sight
36,500 Years Act 1
37,60 Seconds!
38,7 Days to Die
39,"7 Grand Steps, Step 1 What Ancients Begat"
40,7 Wonders Ancient Alien Makeover
41,"7,62 High Calibre"
42,8-Bit Adventures The Forgotten Journey Remastered Edition
43,8-Bit Commando
44,8BitBoy
45,8BitMMO
46,9 Clues 2 The Ward
47,9 Clues The Secret of Serpent Creek
48,9.03m
49,911 First Responders
50,99 Levels To Hell
51,99 Spirits
52,A Bastard's Tale
53,A Bird Story
54,A City Sleeps
55,A Druid's Duel
56,A Farewell to Dragons
57,A Game of Thrones - Genesis
58,A Golden Wake
59,A New Beginning - Final Cut
60,A Story About My Uncle
61,A Valley Without Wind
62,A Valley Without Wind 2
63,A Vampyre Story
64,A Virus Named TOM
65,A Walk in the Dark
66,A Wizard's Lizard
67,A-Men 2
68,A-Train 8
69,A.I.M. Racing
70,A.I.M.2 Clan Wars
71,A.R.E.S.
72,A.R.E.S. Extinction Agenda EX
73,A.V.A - Alliance of Valiant Arms
74,ACE - Arena Cyber Evolution
75,ACE COMBAT ASSAULT HORIZON Enhanced Edition
76,AGFPRO Fantasy Side-Scroller Player
77,AI War Fleet Command
78,AION Free-to-Play
79,AKIBA'S TRIP Undead & Undressed
80,ALLTYNEX Second
81,APB Reloaded
82,APOX
83,AR-K
84,ARK Survival Evolved
85,AVSEQ
86,AXEL
87,AXYOS
88,AZMD! Scorepocalypse 
89,AaAaAA!!! - A Reckless Disregard for Gravity
90,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome
91,Aarklash Legacy
92,Abandoned Chestnut Lodge Asylum
93,Abducted
94,Aberoth
95,"About Love, Hate and the other ones"
96,Absconding Zatwor
97,Absent
98,Absolute Drift
99,Abyss Odyssey
100,Abyss The Wraiths of Eden
101,Ace of Spades
102,Aces Wild Manic Brawling Action!
103,Achron
104,Act of Aggression
105,Act of War Direct Action
106,Act of War High Treason
107,Action! - Gameplay Recording and Streaming
108,Actual Sunlight
109,AdVenture Capitalist
110,Advent Rising
111,Adventure Chronicles The Search For Lost Treasure
112,Adventure Park
113,Adventure Time  Explore the Dungeon Because I DONT KNOW!
114,Adventurer Manager
115,Adventures of Bertram Fiddle Episode 1 A Dreadly Business
116,Adventures of Shuggy
117,Aeon Command
118,Aerena
119,After All
120,Afterfall InSanity - Dirty Arena Edition
121,Afterfall InSanity Extended Edition
122,Afterfall Reconquest Episode I
123,Afterlife Empire
124,Aftermath
125,Agapan
126,Agarest - Additional-PP Pack 1 DLC
127,Agarest - Additional-PP Pack 2 DLC
128,Agarest - Additional-Points Pack 2 DLC
129,Agarest - Additional-Points Pack 3 DLC
130,Agarest - Additional-Points Pack 4 DLC
131,Agarest - Additional-TP Pack DLC
132,Agarest - Basic Adventure Pack DLC
133,Agarest - Carrot-and-Stick Pack DLC
134,Agarest - Dull-Things Pack DLC
135,Agarest - Fallen Angel Pack DLC
136,Agarest - Fishy Pack 1 DLC
137,Agarest - Fishy Pack 2 DLC
138,Agarest - Jack Pack DLC
139,Agarest - Legendary Adventure Pack DLC
140,Agarest - Legendary-Monster Pack DLC
141,Agarest - Magic Fight Pack DLC
142,Agarest - Playful Cat Pack DLC
143,Agarest - Rebellious Pack DLC
144,Agarest - Rumored Adventure Pack DLC
145,Agarest - Seasoned-Breeder Pack DLC
146,Agarest - Secret-Society Pack DLC
147,Agarest - Tonight's Dinner DLC
148,Agarest - Top-Breeder Pack DLC
149,Agarest - Ultimate Equipment Pack DLC
150,Agarest - Unlock Gallery DLC
151,Agarest - Unlock Voices DLC
152,Agarest - Upgrade Pack 1 DLC
153,Agarest 2 - Bundle #1
154,Agarest 2 - Bundle #2
155,Agarest 2 - Bundle #3
156,Agarest 2 - Bundle #4
157,Agarest 2 - Bundle #5
158,Agarest 2 - Bundle #6
159,Agarest Generations of War
160,Agarest Generations of War 2
161,Agarest Generations of War Premium Edition Upgrade
162,Agarest Zero
163,Agarest Zero - DLC Pack 1
164,Agarest Zero - DLC Pack 2
165,Agarest Zero - DLC Pack 3
166,Agarest Zero - DLC Pack 4
167,Agarest Zero - DLC Pack 5
168,Agarest Zero - DLC Pack 7
169,Age of Booty
170,Age of Chivalry
171,Age of Conan - Hyborian Adventures
172,Age of Conan Rise of the Godslayer
173,Age of Conan Unchained - EU version
174,Age of Empires II HD Edition
175,Age of Empires II HD The Forgotten
176,Age of Empires III Complete Collection
177,Age of Empires Online
178,Age of Fear 2 The Chaos Lord
179,Age of Mythology Extended Edition
180,Age of Wonders
181,Age of Wonders 2
182,Age of Wonders III
183,Age of Wonders Shadow Magic
184,Age of Wonders Trilogy Soundtrack
185,Age of Wushu
186,Aggression Europe Under Fire
187,Agricultural Simulator 2011 Extended Edition
188,Agricultural Simulator 2013 Steam Edition
189,Agricultural Simulator Historical Farming
190,Aion
191,Aion Collectors Edition
192,Air Brawl
193,Air Conflicts - Secret Wars
