User-ID,Location,Age
2,"stockton, california, usa",18.0
8,"timmins, ontario, canada",
9,"germantown, tennessee, usa",
10,"albacete, wisconsin, spain",26.0
12,"fort bragg, california, usa",
14,"mediapolis, iowa, usa",
16,"albuquerque, new mexico, usa",
17,"chesapeake, virginia, usa",
19,"weston, ,",14.0
20,"langhorne, pennsylvania, usa",19.0
22,"erfurt, thueringen, germany",
23,"philadelphia, pennsylvania, usa",
26,"bellevue, washington, usa",
32,"portland, oregon, usa",
36,"montreal, quebec, canada",24.0
39,"cary, north carolina, usa",
42,"appleton, wisconsin, usa",17.0
44,"black mountain, north carolina, usa",51.0
51,"renton, washington, usa",34.0
53,"tacoma, washington, usa",
56,"cheyenne, wyoming, usa",24.0
64,"lyon, rhone, france",32.0
67,"framingham, massachusetts, usa",43.0
68,"montreal, quebec, canada",
69,"vancouver, british columbia, canada",
73,"wentzville, missouri, usa",
75,"long beach, california, usa",37.0
77,"vancouver, british columbia, canada",
78,"oakland, california, usa",18.0
79,"ottawa, ontario, canada",20.0
81,"santa cruz, california, usa",
82,"del mar, california, usa",
86,"los angeles, california, usa",
87,"richardson, texas, usa",
88,"fayetteville, georgia, usa",
91,"toronto/newmarket, ,",
92,"castellar del valles, barcelona, spain",20.0
95,"grand island, new york, usa",
97,"mechanicsburg, pennsylvania, usa",
99,"franktown, colorado, usa",42.0
102,"barcelona, n/a, spain",
107,"lethbridge, alberta, canada",
109,"muncie, indiana, usa",20.0
110,"peoira, illinois, usa",
114,"ligonier, pennsylvania, usa",57.0
125,"lansing, michigan, usa",49.0
129,"bloomington, minnesota, usa",47.0
133,"jacksonville, florida, usa",45.0
135,"berkshire, new york, usa",
139,"baltimore, maryland, usa",35.0
141,"darien, new york, usa",
144,"cape girardeau, missouri, usa",62.0
151,"darwin, northern territory, australia",
165,"olympia, washington, usa",62.0
169,"arlington, virginia, usa",
176,"london, london, united kingdom",34.0
178,"rexford, new york, usa",28.0
183,"porto, porto, portugal",27.0
185,"baton rouge, louisiana, usa",17.0
190,"wezembeek-oppem, brussels, belgium",33.0
193,"mumbai, maharashtra, india",23.0
199,"austin, texas, usa",38.0
204,"turner, oregon, usa",15.0
207,"west bend, wisconsin, usa",
215,"port alberni, british columbia, canada",20.0
228,"ann arbor, michigan, usa",41.0
232,"mumbai, maharashtra, india",16.0
242,"neuffen, baden-wuerttemberg, germany",37.0
243,"arden hills, minnesota, usa",
244,"college station, texas, usa",
247,"zografou, athens, greece",23.0
250,"minneapolis, minnesota, usa",25.0
254,"minneapolis, minnesota, usa",24.0
256,"boston, massachusetts, usa",
257,"quit, quit, quit",
272,"walla walla, washington, usa",20.0
273,"snohomish, washington, usa",
280,"yakima, washington, usa",
289,"tampa, florida, usa",15.0
291,"ft. collins, colorado, usa",
300,"newport news, virginia, usa",
306,"boston, massachusetts, usa",
310,"barcelona, n/a, spain",26.0
326,"parkville, missouri, usa",
327,"dallas, texas, usa",
332,"lake oswego, oregon, usa",59.0
334,"jyväskylä, n/a, finland",27.0
338,"minneapolis, minnesota, usa",
339,"tampere, pirkanmaa, finland",20.0
343,"mesa, arizona, usa",
345,"columbia, tennessee, usa",27.0
356,"leesburg, virginia, usa",
361,"premià de dalt, barcelona, spain",25.0
362,"thunder bay, ontario, canada",63.0
367,"culver city, california, usa",45.0
376,"fishers, indiana, usa",35.0
383,"carmichael, california, usa",
384,"bucuresti, n/a, romania",23.0
387,"charity, missouri, usa",17.0
388,"nashville, tennessee, usa",35.0
392,"barcelona, catalunya, spain",44.0
393,"brighton, east sussex, united kingdom",24.0
400,"st. louis, missouri, usa",
406,"madrid, madrid, spain",37.0
408,"mountain view, california, usa",17.0
413,"naperville, illinois, usa",17.0
422,"edmonton, alberta, canada",23.0
424,"portland, oregon, usa",29.0
431,"ridgway, pennsylvania, usa",40.0
432,"kansas city, missouri, usa",
433,"smock, pennsylvania, usa",48.0
439,"tiburon, california, usa",
440,"brookfield, wisconsin, usa",16.0
441,"spokane, washington, usa",
444,"sweet home, oregon, usa",40.0
446,"chevy chase, dc, usa",
447,"medford, new jersey, usa",
460,"roma, italy, italy",
463,"rouse hill, new south wales, australia",20.0
469,"corona, california, usa",18.0
472,"livingston, new jersey, usa",
475,"vancouver, british columbia, canada",34.0
476,"rome, new york, usa",
479,"iowa city, iowa, usa",
486,"portland, oregon, usa",31.0
487,"houston, texas, usa",
493,"manhattan, kansas, usa",29.0
494,"parry sound, ontario, canada",
496,"west salem, wisconsin, usa",51.0
500,"san antonio, texas, usa",17.0
501,"richmond, virginia, usa",
503,"el centro, california, usa",40.0
505,"washington, dc, usa",51.0
507,"dumas, arkansas, usa",
508,"portland, oregon, usa",29.0
512,"winter springs, florida, usa",58.0
513,"savannah, georgia, usa",
523,"bozeman, montana, usa",19.0
537,"davis, california,",
538,"perryville, missouri, usa",26.0
542,"fort worth, texas, usa",
547,"presque isle, maine, usa",
558,"burnaby, ,",
