StatuteReason,SubjectAge,InterventionDateTime,ContrabandIndicator
Display of Plates,42.0,05/27/2017 07:30:00 PM,False
Registration,40.0,11/08/2014 11:38:00 AM,False
Defective Lights,19.0,06/23/2016 09:29:50 PM,True
Traffic Control Signal,26.0,01/11/2017 07:28:00 AM,False
Seatbelt,23.0,07/14/2014 08:39:00 AM,False
Window Tint,23.0,06/04/2016 06:00:00 PM,False
Traffic Control Signal,39.0,05/30/2016 07:21:39 PM,False
Registration,36.0,05/11/2018 10:54:00 PM,False
Speed Related,17.0,04/02/2018 05:51:00 PM,True
Seatbelt,49.0,05/28/2017 09:24:00 PM,False
Cell Phone,26.0,02/18/2015 11:59:00 AM,False
Other,18.0,11/23/2013 09:08:00 PM,True
Window Tint,25.0,04/11/2014 04:27:00 AM,True
Traffic Control Signal,21.0,05/23/2014 01:54:00 AM,False
Stop Sign,23.0,11/03/2017 09:36:00 PM,False
Speed Related,48.0,01/16/2018 02:19:00 AM,False
Other/Error,47.0,11/23/2014 07:02:00 PM,False
Defective Lights,37.0,10/30/2015 02:26:26 AM,False
Administrative Offense,33.0,09/08/2017 06:11:00 PM,False
Moving Violation,25.0,12/23/2013 05:43:00 PM,False
Registration,30.0,10/14/2015 10:53:38 AM,False
Other,20.0,12/29/2017 06:39:00 PM,True
Administrative Offense,35.0,03/04/2018 10:59:00 AM,False
Defective Lights,27.0,03/27/2018 01:20:00 AM,False
Unlicensed Operation,31.0,08/01/2017 06:02:00 PM,False
Other,21.0,07/01/2014 10:18:00 PM,False
Registration,54.0,09/09/2014 05:18:00 PM,False
Other,33.0,02/21/2017 10:28:00 AM,False
Window Tint,24.0,11/16/2015 04:30:00 PM,False
Other/Error,35.0,10/21/2014 01:15:00 AM,True
Other,31.0,07/18/2014 04:07:00 PM,True
Administrative Offense,29.0,04/17/2016 12:12:00 PM,False
Display of Plates,56.0,08/14/2017 03:33:00 PM,False
Other,27.0,04/30/2016 08:24:50 AM,True
Registration,21.0,01/17/2016 11:44:11 AM,False
Seatbelt,24.0,10/13/2016 10:18:00 AM,True
Other,22.0,01/06/2017 09:50:00 AM,False
Cell Phone,35.0,04/09/2018 08:36:00 AM,False
Other,43.0,05/02/2016 08:44:34 PM,False
Moving Violation,26.0,05/02/2016 08:35:00 PM,True
Display of Plates,32.0,01/29/2018 10:42:00 AM,True
Defective Lights,26.0,05/12/2018 12:21:00 AM,False
Display of Plates,21.0,01/30/2015 08:36:00 PM,True
Unlicensed Operation,45.0,09/08/2016 01:09:04 AM,False
Display of Plates,27.0,07/03/2017 09:37:00 AM,False
Speed Related,29.0,12/28/2014 06:45:00 PM,True
Window Tint,33.0,11/24/2013 09:53:00 PM,False
Other,24.0,11/16/2016 10:19:00 PM,True
Unlicensed Operation,28.0,04/26/2018 06:51:00 PM,False
Defective Lights,38.0,10/01/2015 12:37:00 AM,False
Administrative Offense,18.0,01/16/2018 01:19:00 AM,False
Other,38.0,04/17/2018 11:41:00 AM,True
Display of Plates,27.0,04/26/2016 11:28:45 AM,False
Speed Related,63.0,01/22/2016 07:54:28 PM,False
