ContrabandIndicator,Department Name,InterventionLocationName,InterventionReasonCode,ReportingOfficerIdentificationID,ResidentIndicator,SearchAuthorizationCode,StatuteReason,SubjectAge,SubjectEthnicityCode,SubjectRaceCode,SubjectSexCode,TownResidentIndicator
False,farmington,unionville,V,400,False,I,Other,21,N,W,M,False
False,suffield,suffield,V,114,True,I,Registration,36,N,W,M,False
True,csp troop g,new haven,V,1000003362,True,C,Moving Violation,21,H,W,M,False
True,new canaan,new canaan,E,287,False,O,Defective Lights,14,H,W,M,True
False,stamford,stamford,V,3A NIGHTS,True,C,Seatbelt,37,N,W,M,False
True,suffield,suffield,E,114,False,O,Defective Lights,22,N,W,M,False
True,south windsor,south windsor,V,10013,True,O,Administrative Offense,15,N,W,M,False
True,westport,westport,V,PSC20045,True,O,STC Violation,19,H,W,F,False
False,new haven,new haven,E,305,True,C,Display of Plates,12,N,B,M,False
True,state police,ashford             ,V,1000003193,True,C,Other,48,N,B,M,False
False,wethersfield,wethersfield,V,MAF0958,True,O,Moving Violation,29,H,B,M,True
False,stratford,stratford,V,30339,True,I,Traffic Control Signal,19,H,W,F,True
False,new haven,new haven,E,199,False,C,Display of Plates,37,N,B,M,False
True,bristol,bristol,V,120000050,True,N,Speed Related,43,N,A,M,True
True,csp troop h,east hartford,V,1000002369,True,O,Traffic Control Signal,36,H,W,M,True
True,norwalk,norwalk,V,100000287,False,C,Traffic Control Signal,16,N,W,M,True
False,clinton,clinton,V,458,True,C,Moving Violation,21,N,W,M,True
False,norwalk,norwalk             ,E,100000232,True,N,Display of Plates,17,N,B,M,True
False,middlebury,middlebury,I,307,False,C,Other/Error,47,N,W,M,False
True,torrington,torrington,E,DCARV028,True,C,Defective Lights,18,N,W,F,False
False,orange,orange,V,JPK8040,True,C,Speed Related,49,N,B,F,False
False,wilton,wilton              ,V,1008,False,N,Window Tint,26,H,W,M,True
True,new london,new london,V,PSC56005,True,C,Stop Sign,24,N,B,M,True
False,new haven,new haven,E,6519,True,C,Other,28,H,W,M,False
False,manchester,manchester,V,TK5236,False,O,Other,30,H,W,M,True
True,new haven,new haven,V,30514,True,O,Stop Sign,29,N,B,F,True
True,wilton,wilton,I,120000071,False,O,Other,26,N,W,M,True
True,simsbury,simsbury            ,V,1053,False,N,Defective Lights,22,N,B,M,True
False,westport,westport,E,PSC20059,True,O,Defective Lights,27,N,B,M,True
False,bridgeport,bridgeport,V,RUF0703,True,O,Defective Lights,28,N,B,M,True
True,csp troop a,new fairfield,V,1000003228,True,O,Other,21,N,W,M,False
False,shelton,shelton,V,356,False,C,Stop Sign,32,N,W,M,True
False,waterbury,waterbury,V,1545,False,I,Registration,27,H,W,M,True
False,east hartford,east hartford,V,JRH0349,False,C,Administrative Offense,31,H,W,F,False
False,wilton,wilton,V,1016,True,I,Moving Violation,16,H,W,M,False
False,stratford,stratford,E,30338,True,I,Display of Plates,37,H,W,F,False
False,csp troop e,stonington,V,1000003206,False,O,Other,20,N,B,M,False
True,state police,cheshire            ,V,1000002728,True,O,Registration,64,N,W,F,True
False,middletown,middletown,V,175,False,O,Moving Violation,25,N,B,M,True
False,south windsor,south windsor,V,JRF0184,False,O,Moving Violation,15,N,B,M,True
False,state police,norwich             ,V,1000002349,True,O,Other/Error,27,N,W,M,False
False,norwalk,norwalk,V,100000177,True,O,Moving Violation,22,N,B,M,True
False,newington,newington,V,AJA2621,True,C,Moving Violation,15,H,W,M,True
False,csp troop d,plainfield,V,1000002576,True,C,Other,35,N,W,F,False
True,derby,derby,V,076,True,I,Administrative Offense,21,N,B,M,True
False,waterford,waterford,V,PSC02545,False,O,Traffic Control Signal,32,N,W,M,False
False,stratford,stratford,V,10185,False,C,Moving Violation,25,N,B,M,False
False,wallingford,wallingford,I,225,False,O,Other,54,N,W,M,False
True,state police,montville           ,E,1000002696,True,O,Defective Lights,26,N,W,M,True
False,new haven,new haven,I,308,False,N,Suspended License,35,H,W,M,False
False,torrington,torrington,V,064,True,O,Speed Related,37,N,W,M,True
True,waterbury,waterbury,V,1041,False,N,Registration,31,N,B,M,False
False,state police,deep river          ,V,1000002942,True,N,Speed Related,32,N,W,M,False
False,naugatuck,naugatuck,E,PL33,True,C,Defective Lights,26,N,W,F,False
False,csp troop a,danbury,V,592196034,False,C,Moving Violation,25,N,W,F,True
False,wilton,wilton              ,V,120000032,True,N,Speed Related,21,N,W,M,True
True,state police,plainfield          ,V,1000002266,True,C,Stop Sign,24,N,W,M,False
True,newington,newington,V,YBB2609,True,O,Cell Phone,32,H,W,F,False
False,state police,east windsor        ,V,1000003024,True,N,Other,43,N,B,M,False
False,csp troop l,burlington,V,1000001927,False,O,Administrative Offense,23,H,W,F,True
True,east haven,east haven,V,100274,True,O,Speed Related,24,H,W,M,False
True,west hartford,west hartford       ,V,1000002164,False,O,Defective Lights,27,H,W,M,False
True,csp troop g,stamford,V,1000003487,False,O,Display of Plates,28,N,B,M,False
False,norwalk,norwalk,V,100000090,False,I,Moving Violation,26,H,W,M,True
True,plainfield,plainfield,E,186,False,O,Moving Violation,24,N,W,M,False
